LICENSE NUMBER,BUSINESS NAME,LICENSE TYPE,LICENSE EXPIRATION DATE,LICENSE STATUS,PIN,WARD,DISTRICT COUNCIL,ADDRESS,Location,COUNT
20110002591,AMSTERDAM BAR & HALL,Liquor On Sale - 181-290 Seats,08/01/2019,Active,062822120127,2,17,6 6TH ST W  ST PAUL MN 55102,"(44.9462416173403, -93.095285534073)",1
20130005374,MOUNDS PARK SPORTS BAR,Liquor On Sale - 100 seats or less,08/19/2019,Active,332922420146,7,4,1067 HUDSON ROAD  ST PAUL MN 55106-6107,"(44.9523360658001, -93.055262953573)",1
19990007185,"KINCAID'S FISH, CHOP & STEAK HOUSE",Liquor On Sale - 291 or more Seats,08/15/2019,Active,062822120128,2,17,380 ST PETER ST  ST PAUL MN 55102,"(44.9455948031115, -93.095849764547)",1
20160001977,HYATT PLACE ST PAUL,Liquor On Sale - 291 or more Seats,09/01/2019,Active,062822110025,2,17,180 KELLOGG BLVD E  ST PAUL MN 55101-1438,"(44.9465586512958, -93.08709488823)",1
0040612,HIGHLAND GRILL,Liquor On Sale - 100 seats or less,08/26/2019,Active,172823110100,3,15,771 CLEVELAND AVE S  ST PAUL MN 55116-1348,"(44.9182452597862, -93.187547052774)",1
20170002881,BAMBOO HUT,Liquor On Sale - 101-180 Seats,08/03/2018,Delinquent,232922220048,6,2,1626 WHITE BEAR AVE ST PAUL MN 55106,"(44.9904166180218, -93.024546045331)",1
0061437,ARCADE PHALEN AMERICAN LEGION POST #577,Liquor On Sale-Club 201-500 Mbrs - B,08/31/2019,Active,292922110102,6,5,1129 ARCADE ST  ST PAUL MN 55106-2613,"(44.9753148237104, -93.066093513451)",1
20160000944,GHEBRE'S RESTAURANT,Liquor On Sale - 100 seats or less,08/02/2019,Active,342923230166,4,11,512 SNELLING AVE N  ST PAUL MN 55104-2332,"(44.9566921427741, -93.166787768337)",1
20100004148,STATION 280,Liquor On Sale - 101-180 Seats,08/23/2019,Active,202923230003,4,12,2554 COMO AVE STE 7 ST PAUL MN 55108,"(44.9855156319068, -93.206309313673)",1
20010001028,ADAM'S FOOD & FUEL,Malt Off Sale,06/06/2019,Active,342922230059,7,4,1390 3RD ST E  ST PAUL MN 55106-5827,"(44.9566435137164, -93.041838803458)",1
