School,Num,Grade,Prof,White_Prof,POC_Prof,Black_Prof,Male_Prof,Female_Prof,FRPL_Prof,NonFRPL_Prof
Jie Ming Mandarin Immersion Academy,483.0,4.0,1.0,,,,1.0,1.0,,1.0
Jie Ming Mandarin Immersion Academy,483.0,5.0,0.8571,,,,,0.8462,,0.9286
The Heights Community School,488.0,3.0,0.3492,,,0.2632,0.3714,0.3214,0.2609,0.5882
The Heights Community School,488.0,4.0,0.2069,,,0.0741,0.2,0.2143,0.1311,0.3846
The Heights Community School,488.0,5.0,0.2,,,0.0,0.1707,0.2414,0.2128,0.1739
Hazel Park Preparatory Academy,489.0,3.0,0.3333,,,0.2609,0.45,0.24,0.325,
Hazel Park Preparatory Academy,489.0,4.0,0.2453,,,0.0417,0.3226,0.1364,0.25,
Hazel Park Preparatory Academy,489.0,5.0,0.0377,,,0.0,0.037,0.0385,0.0392,
Hazel Park Preparatory Academy,489.0,6.0,0.0693,,,0.0769,0.0189,0.125,0.0556,0.1818
Hazel Park Preparatory Academy,489.0,7.0,0.0632,,,0.0,0.0185,0.122,0.0366,0.2308
Hazel Park Preparatory Academy,489.0,8.0,0.1882,,,0.0323,0.1538,0.2174,0.1918,0.1667
Highland Park Elementary,491.0,3.0,0.3731,0.7143,0.283,0.2571,0.4118,0.3333,0.2222,0.6818
Highland Park Elementary,491.0,4.0,0.431,0.7895,0.2564,0.2083,0.4783,0.4,0.2059,0.75
Highland Park Elementary,491.0,5.0,0.3194,0.75,0.1538,0.1143,0.275,0.375,0.1111,0.6667
Jj Hill Montessori,493.0,3.0,0.3519,0.48,0.2414,0.0667,0.32,0.3793,0.0455,0.5625
Jj Hill Montessori,493.0,4.0,0.4118,0.5185,0.2917,0.1,0.3667,0.4762,0.1667,0.4872
Jj Hill Montessori,493.0,5.0,0.1837,0.4,0.0345,0.0,0.2222,0.1364,0.0,0.3462
Capitol Hill Magnet/Rondo,494.0,3.0,0.8,0.9298,0.7051,0.6538,0.8529,0.7463,0.6818,0.8571
Capitol Hill Magnet/Rondo,494.0,4.0,0.8156,0.9623,0.7273,0.8636,0.8406,0.7917,0.7119,0.8902
Capitol Hill Magnet/Rondo,494.0,5.0,0.5238,0.7458,0.375,0.1613,0.5072,0.5385,0.303,0.7037
Capitol Hill Magnet/Rondo,494.0,6.0,0.5399,0.8553,0.365,0.2963,0.6452,0.3933,0.2941,0.7658
Capitol Hill Magnet/Rondo,494.0,7.0,0.601,0.8955,0.4559,0.35,0.5856,0.6196,0.4,0.7961
Capitol Hill Magnet/Rondo,494.0,8.0,0.5764,0.7922,0.4444,0.2931,0.578,0.5745,0.427,0.693
Highwood Hills Elementary,496.0,3.0,0.1081,,,0.0588,0.1429,0.0625,0.1,
Highwood Hills Elementary,496.0,4.0,0.3659,,,0.4167,0.3636,0.3684,0.3333,
Highwood Hills Elementary,496.0,5.0,0.1389,,,0.1053,0.1875,0.1,0.1176,
Jackson Preparatory Elementary,500.0,3.0,0.2683,,,,0.381,0.15,0.2286,
