School,Grade,Total_Tested,Proficiency,White%,Asian%,Black%,ELL%,SPED%,FRPL%,Ranking,Address,Latitude,Longitude
Maxfield Elementary School,12.0,124.0,16.94,6.0,6.0,69.0,8.0,19.0,82.0,1,"380 N Victoria St, St Paul, MN 55104",44.95261729999999,-93.135536
Mississippi Creative Arts Elementary,12.0,273.0,24.91,5.0,50.0,23.0,56.0,12.0,88.0,1,"1575 L'Orient St, St Paul, MN 55117",44.988831,-93.0908866
Murray Middle School,21.0,673.0,46.06,36.0,20.0,24.0,17.0,14.0,58.0,4,"2200 Buford Ave, St Paul, MN 55108",44.9844951,-93.1931289
Nokomis Montessori North Campus,12.0,134.0,38.06,28.0,49.0,11.0,36.0,17.0,60.0,3,"985 Ruth St N, St Paul, MN 55119",44.97086669999999,-93.01563190000002
Nokomis Montessori South Campus,12.0,115.0,38.26,23.0,43.0,13.0,32.0,17.0,55.0,3,"525 White Bear Ave, St Paul, MN 55106",44.9573338,-93.025938
Obama Service Learning Elementary,12.0,133.0,16.54,4.0,8.0,73.0,14.0,20.0,88.0,1,"707 Holly Ave, St Paul, MN 55104",44.9436026,-93.1300544
Open World Learning Secondary,21.0,200.0,64.0,54.0,12.0,10.0,6.0,14.0,31.0,4,"640 Humboldt Ave, St Paul, MN 55107",44.9266188,-93.0844681
Parkway Montessori/Community Middle,21.0,423.0,29.55,14.0,45.0,22.0,24.0,21.0,76.0,1,"1363 Bush Ave, St Paul, MN 55106",44.9654834,-93.0428322
Paul & Sheila Wellstone Elementary,12.0,261.0,26.05,4.0,18.0,20.0,54.0,18.0,85.0,1,"1041 Marion St, St Paul, MN 55117",44.9728563,-93.1104994
Phalen Lake Hmong Studies Magnet,12.0,287.0,32.75,1.0,86.0,3.0,66.0,7.0,83.0,2,"1089 N Cypress St, St Paul, MN 55106",44.9738608,-93.0593449
Ramsey Middle School,21.0,531.0,38.79,25.0,15.0,44.0,10.0,12.0,63.0,3,"1700 Summit Ave, St Paul, MN 55105",44.940839700000005,-93.1722396
Randolph Heights Elementary,12.0,214.0,76.64,64.0,7.0,13.0,9.0,6.0,32.0,4,"348 Hamline Ave S, St Paul, MN 55105",44.9310863,-93.1559271
Riverview West School Of Excellence,12.0,169.0,18.93,6.0,4.0,22.0,46.0,11.0,75.0,1,"160 Isabel St E, St Paul, MN 55107",44.9328031,-93.0767957
Saint Paul Music Academy,12.0,308.0,31.82,5.0,55.0,22.0,54.0,19.0,90.0,2,"27 Geranium Ave E, St Paul, MN 55117",44.97604159999999,-93.1001936
St. Anthony Park Elementary,12.0,239.0,67.36,60.0,10.0,12.0,14.0,14.0,26.0,4,"2180 Knapp St, St Paul, MN 55108",44.9780331,-93.1917562
The Heights Community School,12.0,218.0,23.85,9.0,36.0,28.0,35.0,14.0,70.0,1,"1863 Clear Ave E, St Paul, MN 55119",44.9823881,-93.0209262
Washington Tech Secondary Magnet,21.0,961.0,28.1,5.0,51.0,27.0,38.0,14.0,88.0,1,"1495 Rice St, St Paul, MN 55117",44.987036700000004,-93.1113717
