School,School_Num,Grade,Total_Tested,Proficiency,White%,Asian%,Black%,ELL%,SPED%,FRPL%,Ranking,Address,Latitude,Longitude,Subject
Riverview West School Of Excellence,1653.0,12.0,163.0,11.66,5.0,2.0,22.0,47.0,10.0,75.0,1,"160 Isabel St E, St Paul, MN 55107",44.9328031,-93.0767957,Math
Saint Paul Music Academy,1674.0,12.0,308.0,35.06,5.0,55.0,22.0,54.0,19.0,90.0,2,"27 Geranium Ave E, St Paul, MN 55117",44.97604159999999,-93.1001936,Math
St. Anthony Park Elementary,1671.0,12.0,239.0,66.95,60.0,10.0,12.0,14.0,14.0,26.0,4,"2180 Knapp St, St Paul, MN 55108",44.9780331,-93.1917562,Math
The Heights Community School,1464.0,12.0,220.0,24.55,9.0,36.0,29.0,35.0,14.0,70.0,1,"1863 Clear Ave E, St Paul, MN 55119",44.9823881,-93.0209262,Math
American Indian Magnet School,3474.0,33.0,392.0,8.67,5.0,28.0,16.0,28.0,21.0,83.0,1,"1075 3rd St E, St Paul, MN 55106",44.957364500000004,-93.0549594,Math
Battle Creek Middle,930.0,21.0,733.0,16.92,5.0,40.0,36.0,32.0,16.0,80.0,1,"2121 N Park Dr, St Paul, MN 55119",44.9456836,-93.0117856,Math
Capitol Hill Magnet/Rondo,2964.0,33.0,1042.0,62.76,37.0,25.0,24.0,9.0,6.0,44.0,4,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Math
Creative Arts Secondary School,633.0,21.0,229.0,10.92,17.0,22.0,33.0,16.0,13.0,75.0,1,"65 E Kellogg Blvd, St Paul, MN 55101",44.9451284,-93.0909188,Math
Farnsworth Aerospace Upper,1260.0,26.0,614.0,21.99,5.0,61.0,18.0,31.0,13.0,78.0,2,"1000 N Walsh St, St Paul, MN 55106",44.97163700000001,-93.0688803,Math
Hazel Park Preparatory Academy,2934.0,33.0,432.0,13.66,3.0,31.0,46.0,25.0,15.0,89.0,1,"1140 White Bear Ave, St Paul, MN 55106",44.9755028,-93.023897,Math
Highland Park Middle School,990.0,21.0,766.0,39.16,40.0,5.0,19.0,10.0,10.0,46.0,4,"975 S, Snelling Ave S, St Paul, MN 55116",44.9114282,-93.1681431,Math
Humboldt High School,675.0,21.0,450.0,17.78,6.0,44.0,26.0,45.0,14.0,86.0,1,"30 Baker St E, St Paul, MN 55107",44.9259731,-93.08407659999999,Math
Linwood Monroe Arts Plus Upper,2112.0,26.0,462.0,32.03,28.0,19.0,32.0,30.0,20.0,65.0,3,"810 Palace Ave, St Paul, MN 55102",44.928376799999995,-93.1351524,Math
Murray Middle School,1026.0,21.0,664.0,35.39,35.0,20.0,24.0,17.0,14.0,58.0,4,"2200 Buford Ave, St Paul, MN 55108",44.9844951,-93.1931289,Math
Open World Learning Secondary,750.0,21.0,204.0,45.59,54.0,11.0,9.0,5.0,13.0,31.0,4,"640 Humboldt Ave, St Paul, MN 55107",44.9266188,-93.0844681,Math
Parkway Montessori/Community Middle,1032.0,21.0,422.0,18.96,14.0,45.0,22.0,24.0,21.0,77.0,1,"1363 Bush Ave, St Paul, MN 55106",44.9654834,-93.0428322,Math
Ramsey Middle School,1035.0,21.0,534.0,25.28,25.0,14.0,44.0,10.0,12.0,63.0,2,"1700 Summit Ave, St Paul, MN 55105",44.940839700000005,-93.1722396,Math
Washington Tech Secondary Magnet,756.0,21.0,962.0,27.86,5.0,51.0,27.0,38.0,14.0,88.0,2,"1495 Rice St, St Paul, MN 55117",44.987036700000004,-93.1113717,Math
Adams Magnet Elementary,1230.0,12.0,265.0,47.92,26.0,0.0,13.0,20.0,8.0,49.0,4,"615 S Chatsworth St, St Paul, MN 55102",44.923751,-93.143046,Reading
American Indian Magnet School,3474.0,33.0,392.0,15.82,5.0,28.0,16.0,28.0,21.0,83.0,1,"1075 3rd St E, St Paul, MN 55106",44.957364500000004,-93.0549594,Reading
Battle Creek Elementary School,1266.0,12.0,203.0,35.47,10.0,35.0,32.0,36.0,15.0,76.0,2,"60 Ruth St S, St Paul, MN 55119",44.9397245,-93.0138965,Reading
Battle Creek Middle,930.0,21.0,731.0,25.44,5.0,40.0,36.0,32.0,16.0,80.0,1,"2121 N Park Dr, St Paul, MN 55119",44.9456836,-93.0117856,Reading
Benjamin E Mays Magnet,1272.0,12.0,181.0,19.89,2.0,13.0,72.0,22.0,18.0,83.0,1,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Reading
Bruce F Vento Elementary,1347.0,12.0,228.0,22.37,4.0,46.0,31.0,39.0,17.0,91.0,1,"409 Case Ave E, St Paul, MN 55130",44.9708968,-93.08290140000001,Reading
Capitol Hill Magnet/Rondo,2964.0,33.0,1044.0,69.64,37.0,25.0,24.0,9.0,6.0,44.0,4,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Reading
Chelsea Heights Elementary,1275.0,12.0,220.0,56.36,46.0,10.0,22.0,13.0,14.0,50.0,4,"1557 Huron St, St Paul, MN 55108",44.987962700000004,-93.1560082,Reading
Cherokee Heights Elementary School,1284.0,12.0,91.0,20.88,12.0,8.0,23.0,31.0,21.0,81.0,1,"694 S Charlton St, St Paul, MN 55107",44.9251564,-93.0954308,Reading
Como Park Elementary,1293.0,12.0,212.0,39.62,12.0,46.0,22.0,43.0,17.0,81.0,3,"780 W Wheelock Pkwy, St Paul, MN 55117",44.978207700000006,-93.1331767,Reading
Creative Arts Secondary School,633.0,21.0,231.0,34.2,17.0,22.0,33.0,16.0,13.0,76.0,2,"65 E Kellogg Blvd, St Paul, MN 55101",44.9451284,-93.0909188,Reading
Crossroads Montessori,1395.0,12.0,86.0,41.86,21.0,22.0,22.0,15.0,12.0,63.0,3,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Reading
Crossroads Science Program,1398.0,12.0,146.0,34.93,9.0,26.0,47.0,19.0,12.0,75.0,2,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Reading
Daytons Bluff Elementary,1299.0,12.0,142.0,18.31,8.0,23.0,44.0,25.0,20.0,83.0,1,"262 Bates Ave, St Paul, MN 55106",44.954667,-93.0666879,Reading
Eastern Heights Elementary,1356.0,12.0,139.0,28.06,11.0,40.0,22.0,45.0,19.0,76.0,1,"2001 Margaret St, St Paul, MN 55119",44.96158699999999,-93.0166144,Reading
Expo For Excellence Elementary Sch,1305.0,12.0,313.0,61.02,54.0,5.0,26.0,11.0,15.0,36.0,4,"540 Warwick St, St Paul, MN 55116",44.9251799,-93.1621718,Reading
Farnsworth Aerospace Lower,916.0,7.0,206.0,32.52,8.0,68.0,11.0,57.0,9.0,73.0,2,"1290 Arcade St, St Paul, MN 55106",44.98080359999999,-93.0640926,Reading
Farnsworth Aerospace Upper,1260.0,26.0,618.0,32.36,5.0,61.0,18.0,31.0,13.0,78.0,2,"1000 N Walsh St, St Paul, MN 55106",44.97163700000001,-93.0688803,Reading
Four Seasons Elementary,1380.0,12.0,225.0,15.11,15.0,17.0,42.0,40.0,16.0,80.0,1,"318 N Moore St, St Paul, MN 55104",44.950436700000004,-93.183536,Reading
Frost Lake Elementary School,1392.0,12.0,239.0,25.1,7.0,47.0,25.0,51.0,15.0,84.0,1,"1505 Hoyt Ave E, St Paul, MN 55106",44.9885601,-93.0367747,Reading
Galtier Elementary School,1401.0,12.0,71.0,23.94,18.0,15.0,39.0,27.0,13.0,73.0,1,"1317 Charles Ave, St Paul, MN 55104",44.9578999,-93.15607929999999,Reading
Groveland Park Elementary,1428.0,12.0,189.0,56.08,44.0,5.0,30.0,14.0,14.0,50.0,4,"2045 St Clair Ave, St Paul, MN 55105",44.9345874,-93.1841441,Reading
Hamline Elementary School,1446.0,12.0,133.0,33.08,14.0,10.0,54.0,22.0,15.0,71.0,2,"1599 Englewood Ave, St Paul, MN 55104",44.964667999999996,-93.168084,Reading
Hazel Park Preparatory Academy,2934.0,33.0,438.0,21.69,3.0,31.0,46.0,24.0,16.0,89.0,1,"1140 White Bear Ave, St Paul, MN 55106",44.9755028,-93.023897,Reading
Highland Park Elementary,1473.0,12.0,197.0,43.15,27.0,10.0,48.0,30.0,7.0,63.0,3,"1700 W Saunders Ave, St Paul, MN 55116",44.9139273,-93.1700434,Reading
Highland Park Middle School,990.0,21.0,774.0,55.94,40.0,5.0,19.0,11.0,10.0,47.0,4,"975 S, Snelling Ave S, St Paul, MN 55116",44.9114282,-93.1681431,Reading
Highwood Hills Elementary,1488.0,12.0,113.0,21.24,4.0,25.0,53.0,49.0,16.0,88.0,1,"2188 Londin Ln E, St Paul, MN 55119",44.929363,-93.008086,Reading
Horace Mann School,1554.0,12.0,196.0,77.55,68.0,4.0,10.0,8.0,12.0,19.0,4,"2001 Eleanor Ave, St Paul, MN 55116",44.921083700000004,-93.185419,Reading
