School,School_Num,Grade,Total_Tested,Proficiency,White%,White_Proficiency%,Asian%,Asian_Proficiency%,Black%,Black_Proficiency%,ELL%,SPED%,FRPL%,FRPL_Proficiency%,NonFRPL%,NonFRPL_Proficiency%,Ranking,Address,Latitude,Longitude,Subject,City
Bruce F Vento Elementary,449.0,5.0,83.0,14.46,2.0,0.0,47.0,17.95,31.0,11.54,33.0,16.0,94.0,12.82,94.0,0.0,1,"409 Case Ave E, St Paul, MN 55130",44.9708968,-93.08290140000001,Science,Saint Paul
Chelsea Heights Elementary,425.0,5.0,75.0,54.67,45.0,64.71,9.0,0.0,21.0,50.0,7.0,20.0,49.0,35.14,49.0,73.68,4,"1557 Huron St, St Paul, MN 55108",44.987962700000004,-93.1560082,Science,Saint Paul
Cherokee Heights Elementary School,428.0,5.0,27.0,14.81,11.0,0.0,4.0,0.0,30.0,0.0,22.0,15.0,85.0,17.39,85.0,0.0,1,"694 S Charlton St, St Paul, MN 55107",44.9251564,-93.0954308,Science,Saint Paul
Como Park Elementary,431.0,5.0,71.0,23.94,20.0,50.0,39.0,7.14,18.0,30.77,31.0,23.0,76.0,20.37,76.0,35.29,2,"780 W Wheelock Pkwy, St Paul, MN 55117",44.978207700000006,-93.1331767,Science,Saint Paul
Crossroads Montessori,465.0,5.0,29.0,27.59,24.0,0.0,17.0,0.0,14.0,0.0,10.0,10.0,48.0,14.29,48.0,40.0,2,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Science,Saint Paul
Crossroads Science Program,466.0,5.0,49.0,20.41,6.0,0.0,24.0,33.33,51.0,8.0,16.0,16.0,86.0,14.29,86.0,0.0,1,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Science,Saint Paul
Daytons Bluff Elementary,433.0,5.0,47.0,10.64,4.0,0.0,21.0,20.0,53.0,4.0,23.0,17.0,87.0,12.2,87.0,0.0,1,"262 Bates Ave, St Paul, MN 55106",44.954667,-93.0666879,Science,Saint Paul
Eastern Heights Elementary,452.0,5.0,50.0,20.0,14.0,0.0,38.0,10.53,16.0,0.0,38.0,26.0,76.0,13.16,76.0,41.67,1,"2001 Margaret St, St Paul, MN 55119",44.96158699999999,-93.0166144,Science,Saint Paul
Expo For Excellence Elementary Sch,435.0,5.0,107.0,54.21,57.0,68.85,6.0,0.0,23.0,28.0,9.0,19.0,33.0,22.86,33.0,69.44,4,"540 Warwick St, St Paul, MN 55116",44.9251799,-93.1621718,Science,Saint Paul
Four Seasons Elementary,460.0,5.0,75.0,10.67,12.0,0.0,16.0,0.0,49.0,8.11,40.0,20.0,81.0,6.56,81.0,28.57,1,"318 N Moore St, St Paul, MN 55104",44.950436700000004,-93.183536,Science,Saint Paul
Frost Lake Elementary School,464.0,5.0,79.0,16.46,10.0,0.0,39.0,19.35,30.0,8.33,34.0,24.0,84.0,16.67,84.0,15.38,1,"1505 Hoyt Ave E, St Paul, MN 55106",44.9885601,-93.0367747,Science,Saint Paul
Galtier Elementary School,467.0,5.0,22.0,0.0,18.0,0.0,14.0,0.0,45.0,0.0,23.0,23.0,77.0,0.0,77.0,0.0,1,"1317 Charles Ave, St Paul, MN 55104",44.9578999,-93.15607929999999,Science,Saint Paul
Groveland Park Elementary,476.0,5.0,80.0,55.0,50.0,70.0,5.0,0.0,26.0,28.57,9.0,14.0,45.0,33.33,45.0,72.73,4,"2045 St Clair Ave, St Paul, MN 55105",44.9345874,-93.1841441,Science,Saint Paul
Hamline Elementary School,482.0,5.0,44.0,20.45,14.0,0.0,11.0,0.0,57.0,12.0,18.0,14.0,68.0,13.33,68.0,35.71,1,"1599 Englewood Ave, St Paul, MN 55104",44.964667999999996,-93.168084,Science,Saint Paul
Highland Park Elementary,491.0,5.0,72.0,30.56,28.0,65.0,7.0,0.0,49.0,11.43,18.0,6.0,62.0,11.11,62.0,62.96,3,"1700 W Saunders Ave, St Paul, MN 55116",44.9139273,-93.1700434,Science,Saint Paul
Highwood Hills Elementary,496.0,5.0,36.0,11.11,8.0,0.0,25.0,0.0,53.0,5.26,28.0,19.0,94.0,11.76,94.0,0.0,1,"2188 Londin Ln E, St Paul, MN 55119",44.929363,-93.008086,Science,Saint Paul
Horace Mann School,518.0,5.0,78.0,64.1,65.0,72.55,4.0,0.0,13.0,20.0,6.0,12.0,23.0,22.22,23.0,76.67,4,"2001 Eleanor Ave, St Paul, MN 55116",44.921083700000004,-93.185419,Science,Saint Paul
Jackson Preparatory Elementary,500.0,5.0,51.0,21.57,2.0,0.0,51.0,34.62,31.0,12.5,43.0,12.0,88.0,13.33,88.0,0.0,1,"437 Edmund Ave W, St Paul, MN 55103",44.958794299999994,-93.11812509999999,Science,Saint Paul
Jie Ming Mandarin Immersion Academy,483.0,5.0,21.0,85.71,38.0,0.0,43.0,0.0,5.0,0.0,10.0,0.0,33.0,0.0,33.0,92.86,4,"1845 Sheridan Ave W, St Paul, MN 55116",44.9021561,-93.17898570000001,Science,Saint Paul
Jj Hill Montessori,493.0,5.0,46.0,32.61,43.0,60.0,9.0,0.0,33.0,0.0,22.0,9.0,43.0,0.0,43.0,57.69,3,"998 Selby Ave, St Paul, MN 55104",44.9462463,-93.14267729999999,Science,Saint Paul
John A. Johnson Achievement Plus El.,415.0,5.0,54.0,18.52,7.0,0.0,28.0,20.0,33.0,16.67,28.0,17.0,89.0,16.67,89.0,0.0,1,"740 York Ave, St Paul, MN 55106",44.96802599999999,-93.06880090000001,Science,Saint Paul
Maxfield Elementary School,524.0,5.0,40.0,7.5,8.0,0.0,5.0,0.0,78.0,0.0,2.0,10.0,78.0,9.68,78.0,0.0,1,"380 N Victoria St, St Paul, MN 55104",44.95261729999999,-93.135536,Science,Saint Paul
Nokomis Montessori North Campus,533.0,5.0,38.0,36.84,34.0,61.54,42.0,25.0,16.0,0.0,16.0,21.0,47.0,22.22,47.0,50.0,3,"985 Ruth St N, St Paul, MN 55119",44.97086669999999,-93.01563190000002,Science,Saint Paul
Nokomis Montessori South Campus,534.0,5.0,37.0,29.73,19.0,0.0,51.0,26.32,14.0,0.0,32.0,16.0,49.0,27.78,49.0,31.58,2,"525 White Bear Ave, St Paul, MN 55106",44.9573338,-93.025938,Science,Saint Paul
Obama Service Learning Elementary,578.0,5.0,46.0,4.35,2.0,0.0,11.0,0.0,70.0,3.12,11.0,22.0,96.0,4.55,96.0,0.0,1,"707 Holly Ave, St Paul, MN 55104",44.9436026,-93.1300544,Science,Saint Paul
Paul & Sheila Wellstone Elementary,552.0,5.0,94.0,18.09,2.0,0.0,16.0,20.0,14.0,15.38,44.0,19.0,83.0,14.1,83.0,37.5,1,"1041 Marion St, St Paul, MN 55117",44.9728563,-93.1104994,Science,Saint Paul
Phalen Lake Hmong Studies Magnet,541.0,5.0,97.0,17.53,1.0,0.0,85.0,17.07,5.0,0.0,54.0,9.0,85.0,18.29,85.0,13.33,1,"1089 N Cypress St, St Paul, MN 55106",44.9738608,-93.0593449,Science,Saint Paul
Randolph Heights Elementary,545.0,5.0,67.0,65.67,60.0,75.0,13.0,0.0,10.0,0.0,4.0,4.0,31.0,42.86,31.0,76.09,4,"348 Hamline Ave S, St Paul, MN 55105",44.9310863,-93.1559271,Science,Saint Paul
Riverview West School Of Excellence,551.0,5.0,50.0,8.0,2.0,0.0,2.0,0.0,26.0,7.69,40.0,10.0,72.0,8.33,72.0,7.14,1,"160 Isabel St E, St Paul, MN 55107",44.9328031,-93.0767957,Science,Saint Paul
Saint Paul Music Academy,558.0,5.0,110.0,11.82,5.0,0.0,55.0,16.67,24.0,3.85,47.0,21.0,93.0,11.76,93.0,0.0,1,"27 Geranium Ave E, St Paul, MN 55117",44.97604159999999,-93.1001936,Science,Saint Paul
St. Anthony Park Elementary,557.0,5.0,70.0,62.86,57.0,92.5,13.0,0.0,19.0,7.69,19.0,11.0,33.0,26.09,33.0,80.85,4,"2180 Knapp St, St Paul, MN 55108",44.9780331,-93.1917562,Science,Saint Paul
The Heights Community School,488.0,5.0,69.0,10.14,10.0,0.0,33.0,17.39,26.0,0.0,26.0,12.0,67.0,10.87,67.0,8.7,1,"1863 Clear Ave E, St Paul, MN 55119",44.9823881,-93.0209262,Science,Saint Paul
American Indian Magnet School,1158.0,13.0,119.0,9.24,4.0,0.0,28.0,15.15,18.0,0.0,29.0,23.0,90.0,10.28,90.0,0.0,1,"1075 3rd St E, St Paul, MN 55106",44.957364500000004,-93.0549594,Science,Saint Paul
Battle Creek Middle,310.0,8.0,235.0,12.34,5.0,33.33,40.0,12.9,35.0,9.64,35.0,15.0,75.0,10.17,75.0,18.97,1,"2121 N Park Dr, St Paul, MN 55119",44.9456836,-93.0117856,Science,Saint Paul
Capitol Hill Magnet/Rondo,988.0,13.0,350.0,56.0,39.0,86.76,23.0,40.74,26.0,23.33,7.0,7.0,44.0,34.19,44.0,73.33,4,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Science,Saint Paul
Creative Arts Secondary School,211.0,8.0,49.0,20.41,20.0,50.0,18.0,0.0,33.0,6.25,8.0,10.0,61.0,10.0,61.0,36.84,2,"65 E Kellogg Blvd, St Paul, MN 55101",44.9451284,-93.0909188,Science,Saint Paul
Farnsworth Aerospace Upper,630.0,13.0,270.0,21.85,5.0,0.0,64.0,21.26,17.0,12.77,31.0,10.0,79.0,19.34,79.0,31.03,2,"1000 N Walsh St, St Paul, MN 55106",44.97163700000001,-93.0688803,Science,Saint Paul
Hazel Park Preparatory Academy,978.0,13.0,136.0,11.76,3.0,0.0,38.0,15.38,40.0,9.26,24.0,15.0,90.0,12.3,90.0,7.14,1,"1140 White Bear Ave, St Paul, MN 55106",44.9755028,-93.023897,Science,Saint Paul
Highland Park Middle School,330.0,8.0,229.0,37.12,42.0,66.67,4.0,40.0,17.0,15.38,8.0,7.0,47.0,14.02,47.0,57.38,4,"975 S, Snelling Ave S, St Paul, MN 55116",44.9114282,-93.1681431,Science,Saint Paul
Humboldt High School,225.0,8.0,154.0,5.19,6.0,0.0,47.0,4.11,27.0,2.44,52.0,12.0,86.0,5.3,86.0,4.55,1,"30 Baker St E, St Paul, MN 55107",44.9259731,-93.08407659999999,Science,Saint Paul
Linwood Monroe Arts Plus Upper,1056.0,13.0,197.0,27.41,29.0,59.65,20.0,12.82,31.0,6.45,32.0,20.0,65.0,14.06,65.0,52.17,3,"810 Palace Ave, St Paul, MN 55102",44.928376799999995,-93.1351524,Science,Saint Paul
Murray Middle School,342.0,8.0,207.0,34.3,42.0,60.47,19.0,20.0,22.0,13.04,15.0,14.0,53.0,13.64,53.0,57.73,4,"2200 Buford Ave, St Paul, MN 55108",44.9844951,-93.1931289,Science,Saint Paul
Open World Learning Secondary,250.0,8.0,69.0,42.03,49.0,58.82,14.0,40.0,16.0,18.18,9.0,10.0,36.0,16.0,36.0,56.82,4,"640 Humboldt Ave, St Paul, MN 55107",44.9266188,-93.0844681,Science,Saint Paul
Parkway Montessori/Community Middle,344.0,8.0,128.0,15.62,16.0,50.0,51.0,12.31,19.0,0.0,27.0,15.0,77.0,12.12,77.0,27.59,1,"1363 Bush Ave, St Paul, MN 55106",44.9654834,-93.0428322,Science,Saint Paul
Ramsey Middle School,345.0,8.0,173.0,33.53,26.0,73.33,19.0,15.15,40.0,20.29,10.0,11.0,61.0,18.87,61.0,56.72,4,"1700 Summit Ave, St Paul, MN 55105",44.940839700000005,-93.1722396,Science,Saint Paul
Washington Tech Secondary Magnet,252.0,8.0,302.0,13.25,6.0,41.18,53.0,13.04,26.0,8.97,46.0,10.0,89.0,11.9,89.0,24.24,1,"1495 Rice St, St Paul, MN 55117",44.987036700000004,-93.1113717,Science,Saint Paul
Anishinabe Academy,675.0,12.0,109.0,11.01,0.0,0.0,0.0,0.0,4.0,0.0,0.0,27.0,94.0,9.8,94.0,0.0,1,"3100 E 28th St, Minneapolis, MN 55406",44.952659000000004,-93.22647070000001,Math,Minneapolis
Armatage Elementary,309.0,12.0,279.0,83.15,70.0,94.33,1.0,0.0,19.0,44.23,8.0,9.0,21.0,47.46,21.0,92.73,4,"2501 W 56th St, Minneapolis, MN 55410",44.901004,-93.311387,Math,Minneapolis
Bancroft Elementary,315.0,12.0,225.0,34.22,15.0,55.88,2.0,0.0,47.0,30.19,34.0,20.0,83.0,32.62,83.0,42.11,1,"1315 E 38th St, Minneapolis, MN 55407",44.9337991,-93.2555732,Math,Minneapolis
Bethune Elementary,321.0,12.0,127.0,11.81,2.0,0.0,3.0,0.0,84.0,12.15,6.0,31.0,94.0,10.92,94.0,0.0,1,"919 Emerson Ave N, Minneapolis, MN 55411",44.987648799999995,-93.29531870000001,Math,Minneapolis
Bryn Mawr Elementary,747.0,12.0,147.0,14.29,10.0,0.0,22.0,15.62,52.0,10.39,20.0,24.0,85.0,12.8,85.0,0.0,1,"252 Upton Ave S, Minneapolis, MN 55405",44.973970200000004,-93.3169914,Math,Minneapolis
Burroughs Elementary,330.0,12.0,364.0,82.97,78.0,89.08,4.0,0.0,9.0,32.26,4.0,10.0,13.0,36.17,13.0,89.27,4,"1601 W 50th St, Minneapolis, MN 55419",44.91170090000001,-93.3004194,Math,Minneapolis
Cityview Community,879.0,12.0,111.0,18.92,1.0,0.0,5.0,0.0,78.0,18.39,10.0,26.0,93.0,19.42,93.0,0.0,1,"3350 N 4th St, Minneapolis, MN 55412",45.01605439999999,-93.2839668,Math,Minneapolis
Dowling Elementary,540.0,12.0,238.0,59.66,46.0,75.45,0.0,0.0,37.0,40.23,12.0,13.0,48.0,41.74,48.0,76.42,4,"3900 W River Pkwy, Minneapolis, MN 55406",44.932331500000004,-93.20396540000002,Math,Minneapolis
Emerson Elementary,780.0,12.0,219.0,29.22,13.0,25.0,1.0,0.0,8.0,0.0,53.0,8.0,75.0,22.56,75.0,49.09,1,"1421 Spruce Pl, Minneapolis, MN 55403",44.968248100000004,-93.2804579,Math,Minneapolis
Green Central Park Elementary,768.0,12.0,139.0,20.86,4.0,0.0,2.0,0.0,28.0,15.38,57.0,14.0,94.0,20.77,94.0,0.0,1,"3416 4th Ave S, Minneapolis, MN 55408",44.94002529999999,-93.2710938,Math,Minneapolis
Hale Elementary,246.0,7.0,247.0,85.43,69.0,90.64,2.0,0.0,7.0,47.06,2.0,13.0,15.0,63.89,15.0,89.1,4,"5330 13th Ave S, Minneapolis, MN 55417",44.9061685,-93.2567911,Math,Minneapolis
Hall International,861.0,12.0,93.0,17.2,6.0,0.0,0.0,0.0,77.0,13.89,5.0,20.0,98.0,17.58,98.0,0.0,1,"1601 Aldrich Ave N, Minneapolis, MN 55411",44.9958245,-93.28994,Math,Minneapolis
Howe Elementary,396.0,12.0,215.0,69.77,60.0,83.72,3.0,0.0,13.0,34.48,9.0,15.0,37.0,48.75,37.0,82.22,4,"3733 43rd Ave S, Minneapolis, MN 55406",44.9348426,-93.2108858,Math,Minneapolis
Jenny Lind Elementary,453.0,12.0,196.0,20.41,5.0,0.0,12.0,20.83,68.0,14.18,11.0,20.0,92.0,19.89,92.0,0.0,1,"5025 Bryant Ave N, Minneapolis, MN 55430",45.0466854,-93.2923106,Math,Minneapolis
Kenny Elementary,405.0,12.0,231.0,77.06,65.0,87.42,6.0,0.0,16.0,31.58,6.0,13.0,27.0,59.68,27.0,83.43,4,"5720 Emerson Ave S, Minneapolis, MN 55419",44.899005700000004,-93.29554370000001,Math,Minneapolis
Kenwood Elementary,408.0,12.0,187.0,56.15,65.0,66.94,5.0,0.0,17.0,18.75,6.0,8.0,24.0,17.78,24.0,68.31,3,"2013 Penn Ave S, Minneapolis, MN 55405",44.9621638,-93.30775190000001,Math,Minneapolis
Lake Harriet Lower Elementary,104.0,3.0,110.0,90.91,77.0,92.94,9.0,100.0,5.0,0.0,2.0,5.0,5.0,0.0,5.0,91.43,4,"4030 Chowen Ave S, Minneapolis, MN 55410",44.92918040000001,-93.3262216,Math,Minneapolis
Loring Elementary,420.0,12.0,183.0,40.98,24.0,75.0,13.0,12.5,44.0,27.16,15.0,15.0,68.0,29.84,68.0,64.41,2,"2600 N 44th Ave, Minneapolis, MN 55412",45.0359989,-93.3135523,Math,Minneapolis
Lucy Laney @ Cleveland Park Elem.,846.0,12.0,203.0,30.05,2.0,0.0,1.0,0.0,92.0,28.49,0.0,18.0,87.0,28.25,87.0,23.08,1,"3333 Penn Ave N, Minneapolis, MN 55412",45.015994,-93.3088641,Math,Minneapolis
Lyndale Elementary,432.0,12.0,234.0,46.58,34.0,75.95,2.0,0.0,50.0,27.35,27.0,18.0,58.0,26.67,58.0,73.74,2,"312 W 34th St, Minneapolis, MN 55408",44.9417057,-93.283671,Math,Minneapolis
Nellie Stone Johnson Elementary,864.0,12.0,180.0,27.22,3.0,0.0,1.0,0.0,52.0,20.43,32.0,19.0,97.0,27.01,97.0,0.0,1,"807 N 27th Ave, Minneapolis, MN 55411",45.0070463,-93.2902821,Math,Minneapolis
Northrop Elementary,456.0,12.0,227.0,70.93,74.0,81.44,4.0,0.0,5.0,0.0,7.0,12.0,25.0,39.29,25.0,81.29,4,"4315 S 31st Ave, Minneapolis, MN 55406",44.924452,-93.22654920000001,Math,Minneapolis
Pillsbury Elementary,465.0,12.0,154.0,44.16,21.0,43.75,3.0,0.0,45.0,47.83,40.0,19.0,81.0,41.13,81.0,40.0,2,"2250 NE Garfield St, Minneapolis, MN 55418",45.010763399999995,-93.2340772,Math,Minneapolis
Pratt Elementary,468.0,12.0,129.0,42.64,26.0,58.82,3.0,0.0,50.0,32.31,19.0,16.0,60.0,22.08,60.0,73.08,2,"66 Malcolm Ave SE, Minneapolis, MN 55414",44.9690028,-93.214034,Math,Minneapolis
Sheridan Elementary,483.0,12.0,100.0,16.0,11.0,0.0,1.0,0.0,51.0,15.69,25.0,29.0,87.0,14.94,87.0,0.0,1,"1201 University Ave NE, Minneapolis, MN 55413",44.9991024,-93.2620418,Math,Minneapolis
Waite Park Elementary,495.0,12.0,192.0,60.42,55.0,75.24,2.0,0.0,20.0,39.47,14.0,15.0,48.0,42.39,48.0,77.0,4,"1800 34th Ave NE, Minneapolis, MN 55418",45.0301072,-93.2345818,Math,Minneapolis
Webster Elementary,645.0,12.0,89.0,38.2,39.0,42.86,3.0,0.0,37.0,21.21,11.0,24.0,62.0,23.64,62.0,50.0,2,"425 5th St NE, Minneapolis, MN 55413",44.9943824,-93.2562151,Math,Minneapolis
Whittier International,867.0,12.0,244.0,22.13,22.0,58.49,2.0,0.0,44.0,8.41,36.0,12.0,74.0,11.11,74.0,53.12,1,"315 W 26th St, Minneapolis, MN 55404",44.9547488,-93.2839143,Math,Minneapolis
Windom School,510.0,12.0,266.0,57.89,48.0,85.16,1.0,0.0,2.0,0.0,27.0,8.0,39.0,29.13,39.0,76.07,4,"5821 Wentworth Ave, Minneapolis, MN 55419",44.896914,-93.280074,Math,Minneapolis
Andersen Community,1140.0,33.0,567.0,19.22,5.0,0.0,1.0,0.0,31.0,7.43,56.0,19.0,96.0,18.63,96.0,0.0,1,"1098 Andersen Ln, Minneapolis, MN 55407",44.9533496,-93.25867690000001,Math,Minneapolis
Anthony Middle School,900.0,21.0,752.0,57.45,54.0,73.33,3.0,0.0,27.0,28.36,12.0,12.0,38.0,30.1,38.0,74.51,4,"5757 Irving Ave S, Minneapolis, MN 55419",44.89846199999999,-93.29895100000002,Math,Minneapolis
Anwatin Middle Com & Spanish D I,927.0,21.0,482.0,37.55,15.0,77.03,8.0,29.73,34.0,19.02,23.0,14.0,67.0,29.19,67.0,54.37,2,"256 Upton Ave S, Minneapolis, MN 55405",44.973612100000004,-93.31647020000001,Math,Minneapolis
Barton Open Elementary,636.0,33.0,460.0,51.09,47.0,77.52,3.0,0.0,40.0,20.43,20.0,9.0,46.0,25.0,46.0,73.39,4,"4237 Colfax Ave S, Minneapolis, MN 55409",44.92545399999999,-93.2912189,Math,Minneapolis
Field Community,476.0,26.0,503.0,74.75,74.0,86.1,3.0,0.0,11.0,23.21,3.0,11.0,18.0,32.26,18.0,84.39,4,"4645 4th Ave S, Minneapolis, MN 55419",44.9184848,-93.26983620000001,Math,Minneapolis
Folwell Arts Magnet,1050.0,33.0,554.0,17.33,8.0,14.89,1.0,0.0,27.0,10.14,37.0,16.0,85.0,14.16,85.0,35.8,1,"3611 20th Ave S, Minneapolis, MN 55407",44.9373319,-93.2428068,Math,Minneapolis
Franklin Middle School,981.0,21.0,386.0,10.1,3.0,0.0,2.0,0.0,73.0,6.36,10.0,24.0,90.0,9.46,90.0,16.22,1,"1501 Aldrich Ave N, Minneapolis, MN 55412",44.9939916,-93.29028220000001,Math,Minneapolis
Heritage Stem Academy,1170.0,21.0,52.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,60.0,4.0,98.0,0.0,98.0,0.0,1,"1042 18th Ave SE, Minneapolis, MN 55414",44.988997600000005,-93.226216,Math,Minneapolis
Hmong International Academy,1746.0,33.0,320.0,12.19,1.0,0.0,46.0,17.81,47.0,7.33,53.0,15.0,91.0,11.38,91.0,0.0,1,"1501 N 30th Ave, Minneapolis, MN 55411",45.01060469999999,-93.2984375,Math,Minneapolis
Jefferson Elementary,1074.0,33.0,302.0,13.91,4.0,0.0,4.0,0.0,35.0,10.48,53.0,20.0,93.0,13.21,93.0,0.0,1,"11331 Jefferson St NE, Blaine, MN 55434",45.176969,-93.25401590000001,Math,Minneapolis
Justice Page Middle School,969.0,21.0,828.0,63.65,52.0,88.71,3.0,78.57,23.0,27.98,17.0,11.0,43.0,30.06,43.0,88.98,4,"1 W 49th St, Minneapolis, MN 55419",44.9132658,-93.2789541,Math,Minneapolis
Lake Harriet Upper School,605.0,30.0,599.0,82.14,85.0,85.21,5.0,29.03,4.0,0.0,3.0,8.0,8.0,44.0,8.0,84.7,4,"4912 Vincent Ave S, Minneapolis, MN 55410",44.91355679999999,-93.3169375,Math,Minneapolis
Lk Nokomis Comm-Keewaydin Campus,804.0,33.0,444.0,50.0,56.0,65.86,3.0,0.0,18.0,17.5,9.0,16.0,46.0,26.83,46.0,69.87,4,"5209 30th Ave S, Minneapolis, MN 55417",44.908198299999995,-93.2289051,Math,Minneapolis
Marcy Open Elementary,1356.0,33.0,465.0,43.66,42.0,70.98,4.0,0.0,38.0,13.56,16.0,13.0,54.0,21.12,54.0,70.09,3,"415 4th Ave SE, Minneapolis, MN 55414",44.9866816,-93.2498215,Math,Minneapolis
Mpls_District_All,0.0,33.0,14804.0,43.31,36.0,76.19,4.0,43.62,34.0,18.98,20.0,15.0,58.0,21.79,58.0,73.01,3,,,,Math,Minneapolis
Northeast Middle,948.0,21.0,447.0,20.13,22.0,41.84,5.0,0.0,44.0,10.66,16.0,24.0,74.0,12.12,74.0,42.74,1,"2955 Hayes St NE, Minneapolis, MN 55418",45.0214943,-93.2343793,Math,Minneapolis
Olson Middle,954.0,21.0,352.0,17.9,12.0,55.81,9.0,15.15,60.0,10.85,12.0,24.0,81.0,11.97,81.0,42.65,1,"1607 51st Ave N, Minneapolis, MN 55430",45.046521999999996,-93.3010377,Math,Minneapolis
Sanford Middle,972.0,21.0,923.0,36.4,41.0,59.74,3.0,17.24,25.0,18.34,15.0,15.0,57.0,17.84,57.0,61.11,2,"3524 42nd Ave S, Minneapolis, MN 55406",44.938672499999996,-93.2133587,Math,Minneapolis
Seward Elementary,960.0,33.0,533.0,35.27,39.0,64.42,2.0,0.0,48.0,11.76,21.0,7.0,54.0,13.54,54.0,60.82,2,"2309 S 28th Ave, Minneapolis, MN 55406",44.9600905,-93.2309804,Math,Minneapolis
Sullivan Elementary,1158.0,33.0,334.0,21.56,3.0,0.0,0.0,0.0,86.0,21.95,56.0,17.0,90.0,22.67,90.0,0.0,1,"3100 E 28th St, Minneapolis, MN 55406",44.952659000000004,-93.22647070000001,Math,Minneapolis
Adams Magnet Elementary,1230.0,12.0,265.0,47.92,26.0,76.81,0.0,,13.0,14.29,20.0,8.0,49.0,27.48,49.0,67.91,4,"615 S Chatsworth St, St Paul, MN 55102",44.923751,-93.143046,Reading,Minneapolis
American Indian Magnet School,3474.0,33.0,392.0,15.82,5.0,0.0,28.0,17.59,16.0,3.23,28.0,21.0,83.0,15.74,83.0,11.76,1,"1075 3rd St E, St Paul, MN 55106",44.957364500000004,-93.0549594,Reading,Minneapolis
Battle Creek Elementary School,1266.0,12.0,203.0,35.47,10.0,4.76,35.0,33.8,32.0,32.31,36.0,15.0,76.0,31.17,76.0,48.98,2,"60 Ruth St S, St Paul, MN 55119",44.9397245,-93.0138965,Reading,Minneapolis
Battle Creek Middle,930.0,21.0,731.0,25.44,5.0,40.0,40.0,27.24,36.0,20.83,32.0,16.0,80.0,23.33,80.0,33.78,1,"2121 N Park Dr, St Paul, MN 55119",44.9456836,-93.0117856,Reading,Minneapolis
Benjamin E Mays Magnet,1272.0,12.0,181.0,19.89,2.0,0.0,13.0,13.04,72.0,17.69,22.0,18.0,83.0,19.21,83.0,16.67,1,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Reading,Minneapolis
Bruce F Vento Elementary,1347.0,12.0,228.0,22.37,4.0,0.0,46.0,23.08,31.0,21.43,39.0,17.0,91.0,21.63,91.0,0.0,1,"409 Case Ave E, St Paul, MN 55130",44.9708968,-93.08290140000001,Reading,Minneapolis
Capitol Hill Magnet/Rondo,2964.0,33.0,1044.0,69.64,37.0,88.21,25.0,58.24,24.0,52.99,9.0,6.0,44.0,53.7,44.0,82.19,4,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Reading,Minneapolis
Chelsea Heights Elementary,1275.0,12.0,220.0,56.36,46.0,72.55,10.0,17.39,22.0,43.75,13.0,14.0,50.0,43.12,50.0,69.37,4,"1557 Huron St, St Paul, MN 55108",44.987962700000004,-93.1560082,Reading,Minneapolis
Cherokee Heights Elementary School,1284.0,12.0,91.0,20.88,12.0,0.0,8.0,0.0,23.0,0.0,31.0,21.0,81.0,20.27,81.0,0.0,1,"694 S Charlton St, St Paul, MN 55107",44.9251564,-93.0954308,Reading,Minneapolis
Como Park Elementary,1293.0,12.0,212.0,39.62,12.0,38.46,46.0,42.27,22.0,31.91,43.0,17.0,81.0,34.5,81.0,60.98,3,"780 W Wheelock Pkwy, St Paul, MN 55117",44.978207700000006,-93.1331767,Reading,Minneapolis
Creative Arts Secondary School,633.0,21.0,231.0,34.2,17.0,56.41,22.0,22.0,33.0,27.63,16.0,13.0,76.0,28.0,76.0,53.57,2,"65 E Kellogg Blvd, St Paul, MN 55101",44.9451284,-93.0909188,Reading,Minneapolis
Crossroads Montessori,1395.0,12.0,86.0,41.86,21.0,0.0,22.0,15.79,22.0,0.0,15.0,12.0,63.0,29.63,63.0,53.12,3,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Reading,Minneapolis
Crossroads Science Program,1398.0,12.0,146.0,34.93,9.0,0.0,26.0,31.58,47.0,24.64,19.0,12.0,75.0,29.09,75.0,36.11,2,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Reading,Minneapolis
Daytons Bluff Elementary,1299.0,12.0,142.0,18.31,8.0,0.0,23.0,12.5,44.0,12.7,25.0,20.0,83.0,18.64,83.0,0.0,1,"262 Bates Ave, St Paul, MN 55106",44.954667,-93.0666879,Reading,Minneapolis
Eastern Heights Elementary,1356.0,12.0,139.0,28.06,11.0,0.0,40.0,27.27,22.0,6.67,45.0,19.0,76.0,19.05,76.0,55.88,1,"2001 Margaret St, St Paul, MN 55119",44.96158699999999,-93.0166144,Reading,Minneapolis
Expo For Excellence Elementary Sch,1305.0,12.0,313.0,61.02,54.0,78.57,5.0,0.0,26.0,27.5,11.0,15.0,36.0,28.07,36.0,79.9,4,"540 Warwick St, St Paul, MN 55116",44.9251799,-93.1621718,Reading,Minneapolis
