School,School_Num,Grade,Total_Tested,Proficiency,White%,White_Proficiency%,Asian%,Asian_Proficiency%,Black%,Black_Proficiency%,ELL%,SPED%,FRPL%,FRPL_Proficiency%,NonFRPL%,NonFRPL_Proficiency%,Ranking,Address,Latitude,Longitude,Subject,City
John A. Johnson Achievement Plus El.,1245.0,12.0,158.0,13.92,6.0,0.0,25.0,20.0,43.0,10.29,29.0,14.0,89.0,14.89,89.0,0.0,1,"740 York Ave, St Paul, MN 55106",44.96802599999999,-93.06880090000001,Math,Saint Paul
Linwood Monroe Arts Plus Lower,1020.0,7.0,157.0,33.12,32.0,58.0,27.0,14.29,20.0,19.35,41.0,22.0,69.0,16.51,69.0,70.83,2,"1023 Osceola Ave, St Paul, MN 55105",44.93609230000001,-93.1435396,Math,Saint Paul
Maxfield Elementary School,1572.0,12.0,124.0,14.52,6.0,0.0,6.0,0.0,69.0,9.41,8.0,19.0,82.0,14.71,82.0,0.0,1,"380 N Victoria St, St Paul, MN 55104",44.95261729999999,-93.135536,Math,Saint Paul
Nokomis Montessori North Campus,1599.0,12.0,133.0,30.83,29.0,50.0,49.0,16.92,11.0,0.0,36.0,17.0,59.0,22.78,59.0,42.59,2,"985 Ruth St N, St Paul, MN 55119",44.97086669999999,-93.01563190000002,Math,Saint Paul
Nokomis Montessori South Campus,1602.0,12.0,115.0,25.22,23.0,15.38,43.0,22.0,13.0,0.0,32.0,17.0,55.0,14.29,55.0,38.46,1,"525 White Bear Ave, St Paul, MN 55106",44.9573338,-93.025938,Math,Saint Paul
Obama Service Learning Elementary,1734.0,12.0,131.0,14.5,4.0,0.0,8.0,0.0,74.0,10.31,13.0,18.0,88.0,14.78,88.0,0.0,1,"707 Holly Ave, St Paul, MN 55104",44.9436026,-93.1300544,Math,Saint Paul
Paul & Sheila Wellstone Elementary,1656.0,12.0,262.0,19.47,4.0,0.0,18.0,21.74,20.0,9.43,54.0,18.0,85.0,15.77,85.0,40.0,1,"1041 Marion St, St Paul, MN 55117",44.9728563,-93.1104994,Math,Saint Paul
Phalen Lake Hmong Studies Magnet,1623.0,12.0,288.0,37.85,1.0,0.0,86.0,38.46,4.0,0.0,66.0,7.0,83.0,36.97,83.0,42.0,3,"1089 N Cypress St, St Paul, MN 55106",44.9738608,-93.0593449,Math,Saint Paul
Randolph Heights Elementary,1635.0,12.0,214.0,75.7,64.0,86.86,7.0,0.0,13.0,18.52,9.0,6.0,32.0,50.0,32.0,87.67,4,"348 Hamline Ave S, St Paul, MN 55105",44.9310863,-93.1559271,Math,Saint Paul
Riverview West School Of Excellence,1653.0,12.0,163.0,11.66,5.0,0.0,2.0,0.0,22.0,11.11,47.0,10.0,75.0,12.2,75.0,10.0,1,"160 Isabel St E, St Paul, MN 55107",44.9328031,-93.0767957,Math,Saint Paul
Saint Paul Music Academy,1674.0,12.0,308.0,35.06,5.0,0.0,55.0,40.59,22.0,26.47,54.0,19.0,90.0,33.94,90.0,29.03,2,"27 Geranium Ave E, St Paul, MN 55117",44.97604159999999,-93.1001936,Math,Saint Paul
St. Anthony Park Elementary,1671.0,12.0,239.0,66.95,60.0,80.56,10.0,0.0,12.0,13.79,14.0,14.0,26.0,40.32,26.0,76.27,4,"2180 Knapp St, St Paul, MN 55108",44.9780331,-93.1917562,Math,Saint Paul
The Heights Community School,1464.0,12.0,220.0,24.55,9.0,0.0,36.0,30.38,29.0,10.94,35.0,14.0,70.0,19.48,70.0,36.36,1,"1863 Clear Ave E, St Paul, MN 55119",44.9823881,-93.0209262,Math,Saint Paul
American Indian Magnet School,3474.0,33.0,392.0,8.67,5.0,0.0,28.0,11.11,16.0,0.0,28.0,21.0,83.0,8.33,83.0,10.29,1,"1075 3rd St E, St Paul, MN 55106",44.957364500000004,-93.0549594,Math,Saint Paul
Battle Creek Middle,930.0,21.0,733.0,16.92,5.0,20.59,40.0,25.6,36.0,9.09,32.0,16.0,80.0,15.21,80.0,23.65,1,"2121 N Park Dr, St Paul, MN 55119",44.9456836,-93.0117856,Math,Saint Paul
Capitol Hill Magnet/Rondo,2964.0,33.0,1042.0,62.76,37.0,85.86,25.0,54.62,24.0,37.85,9.0,6.0,44.0,43.48,44.0,78.01,4,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Math,Saint Paul
Creative Arts Secondary School,633.0,21.0,229.0,10.92,17.0,21.05,22.0,10.0,33.0,2.63,16.0,13.0,75.0,7.56,75.0,21.05,1,"65 E Kellogg Blvd, St Paul, MN 55101",44.9451284,-93.0909188,Math,Saint Paul
Farnsworth Aerospace Upper,1260.0,26.0,614.0,21.99,5.0,0.0,61.0,25.53,18.0,8.85,31.0,13.0,78.0,18.91,78.0,32.61,2,"1000 N Walsh St, St Paul, MN 55106",44.97163700000001,-93.0688803,Math,Saint Paul
Hazel Park Preparatory Academy,2934.0,33.0,432.0,13.66,3.0,0.0,31.0,25.93,46.0,6.09,25.0,15.0,89.0,12.76,89.0,14.58,1,"1140 White Bear Ave, St Paul, MN 55106",44.9755028,-93.023897,Math,Saint Paul
Highland Park Middle School,990.0,21.0,766.0,39.16,40.0,69.71,5.0,50.0,19.0,19.18,10.0,10.0,46.0,13.2,46.0,61.71,4,"975 S, Snelling Ave S, St Paul, MN 55116",44.9114282,-93.1681431,Math,Saint Paul
Humboldt High School,675.0,21.0,450.0,17.78,6.0,7.41,44.0,27.27,26.0,10.17,45.0,14.0,86.0,18.04,86.0,16.13,1,"30 Baker St E, St Paul, MN 55107",44.9259731,-93.08407659999999,Math,Saint Paul
Linwood Monroe Arts Plus Upper,2112.0,26.0,462.0,32.03,28.0,57.69,19.0,23.26,32.0,16.78,30.0,20.0,65.0,17.88,65.0,58.75,3,"810 Palace Ave, St Paul, MN 55102",44.928376799999995,-93.1351524,Math,Saint Paul
Murray Middle School,1026.0,21.0,664.0,35.39,35.0,64.81,20.0,24.06,24.0,13.58,17.0,14.0,58.0,17.88,58.0,59.71,4,"2200 Buford Ave, St Paul, MN 55108",44.9844951,-93.1931289,Math,Saint Paul
Open World Learning Secondary,750.0,21.0,204.0,45.59,54.0,62.16,11.0,21.74,9.0,10.53,5.0,13.0,31.0,20.31,31.0,57.14,4,"640 Humboldt Ave, St Paul, MN 55107",44.9266188,-93.0844681,Math,Saint Paul
Parkway Montessori/Community Middle,1032.0,21.0,422.0,18.96,14.0,39.66,45.0,22.11,22.0,6.38,24.0,21.0,77.0,16.72,77.0,26.26,1,"1363 Bush Ave, St Paul, MN 55106",44.9654834,-93.0428322,Math,Saint Paul
Ramsey Middle School,1035.0,21.0,534.0,25.28,25.0,57.04,14.0,22.08,44.0,8.12,10.0,12.0,63.0,11.28,63.0,49.24,2,"1700 Summit Ave, St Paul, MN 55105",44.940839700000005,-93.1722396,Math,Saint Paul
Washington Tech Secondary Magnet,756.0,21.0,962.0,27.86,5.0,40.82,51.0,34.62,27.0,17.94,38.0,14.0,88.0,25.89,88.0,41.67,2,"1495 Rice St, St Paul, MN 55117",44.987036700000004,-93.1113717,Math,Saint Paul
Adams Magnet Elementary,1230.0,12.0,265.0,47.92,26.0,76.81,0.0,,13.0,14.29,20.0,8.0,49.0,27.48,49.0,67.91,4,"615 S Chatsworth St, St Paul, MN 55102",44.923751,-93.143046,Reading,Saint Paul
American Indian Magnet School,3474.0,33.0,392.0,15.82,5.0,0.0,28.0,17.59,16.0,3.23,28.0,21.0,83.0,15.74,83.0,11.76,1,"1075 3rd St E, St Paul, MN 55106",44.957364500000004,-93.0549594,Reading,Saint Paul
Battle Creek Elementary School,1266.0,12.0,203.0,35.47,10.0,4.76,35.0,33.8,32.0,32.31,36.0,15.0,76.0,31.17,76.0,48.98,2,"60 Ruth St S, St Paul, MN 55119",44.9397245,-93.0138965,Reading,Saint Paul
Battle Creek Middle,930.0,21.0,731.0,25.44,5.0,40.0,40.0,27.24,36.0,20.83,32.0,16.0,80.0,23.33,80.0,33.78,1,"2121 N Park Dr, St Paul, MN 55119",44.9456836,-93.0117856,Reading,Saint Paul
