Sp_District_All
Central Senior High
Como Park Senior High
Harding Senior High
Highland Park Senior High
Johnson Senior High
Battle Creek Middle
Farnsworth Aerospace Upper
Highland Park Middle School
Murray Middle School
Parkway Montessori/Community Middle
Ramsey Middle School
Adams Magnet Elementary
John A. Johnson Achievement Plus El.
Battle Creek Elementary School
Benjamin E Mays Magnet
Chelsea Heights Elementary
Cherokee Heights Elementary School
Como Park Elementary
Daytons Bluff Elementary
Expo For Excellence Elementary Sch
Bruce F Vento Elementary
Eastern Heights Elementary
Farnsworth Aerospace Lower
Four Seasons Elementary
L'Etoile Du Nord French Immersion U
L'Etoile Du Nord French Immersion L
Frost Lake Elementary School
Crossroads Montessori
Crossroads Science Program
Galtier Elementary School
Groveland Park Elementary
Hamline Elementary School
Jie Ming Mandarin Immersion Academy
The Heights Community School
Hazel Park Preparatory Academy
Highland Park Elementary
Jj Hill Montessori
Capitol Hill Magnet/Rondo
Highwood Hills Elementary
Jackson Preparatory Elementary
Linwood Monroe Arts Plus Lower
Horace Mann School
Maxfield Elementary School
Mississippi Creative Arts Elementary
Linwood Monroe Arts Plus Upper
Nokomis Montessori North Campus
Nokomis Montessori South Campus
Phalen Lake Hmong Studies Magnet
Randolph Heights Elementary
Riverview West School Of Excellence
Paul & Sheila Wellstone Elementary
St. Anthony Park Elementary
Saint Paul Music Academy
Obama Service Learning Elementary
American Indian Magnet School
Armatage Elementary
Lake Harriet Lower Elementary
Bancroft Elementary
Barton Open Elementary
Bethune Elementary
Burroughs Elementary
Field Community
Lake Harriet Upper School
Hale Elementary
Hiawatha Elementary
Howe Elementary
Lk Nokomis Comm-Keewaydin Campus
Kenny Elementary
Kenwood Elementary
Loring Elementary
Lyndale Elementary
Jenny Lind Elementary
Northrop Elementary
Pillsbury Elementary
Pratt Elementary
Seward Elementary
Sheridan Elementary
Waite Park Elementary
Lk Nokomis Comm-Wenonah Campus
Windom School
Folwell Arts Magnet
Jefferson Elementary
Dowling Elementary
Andersen Community
Sullivan Elementary
Webster Elementary
Anishinabe Academy
Marcy Open Elementary
Prekindergarten North
Bryn Mawr Elementary
Green Central Park Elementary
Emerson Elementary
Lucy Laney @ Cleveland Park Elem.
Hall International
Nellie Stone Johnson Elementary
Whittier International
Hmong International Academy
Cityview Community
Anthony Middle School
Anwatin Middle Com & Spanish D I
Northeast Middle
Olson Middle
Justice Page Middle School
Sanford Middle
Franklin Middle School
Fair Senior High
Edison Senior High
Henry Senior High
Roosevelt Senior High
South Senior High
Wellstone International High
Southwest Senior High
Washburn Senior High
North Academy Senior High
