Schools,Address
Parkway Montessori/Community Middle,"1363 Bush Ave, St Paul, MN 55106"
Paul & Sheila Wellstone Elementary,"1041 Marion St, St Paul, MN 55117"
Phalen Lake Hmong Studies Magnet,"1089 N Cypress St, St Paul, MN 55106"
Pillsbury Elementary,"2250 NE Garfield St, Minneapolis, MN 55418"
Pratt Elementary,"66 Malcolm Ave SE, Minneapolis, MN 55414"
Ramsey Middle School,"1700 Summit Ave, St Paul, MN 55105"
Randolph Heights Elementary,"348 Hamline Ave S, St Paul, MN 55105"
Riverview West School Of Excellence,"160 Isabel St E, St Paul, MN 55107"
Roosevelt Senior High,"4029 S 28th Ave, Minneapolis, MN 55406"
Saint Paul Music Academy,"27 Geranium Ave E, St Paul, MN 55117"
Sanford Middle,"3524 42nd Ave S, Minneapolis, MN 55406"
Seward Elementary,"2309 S 28th Ave, Minneapolis, MN 55406"
Sheridan Elementary,"1201 University Ave NE, Minneapolis, MN 55413"
South Senior High,"3131 S 19th Ave, Minneapolis, MN 55407"
Southwest Senior High,"3414 W 47th St, Minneapolis, MN 55410"
St. Anthony Park Elementary,"2180 Knapp St, St Paul, MN 55108"
Sullivan Elementary,"3100 E 28th St, Minneapolis, MN 55406"
The Heights Community School,"1863 Clear Ave E, St Paul, MN 55119"
Waite Park Elementary,"1800 34th Ave NE, Minneapolis, MN 55418"
Washburn Senior High,"201 W 49th St, Minneapolis, MN 55419"
Webster Elementary,"425 5th St NE, Minneapolis, MN 55413"
Wellstone International High,"3328 Elliot Ave, Minneapolis, MN 55407"
Whittier International,"315 W 26th St, Minneapolis, MN 55404"
Windom School,"5821 Wentworth Ave, Minneapolis, MN 55419"
Washington Tech Secondary Magnet,"1495 Rice St, St Paul, MN 55117"
Open World Learning Secondary,"640 Humboldt Ave, St Paul, MN 55107"
Humboldt High School,"30 Baker St E, St Paul, MN 55107"
Heritage Stem Academy,"1042 18th Ave SE, Minneapolis, MN 55414"
Creative Arts Secondary School,"65 E Kellogg Blvd, St Paul, MN 55101"
