ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION,District Council - Map,Council Ward,:@computed_region_crxq_iug7,:@computed_region_5wjj_5at9
431 VIRGINIA ST,09/06/2018 12:00:00 AM,Single Family Residential,2,1,8,33700,"(44.9543490179189, -93.114898899503)",9,7,97,39
1457 CHARLES AVE,08/31/2018 12:00:00 AM,Duplex,1,4,11,32200,"(44.9576137836986, -93.161718294722)",4,4,34,53
917 FREMONT AVE,08/29/2018 12:00:00 AM,Duplex,2,7,4,34500,"(44.9577282179937, -93.061770149139)",15,2,196,42
134 ELIZABETH ST E,08/28/2018 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.926977764026, -93.079680476103)",7,5,79,9
1992 WELLESLEY AVE,08/27/2018 12:00:00 AM,Single Family Residential,1,3,14,36300,"(44.931439221196, -93.184499218013)",5,6,10,10
51 LITCHFIELD ST,08/27/2018 12:00:00 AM,Single Family Residential,2,1,6,31400,"(44.9695886925642, -93.102220983973)",3,7,163,62
401 ROSE AVE E,08/23/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.9765802635805, -93.083464290287)",13,3,185,68
383 ROSE AVE E,08/23/2018 12:00:00 AM,Single Family Residential,1,5,5,30900,"(44.9765929786349, -93.084496625602)",13,3,185,68
1025 MINNEHAHA AVE E,08/20/2018 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.9631597587401, -93.057251202218)",15,2,195,58
1895 ST ANTHONY AVE,08/20/2018 12:00:00 AM,Duplex,2,4,13,33200,"(44.9533676208694, -93.179907201792)",17,4,7,48
1028 ROSS AVE,08/20/2018 12:00:00 AM,Single Family Residential,1,6,4,31701,"(44.965653714354, -93.057207167836)",15,1,195,58
572 EARL ST,08/20/2018 12:00:00 AM,Commercial,1,7,4,34601,"(44.9588548704542, -93.055630150551)",15,2,127,38
953 SHERBURNE AVE,08/17/2018 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.9567716526302, -93.140379599975)",10,7,55,47
721 JACKSON ST,08/14/2018 12:00:00 AM,Mixed Use,2,1,7,42800,"(44.9602728181524, -93.09851087214)",10,7,164,45
1293 PAYNE AVE,08/10/2018 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.9802812681236, -93.073773284887)",13,1,165,70
1350 LAUREL AVE,08/08/2018 12:00:00 AM,Single Family Residential,1,1,13,35200,"(44.9448150223285, -93.157389549336)",17,7,32,24
1187 MARYLAND AVE E,08/07/2018 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.9776891361793, -93.050218246014)",13,1,130,72
1021 FULLER AVE,08/06/2018 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.9540607124276, -93.143159479574)",9,7,56,40
1918 IVY AVE E,08/03/2018 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.98094518041, -93.019373199725)",14,1,149,80
965 MISSISSIPPI RIVER BLVD S,08/01/2018 12:00:00 AM,Mixed Use,1,3,15,37601,"(44.9127896584659, -93.197966043859)",6,6,118,2
1519 MARSHALL AVE,07/31/2018 12:00:00 AM,Single Family Residential,1,1,13,33400,"(44.9486622281226, -93.164412823121)",17,7,33,37
1576 GRIGGS ST N,07/26/2018 12:00:00 AM,Single Family Residential,2,5,10,30201,"(44.9888288674784, -93.149855487952)",2,3,50,77
1163 JESSAMINE AVE E,07/26/2018 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.9749916867384, -93.05136202131)",13,1,129,72
312 JESSAMINE AVE E,07/26/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.9744231689161, -93.087234292228)",13,3,185,68
733 CASE AVE,07/24/2018 12:00:00 AM,Duplex,2,6,5,31000,"(44.9705846718257, -93.069608310692)",13,1,190,70
647 SHERBURNE AVE,07/19/2018 12:00:00 AM,Single Family Residential,1,1,7,32500,"(44.9567854224916, -93.127496606087)",10,7,67,47
2261 HILLSIDE AVE,07/19/2018 12:00:00 AM,Single Family Residential,1,4,12,30100,"(44.9786441993753, -93.196116733602)",1,4,4,74
46 FRONT AVE,07/19/2018 12:00:00 AM,Duplex,2,1,6,31400,"(44.9701501089461, -93.102068755542)",3,7,163,62
428 BAY ST,07/18/2018 12:00:00 AM,Single Family Residential,2,2,9,36800,"(44.9285075755953, -93.1304791357)",11,5,62,15
957 EUCLID ST,07/12/2018 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9550690618731, -93.060017194875)",15,2,197,42
1618 HAMLINE AVE N,07/11/2018 12:00:00 AM,Single Family Residential,2,5,10,30201,"(44.9898908252795, -93.156346314366)",2,3,50,77
839 VAN BUREN AVE,07/11/2018 12:00:00 AM,Single Family Residential,2,1,7,32400,"(44.9621971658541, -93.135552742911)",10,7,67,56
1860 HAWTHORNE AVE E,07/10/2018 12:00:00 AM,Single Family Residential,1,6,2,30702,"(44.9782571367095, -93.021753364895)",14,1,149,80
832 ARMSTRONG AVE,07/10/2018 12:00:00 AM,Duplex,1,2,9,36800,"(44.9248899626917, -93.135143090992)",11,5,61,15
1082 SUBURBAN AVE,07/06/2018 12:00:00 AM,Single Family Residential,1,7,4,34601,"(44.9494883752266, -93.05482021173)",15,2,125,38
940 EDGERTON ST,07/03/2018 12:00:00 AM,Single Family Residential,1,6,5,31500,"(44.9696185288047, -93.075916865896)",13,1,189,59
957 PROSPERITY AVE,07/03/2018 12:00:00 AM,Multi-family Residential,3,6,2,31702,"(44.9704484661915, -93.042854021023)",14,1,134,67
1066 DESOTO ST,07/03/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.9732810432377, -93.080886903369)",13,3,185,68
233 CESAR CHAVEZ ST,07/02/2018 12:00:00 AM,Single Family Residential,2,2,3,36100,"(44.9292112943799, -93.075296192175)",7,5,80,20
821 AGATE ST,06/29/2018 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.9661083484422, -93.094403674652)",3,3,179,62
110 DOUGLAS ST,06/28/2018 12:00:00 AM,Single Family Residential,1,2,9,36000,"(44.9381783678384, -93.11085696436)",11,5,94,17
123 CAYUGA ST,06/28/2018 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.9672897995868, -93.095316712134)",3,3,179,62
1600 7TH ST W,06/26/2018 12:00:00 AM,Commercial,2,2,9,36700,"(44.9165085787817, -93.142383425613)",11,5,60,6
38 WINNIPEG AVE,06/26/2018 12:00:00 AM,Single Family Residential,1,1,6,31400,"(44.9672613800273, -93.101766674589)",3,7,163,62
228 FRONT AVE,06/21/2018 12:00:00 AM,Commercial,2,1,6,31300,"(44.9701092430949, -93.109601448973)",3,7,156,60
1880 BERKELEY AVE,06/20/2018 12:00:00 AM,Single Family Residential,1,3,14,36300,"(44.9332177701483, -93.18009162379)",5,6,10,10
1734 SIMS AVE,06/19/2018 12:00:00 AM,Duplex,1,6,2,31801,"(44.9693780984197, -93.02688671016)",14,1,139,63
1941 UNIVERSITY AVE W,06/15/2018 12:00:00 AM,Mixed Use,2,4,11,31900,"(44.9581373845201, -93.180713897461)",4,4,6,61
1013 LAWSON AVE E,06/14/2018 12:00:00 AM,Single Family Residential,1,6,5,31600,"(44.9722370384897, -93.057699001076)",13,1,194,65
444 PAGE ST E,06/14/2018 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.9247147822145, -93.066765621849)",7,5,122,9
903 YORK AVE,06/13/2018 12:00:00 AM,Duplex,2,6,5,31600,"(44.9688243029589, -93.062065158102)",13,1,195,65
778 JENKS AVE,06/11/2018 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.970904142225, -93.067828541888)",13,1,190,70
119 LYTON PLACE,06/11/2018 12:00:00 AM,Mixed Use,2,1,6,31400,"(44.9656846082348, -93.105033849243)",3,7,163,62
1079 MARYLAND AVE E,06/11/2018 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.9776899930127, -93.054860135372)",13,1,130,72
869 MARYLAND AVE E,06/06/2018 12:00:00 AM,Single Family Residential,1,6,5,31100,"(44.9776862603123, -93.063879696267)",13,1,131,72
1486 MIDWAY PKWY,06/05/2018 12:00:00 AM,Single Family Residential,1,4,10,30201,"(44.9805865576887, -93.163008164714)",2,4,37,77
2264 UNIVERSITY AVE W,06/01/2018 12:00:00 AM,Commercial,1,4,12,33200,"(44.9621462919296, -93.19362228689)",1,4,1,48
1419 RANDOLPH AVE,05/31/2018 12:00:00 AM,Single Family Residential,2,3,14,36500,"(44.9271312603716, -93.1601835999)",5,6,30,12
133 7TH ST E,05/24/2018 12:00:00 AM,Commercial,2,2,17,34202,"(44.9499185912971, -93.093018374003)",12,5,175,35
495 MARSHALL AVE,05/22/2018 12:00:00 AM,Single Family Residential,2,1,8,34000,"(44.9486580162193, -93.120945310258)",9,7,86,19
660 CHARLES AVE,05/16/2018 12:00:00 AM,Duplex,2,1,7,32500,"(44.9574095480765, -93.128133670254)",10,7,67,47
849 SMITH AVE S,05/09/2018 12:00:00 AM,Commercial,2,2,3,37000,"(44.920459107784, -93.101935631987)",7,5,171,7
899 ASHLAND AVE,05/09/2018 12:00:00 AM,Single Family Residential,1,1,8,42900,"(44.9440553809374, -93.138116508973)",9,7,57,28
1456 HEWITT AVE,05/07/2018 12:00:00 AM,Single Family Residential,2,4,11,32200,"(44.9663082257464, -93.161963809671)",4,4,35,53
1027 AVON ST N,05/03/2018 12:00:00 AM,Single Family Residential,2,5,10,31200,"(44.9720639322497, -93.133592894609)",2,3,69,64
1199 BEECH ST,05/02/2018 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.9623311996349, -93.049842275296)",15,2,127,38
1143 WOODBRIDGE ST,05/02/2018 12:00:00 AM,Single Family Residential,3,5,6,30800,"(44.9755194837274, -93.10869354129)",3,3,157,69
378 JESSAMINE AVE E,04/27/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.9744876224593, -93.084556425062)",13,3,185,68
1031 4TH ST E,04/24/2018 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9586556670634, -93.057164219328)",15,2,196,42
1111 CASE AVE,04/24/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.970452463084, -93.053617608566)",13,1,129,65
363 WOODLAWN AVE,04/23/2018 12:00:00 AM,Single Family Residential,1,3,14,43000,"(44.9305073930818, -93.196161595432)",5,6,116,22
862 PASCAL ST N,04/20/2018 12:00:00 AM,Single Family Residential,1,4,11,32200,"(44.9671392579499, -93.162004116998)",4,4,35,53
1295 GALTIER ST,04/19/2018 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9801620727278, -93.111235146613)",3,3,158,69
797 TATUM ST,04/18/2018 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.9651196968627, -93.180007328317)",4,4,5,55
605 STRYKER AVE,04/17/2018 12:00:00 AM,Commercial,2,2,3,37100,"(44.9277075240386, -93.0884563694)",7,5,78,18
1098 BRADLEY ST,04/17/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.974283502347, -93.078421662102)",13,3,185,68
1067 COMO PLACE,04/16/2018 12:00:00 AM,Single Family Residential,2,5,10,31200,"(44.9733343456507, -93.134619718456)",2,3,69,64
284 ALBERT ST S,04/12/2018 12:00:00 AM,Single Family Residential,2,3,14,36500,"(44.9329732209366, -93.159244954153)",5,6,30,12
332 JESSAMINE AVE E,04/11/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.9744068536829, -93.086599207553)",13,3,185,68
549 MINNEHAHA AVE E,04/11/2018 12:00:00 AM,Mixed Use,1,5,5,31500,"(44.9630776994996, -93.077209033215)",13,3,186,59
875 HAGUE AVE,04/10/2018 12:00:00 AM,Duplex,2,1,8,42900,"(44.9459116082248, -93.137169558428)",9,7,57,28
106 DOUGLAS ST,04/10/2018 12:00:00 AM,Duplex,2,2,9,36000,"(44.9382620645505, -93.110862640171)",11,5,94,17
47 IRVINE PARK,03/29/2018 12:00:00 AM,Single Family Residential,2,2,9,36000,"(44.9403117944762, -93.102373246558)",11,5,169,17
1130 FOREST ST,03/28/2018 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.9753142731295, -93.060665195748)",13,1,194,72
882 7TH ST W,03/23/2018 12:00:00 AM,Commercial,2,2,9,36900,"(44.9291344520543, -93.123659707802)",11,5,92,16
1610 NEBRASKA AVE E,03/21/2018 12:00:00 AM,Single Family Residential,2,6,2,30703,"(44.9863865977476, -93.032320290394)",14,1,136,82
489 SHERBURNE AVE,03/19/2018 12:00:00 AM,Single Family Residential,3,1,7,32600,"(44.9567864260914, -93.120723549922)",10,7,85,51
1763 BAYARD AVE,03/14/2018 12:00:00 AM,Single Family Residential,1,3,15,36400,"(44.9226593972474, -93.174897679191)",6,6,23,13
900 MARYLAND AVE E,03/06/2018 12:00:00 AM,Commercial,1,6,5,31100,"(44.9773993020329, -93.062272497823)",13,1,194,72
253 UNIVERSITY AVE W,03/05/2018 12:00:00 AM,Commercial,1,1,7,32700,"(44.9559539903456, -93.110894023915)",10,7,98,49
255 UNIVERSITY AVE W,03/05/2018 12:00:00 AM,Commercial,1,1,7,32700,"(44.9559481171508, -93.110963307743)",10,7,98,49
1447 JULIET AVE,03/05/2018 12:00:00 AM,Single Family Residential,1,3,14,36500,"(44.9298245085836, -93.161270054805)",5,6,30,12
1106 PAYNE AVE,02/28/2018 12:00:00 AM,Commercial,2,6,5,31000,"(44.9745238085914, -93.0734090279)",13,1,190,70
1159 UNIVERSITY AVE W,02/27/2018 12:00:00 AM,Commercial,1,4,11,32300,"(44.9559741463131, -93.148778930045)",4,4,47,54
585 UNIVERSITY AVE W,02/26/2018 12:00:00 AM,Commercial,1,1,7,32600,"(44.9559031719132, -93.124871978282)",10,7,85,51
664 PLUM ST,02/16/2018 12:00:00 AM,Duplex,1,7,4,34400,"(44.9510373329798, -93.067237707468)",15,2,197,36
554 CHARLES AVE,02/15/2018 12:00:00 AM,Duplex,2,1,7,32600,"(44.9574383157606, -93.123449800341)",10,7,85,51
2 EDGCUMBE PLACE,02/15/2018 12:00:00 AM,Single Family Residential,1,3,15,36600,"(44.9150261444168, -93.150544074948)",6,6,41,8
691 DALE ST N,02/13/2018 12:00:00 AM,Commercial,1,1,7,32400,"(44.9621760372876, -93.126542072895)",10,7,67,56
53 GERANIUM AVE W,02/13/2018 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.9756943307109, -93.10226989622)",3,3,162,75
336 WYOMING ST E,02/13/2018 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.920198173554, -93.071408530249)",7,5,79,9
1614 6TH ST E,02/07/2018 12:00:00 AM,Single Family Residential,2,7,1,34602,"(44.9602454743308, -93.032226101464)",16,2,140,46
892 JESSAMINE AVE E,02/07/2018 12:00:00 AM,Duplex,1,6,5,31100,"(44.974661993789, -93.062720222861)",13,1,194,72
200 BELVIDERE ST E,01/31/2018 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.9220246755449, -93.07693461033)",7,5,79,9
622 BUSH AVE,01/30/2018 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.9646967382494, -93.07429657915)",13,1,189,59
575 BEAUMONT ST,01/29/2018 12:00:00 AM,Duplex,2,5,5,33000,"(44.9618004432851, -93.076333884697)",13,3,75,50
1146 PAYNE AVE,01/26/2018 12:00:00 AM,Commercial,3,6,5,31000,"(44.9758333053517, -93.073376933117)",13,1,190,70
1349 SCHLETTI ST,01/25/2018 12:00:00 AM,Single Family Residential,1,5,6,30400,"(44.9818683826083, -93.122646756136)",3,3,73,79
1213 3RD ST E,01/18/2018 12:00:00 AM,Single Family Residential,3,7,4,34601,"(44.956905163801, -93.049267187611)",15,2,127,38
947 FREMONT AVE,01/18/2018 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9577622982784, -93.060396948859)",15,2,196,42
715 BURR ST,01/12/2018 12:00:00 AM,Duplex,2,5,5,33000,"(44.9626603436637, -93.07993028404)",13,3,75,50
1124 MATILDA ST,01/10/2018 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9750671894328, -93.112129733422)",3,3,157,69
1042 BURR ST,01/03/2018 12:00:00 AM,Duplex,2,5,5,30900,"(44.9725519667172, -93.079682423108)",13,3,185,68
898 GALTIER ST,12/19/2017 12:00:00 AM,Single Family Residential,2,1,6,31300,"(44.9682602979253, -93.110826736313)",3,7,156,60
1274 EDGERTON ST,12/14/2017 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.9796625443615, -93.075882372015)",13,1,165,70
578 LAFOND AVE,11/21/2017 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.9600984024958, -93.124600387736)",10,7,85,51
58 WHEELOCK PKWY E,11/14/2017 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.9898829328031, -93.098482588482)",3,3,160,75
362 TOPPING ST,11/13/2017 12:00:00 AM,Single Family Residential,1,1,6,31300,"(44.9673531117447, -93.115358090372)",3,7,156,60
1978 PALACE AVE,11/09/2017 12:00:00 AM,Single Family Residential,2,3,14,36300,"(44.9287138296318, -93.183846767658)",5,6,10,10
1189 HAWTHORNE AVE E,11/08/2017 12:00:00 AM,Single Family Residential,1,6,5,31100,"(44.978573585349, -93.050220172337)",13,1,130,72
1825 MECHANIC AVE,11/06/2017 12:00:00 AM,Duplex,2,6,2,31801,"(44.9731243890548, -93.023447304015)",14,1,147,63
1315 PALACE AVE,11/03/2017 12:00:00 AM,Single Family Residential,1,3,14,36600,"(44.9289099226052, -93.15569712795)",5,6,43,8
1262 MINNEHAHA AVE E,11/02/2017 12:00:00 AM,Single Family Residential,1,7,4,34601,"(44.9629443353967, -93.04728760934)",15,2,127,38
1350 HAGUE AVE,10/27/2017 12:00:00 AM,Single Family Residential,2,1,13,35200,"(44.9457125790736, -93.157214982192)",17,7,32,24
902 6TH ST E,10/27/2017 12:00:00 AM,Single Family Residential,1,7,4,33100,"(44.960218865992, -93.062511290191)",15,2,196,52
426 BLAIR AVE,10/19/2017 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.9610235585263, -93.118059378845)",10,7,85,51
316 SUPERIOR ST,10/17/2017 12:00:00 AM,Single Family Residential,1,2,9,36000,"(44.9353894735538, -93.113278432195)",11,5,94,17
1475 PACIFIC ST,10/17/2017 12:00:00 AM,Single Family Residential,2,7,1,34602,"(44.951525611938, -93.038120421609)",16,2,126,46
994 GOODRICH AVE,10/13/2017 12:00:00 AM,Duplex,2,2,16,35700,"(44.9376810412518, -93.141927711569)",8,5,58,21
631 WESTERN AVE N,10/13/2017 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.960412116484, -93.116302241358)",10,7,85,51
251 DAYTON AVE,10/12/2017 12:00:00 AM,Duplex,1,1,8,34000,"(44.9476782348005, -93.110461613338)",9,7,96,19
433 ROBERT ST S,10/09/2017 12:00:00 AM,Commercial,2,2,3,37100,"(44.9328391959299, -93.081244948087)",7,5,77,18
636 HALL AVE,10/09/2017 12:00:00 AM,Single Family Residential,3,2,3,37200,"(44.9267619638886, -93.086316833412)",7,5,78,9
422 JESSAMINE AVE E,09/28/2017 12:00:00 AM,Duplex,2,5,5,30900,"(44.9744748599273, -93.082915210508)",13,3,185,68
829 LAWSON AVE E,09/26/2017 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9722334210657, -93.065474394219)",13,1,194,65
660 JESSAMINE AVE E,09/22/2017 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.9745804956885, -93.072618464999)",13,1,190,70
1816 MINNEHAHA AVE E,09/22/2017 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.9628569601148, -93.023771105042)",16,2,145,43
1146 BREEN ST,09/20/2017 12:00:00 AM,Single Family Residential,1,6,2,31801,"(44.9758180532983, -93.026344088436)",14,1,138,63
899 GERMAIN ST,09/15/2017 12:00:00 AM,Single Family Residential,3,6,2,31801,"(44.9683268929693, -93.033101346951)",14,1,139,63
1014 JENKS AVE,09/14/2017 12:00:00 AM,Duplex,1,6,5,31600,"(44.9710953612028, -93.057708138953)",13,1,194,65
1955 ARLINGTON AVE E,09/12/2017 12:00:00 AM,Single Family Residential,1,6,2,30702,"(44.9848937684652, -93.017857843884)",14,1,148,80
1630 UNIVERSITY AVE W,09/11/2017 12:00:00 AM,Commercial,1,4,13,33400,"(44.9553647029005, -93.169027142126)",17,4,19,37
949 PAYNE AVE,09/07/2017 12:00:00 AM,Commercial,1,6,5,31500,"(44.9699070574025, -93.073697872323)",13,1,189,59
302 CHEROKEE AVE,09/05/2017 12:00:00 AM,Duplex,2,2,3,37000,"(44.9322017915612, -93.098394998931)",7,5,173,7
73 ROSE AVE E,08/31/2017 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.9766125634939, -93.097740780178)",3,3,162,75
1069 LAFOND AVE,08/29/2017 12:00:00 AM,Single Family Residential,2,1,7,32400,"(44.9604296924492, -93.145211442981)",10,7,55,56
515 DESNOYER AVE,08/25/2017 12:00:00 AM,Multi-family Residential,3,4,13,43000,"(44.9551472273076, -93.203006626794)",17,4,113,22
1803 IVY AVE E,08/16/2017 12:00:00 AM,Duplex,2,6,2,30702,"(44.9812533144961, -93.02415930366)",14,1,149,80
1560 REANEY AVE,08/11/2017 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.9638853813028, -93.034524394645)",14,2,139,63
801 LAFOND AVE,08/11/2017 12:00:00 AM,Single Family Residential,2,1,7,32400,"(44.9603850470774, -93.134160749845)",10,7,67,56
1490 7TH ST E,07/21/2017 12:00:00 AM,Single Family Residential,2,7,2,31702,"(44.9665764432039, -93.037564888809)",14,2,109,67
726 PLUM ST,07/20/2017 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.952767238889, -93.064202743744)",15,2,197,36
43 WINTER ST,07/14/2017 12:00:00 AM,Single Family Residential,2,1,7,42800,"(44.9600460995023, -93.101149729112)",10,7,164,45
1670 SHERBURNE AVE,07/13/2017 12:00:00 AM,Single Family Residential,1,4,11,32000,"(44.9564112517202, -93.170920858935)",4,4,18,55
780 STEWART AVE,07/07/2017 12:00:00 AM,Multi-family Residential,2,2,9,36800,"(44.9207284053541, -93.13127684007)",11,5,61,15
975 MARSHALL AVE,06/27/2017 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.9487355279563, -93.141173308182)",9,7,56,14
245 WINIFRED ST W,06/27/2017 12:00:00 AM,Duplex,2,2,3,37100,"(44.9314951683249, -93.095893722456)",7,5,173,18
711 SIMS AVE,06/21/2017 12:00:00 AM,Duplex,2,6,5,31500,"(44.9694807546782, -93.070487890331)",13,1,189,59
1119 RAYMOND AVE UNIT 2,06/07/2017 12:00:00 AM,Multi-family Residential,2,4,12,30100,"(44.9756318237363, -93.192881847188)",1,4,4,74
1696 BOHLAND AVE,06/06/2017 12:00:00 AM,Single Family Residential,2,3,15,37500,"(44.9159511362801, -93.171887772736)",6,6,24,5
1542 CLEAR AVE,05/24/2017 12:00:00 AM,Single Family Residential,1,6,2,30704,"(44.9818798032195, -93.035240601333)",14,1,137,73
326 IRVINE AVE,05/11/2017 12:00:00 AM,Single Family Residential,2,2,17,35800,"(44.9426130698522, -93.112542414904)",12,5,96,27
1669 NEBRASKA AVE E,04/21/2017 12:00:00 AM,Single Family Residential,2,6,2,30703,"(44.9867093984198, -93.0296851883)",14,1,136,82
171 GRANITE ST,04/19/2017 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.9662623324112, -93.093210274011)",3,3,179,62
1514 VAN BUREN AVE,04/18/2017 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.9618185461093, -93.16455474016)",4,4,34,57
692 4TH ST E,04/12/2017 12:00:00 AM,Duplex,1,7,4,34400,"(44.9557786327799, -93.070255011143)",15,2,188,36
1277 RICE ST,04/10/2017 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9796607292, -93.106096632452)",3,3,158,69
173 COOK AVE E,04/05/2017 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.9730077100372, -93.093307017542)",3,3,180,62
1545 ETNA ST,04/04/2017 12:00:00 AM,Single Family Residential,2,6,2,30703,"(44.9879425677027, -93.042050909822)",14,1,132,82
2531 EDGCUMBE ROAD,04/04/2017 12:00:00 AM,Single Family Residential,2,3,15,37601,"(44.903757891818, -93.17750875294)",6,6,13,2
935 IGLEHART AVE,03/23/2017 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.9495735044519, -93.139689091031)",9,7,56,14
925 COOK AVE E,03/17/2017 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9731337892439, -93.061551529346)",13,1,194,65
995 ROSE AVE E,03/07/2017 12:00:00 AM,Single Family Residential,1,6,5,31100,"(44.9767474913749, -93.058508718123)",13,1,194,72
1114 JACKSON ST,03/03/2017 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.9748504435984, -93.096241935667)",3,3,180,75
1021 MINNEHAHA AVE E,03/02/2017 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.9631494388722, -93.05744398558)",15,2,195,58
1639 TAYLOR AVE,03/01/2017 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.9678092959768, -93.169549998918)",4,4,17,57
737 ALDINE ST,02/14/2017 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.9633938141284, -93.172329210164)",4,4,17,55
970 REANEY AVE,02/10/2017 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.9637030344506, -93.059595115415)",15,2,195,58
1560 CANFIELD AVE,02/09/2017 12:00:00 AM,Single Family Residential,2,4,10,30201,"(44.9799026538055, -93.166092114633)",2,4,37,77
657 SHERBURNE AVE,01/31/2017 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.9567667888417, -93.127959127693)",10,7,67,47
1829 UNIVERSITY AVE W,01/20/2017 12:00:00 AM,Commercial,1,4,11,31900,"(44.9563934090285, -93.177663056261)",4,4,6,61
253 AVON ST N,01/19/2017 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.9490930870041, -93.133359006602)",9,7,66,14
2068 AMES AVE,01/12/2017 12:00:00 AM,Single Family Residential,2,6,2,31802,"(44.9720846477484, -93.013194006594)",14,1,152,66
1355 PAYNE AVE,01/06/2017 12:00:00 AM,Single Family Residential,2,6,5,30602,"(44.9821658229599, -93.073798147768)",13,1,165,81
242 CONGRESS ST E,01/04/2017 12:00:00 AM,Single Family Residential,2,2,3,36100,"(44.9312939984406, -93.073621919666)",7,5,80,20
854 EDMUND AVE,12/29/2016 12:00:00 AM,Duplex,2,1,7,32500,"(44.9582682758141, -93.13620392729)",10,7,67,47
1691 ROSE AVE E,12/23/2016 12:00:00 AM,Single Family Residential,1,6,2,31801,"(44.9767989021237, -93.029098057329)",14,1,138,63
786 ORANGE AVE E,12/23/2016 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.979161246417, -93.067265917445)",13,1,165,70
742 EUCLID ST,12/22/2016 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.9546319417015, -93.06502320688)",15,2,187,36
1049 EDGERTON ST,12/08/2016 12:00:00 AM,Single Family Residential,3,5,5,30900,"(44.9727791045954, -93.076291804879)",13,3,185,68
871 STICKNEY ST,12/07/2016 12:00:00 AM,Single Family Residential,1,2,3,37200,"(44.9197084073921, -93.063342746824)",7,5,122,9
1786 HAWTHORNE AVE E,12/01/2016 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.9782593026425, -93.024901950232)",14,1,149,80
1667 AMES AVE,12/01/2016 12:00:00 AM,Multi-family Residential,1,6,2,31702,"(44.974006919166, -93.029734865027)",14,1,138,67
971 ARCADE ST,11/29/2016 12:00:00 AM,Commercial,1,6,5,31000,"(44.9707020123243, -93.06624146421)",13,1,190,70
575 MCKNIGHT ROAD S,11/15/2016 12:00:00 AM,Single Family Residential,2,7,1,37403,"(44.9240465660654, -93.005619901369)",16,2,102,11
