ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION,District Council - Map,Council Ward,:@computed_region_crxq_iug7,:@computed_region_5wjj_5at9
680 MINNEHAHA AVE E BLDG 3,07/21/2005 12:00:00 AM,Multi-family Residential,2,,,,,,,,
650 AURORA AVE,01/07/2005 12:00:00 AM,Single Family Residential,3,1,8,33500,"(44.9546496376062, -93.127617153693)",9,7,66,40
1023 JESSIE ST,12/09/2004 12:00:00 AM,Duplex,2,5,5,30900,"(44.9721671763833, -93.077540568301)",13,3,185,68
2075 SCUDDER ST,08/05/2004 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.9787618089353, -93.187845430646)",1,4,4,74
1253 CLEVELAND AVE N,08/05/2004 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.9787614519552, -93.187637097678)",1,4,4,74
1508 COMO AVE,07/29/2003 12:00:00 AM,Duplex,2,4,10,30201,"(44.977126870947, -93.16385765382)",2,4,36,77
2062 COMO AVE,11/09/2001 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.9769023417819, -93.187439957598)",1,4,3,74
1308 VICTORIA ST N,10/30/2001 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.9806018151037, -93.135131625969)",2,3,70,76
466 LAUREL AVE,05/03/2000 12:00:00 AM,Single Family Residential,3,1,8,35500,"(44.9452343913786, -93.119869319232)",9,7,87,31
847 HUDSON ROAD,08/10/1999 12:00:00 AM,Commercial,3,7,4,34400,"(44.9523831474725, -93.064815258985)",15,2,197,36
395 MICHIGAN ST,05/15/1996 12:00:00 AM,Single Family Residential,3,2,9,36900,"(44.9352600297476, -93.116709238712)",11,5,89,16
365 MICHIGAN ST,07/12/1995 12:00:00 AM,Single Family Residential,2,2,9,36000,"(44.9349513001028, -93.115288168328)",11,5,94,17
