Schools,Address,Latitude,Longitude
L'Etoile Du Nord French Immersion L,"1305 Prosperity Ave, St Paul, MN 55106",44.9805163,-93.0392523
L'Etoile Du Nord French Immersion U,"1760 Ames Pl E, St Paul, MN 55106",44.9707584,-93.026641
Lake Harriet Lower Elementary,"4030 Chowen Ave S, Minneapolis, MN 55410",44.92918040000001,-93.3262216
Lake Harriet Upper School,"4912 Vincent Ave S, Minneapolis, MN 55410",44.91355679999999,-93.3169375
Linwood Monroe Arts Plus Lower,"1023 Osceola Ave, St Paul, MN 55105",44.93609230000001,-93.1435396
Linwood Monroe Arts Plus Upper,"810 Palace Ave, St Paul, MN 55102",44.9283768,-93.13515240000001
Lk Nokomis Comm-Keewaydin Campus,"5209 30th Ave S, Minneapolis, MN 55417",44.9081983,-93.22890509999999
Lk Nokomis Comm-Wenonah Campus,"5625 23rd Ave S, Minneapolis, MN 55417",44.9009304,-93.2383296
Loring Elementary,"2600 N 44th Ave, Minneapolis, MN 55412",45.0359989,-93.3135523
Lucy Laney @ Cleveland Park Elem.,"3333 Penn Ave N, Minneapolis, MN 55412",45.015994,-93.3088641
Lyndale Elementary,"312 W 34th St, Minneapolis, MN 55408",44.9417057,-93.283671
Marcy Open Elementary,"415 4th Ave SE, Minneapolis, MN 55414",44.9866816,-93.2498215
Maxfield Elementary School,"380 N Victoria St, St Paul, MN 55104",44.9526173,-93.135536
Mississippi Creative Arts Elementary,"1575 L'Orient St, St Paul, MN 55117",44.988831,-93.09088659999999
Murray Middle School,"2200 Buford Ave, St Paul, MN 55108",44.9844951,-93.19312889999999
Nellie Stone Johnson Elementary,"807 N 27th Ave, Minneapolis, MN 55411",45.0070463,-93.2902821
Nokomis Montessori North Campus,"985 Ruth St N, St Paul, MN 55119",44.97086669999999,-93.01563190000002
Nokomis Montessori South Campus,"525 White Bear Ave, St Paul, MN 55106",44.9573338,-93.025938
North Academy Senior High,"1500 James Ave N, Minneapolis, MN 55411",44.9941373,-93.3006849
Northeast Middle,"2955 Hayes St NE, Minneapolis, MN 55418",45.0214943,-93.23437930000001
Northrop Elementary,"4315 S 31st Ave, Minneapolis, MN 55406",44.924452,-93.2265492
Obama Service Learning Elementary,"707 Holly Ave, St Paul, MN 55104",44.9436026,-93.13005439999999
Olson Middle,"1607 51st Ave N, Minneapolis, MN 55430",45.046522,-93.3010377
Parkway Montessori/Community Middle,"1363 Bush Ave, St Paul, MN 55106",44.9654834,-93.04283219999999
Paul & Sheila Wellstone Elementary,"1041 Marion St, St Paul, MN 55117",44.9728563,-93.11049940000001
Phalen Lake Hmong Studies Magnet,"1089 N Cypress St, St Paul, MN 55106",44.9738608,-93.0593449
Pillsbury Elementary,"2250 NE Garfield St, Minneapolis, MN 55418",45.0107634,-93.2340772
Pratt Elementary,"66 Malcolm Ave SE, Minneapolis, MN 55414",44.9690028,-93.214034
Ramsey Middle School,"1700 Summit Ave, St Paul, MN 55105",44.9408397,-93.1722396
Randolph Heights Elementary,"348 Hamline Ave S, St Paul, MN 55105",44.9310863,-93.1559271
Riverview West School Of Excellence,"160 Isabel St E, St Paul, MN 55107",44.9328031,-93.07679569999999
Roosevelt Senior High,"4029 S 28th Ave, Minneapolis, MN 55406",44.9295149,-93.2305542
Saint Paul Music Academy,"27 Geranium Ave E, St Paul, MN 55117",44.97604159999999,-93.1001936
Sanford Middle,"3524 42nd Ave S, Minneapolis, MN 55406",44.9386725,-93.2133587
Seward Elementary,"2309 S 28th Ave, Minneapolis, MN 55406",44.9600905,-93.23098039999999
Sheridan Elementary,"1201 University Ave NE, Minneapolis, MN 55413",44.9991024,-93.26204179999999
South Senior High,"3131 S 19th Ave, Minneapolis, MN 55407",44.94559960000001,-93.2442208
Southwest Senior High,"3414 W 47th St, Minneapolis, MN 55410",44.9182547,-93.3234571
St. Anthony Park Elementary,"2180 Knapp St, St Paul, MN 55108",44.9780331,-93.1917562
Sullivan Elementary,"3100 E 28th St, Minneapolis, MN 55406",44.952659,-93.2264707
The Heights Community School,"1863 Clear Ave E, St Paul, MN 55119",44.9823881,-93.02092619999999
Waite Park Elementary,"1800 34th Ave NE, Minneapolis, MN 55418",45.0301072,-93.2345818
Washburn Senior High,"201 W 49th St, Minneapolis, MN 55419",44.9135166,-93.2824163
Webster Elementary,"425 5th St NE, Minneapolis, MN 55413",44.9943824,-93.25621509999999
Wellstone International High,"3328 Elliot Ave, Minneapolis, MN 55407",44.9417519,-93.261663
Whittier International,"315 W 26th St, Minneapolis, MN 55404",44.9547488,-93.28391429999999
Windom School,"5821 Wentworth Ave, Minneapolis, MN 55419",44.896914,-93.280074
Washington Tech Secondary Magnet,"1495 Rice St, St Paul, MN 55117",44.9870367,-93.11137169999999
Open World Learning Secondary,"640 Humboldt Ave, St Paul, MN 55107",44.9266188,-93.0844681
Humboldt High School,"30 Baker St E, St Paul, MN 55107",44.9259731,-93.0840766
Heritage Stem Academy,"1042 18th Ave SE, Minneapolis, MN 55414",44.9889976,-93.22621600000001
Creative Arts Secondary School,"65 E Kellogg Blvd, St Paul, MN 55101",44.9451284,-93.0909188
