Grid,Address,Block,Block1,Coordinates,For_Address,Latitude,Longitude,Zip,Results,Fail
90.0,"nan, Saint Paul, MN, 55103",nan,1,"{'formatted_address': 'St Paul, MN 55103, USA', 'latitude': 44.9688472, 'longitude': -93.13156479999999, 'zip': '55103', 'input_string': 'nan, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","St Paul, MN 55103, USA",44.9688472,-93.13156479999999,55103,1,True
90.0,"w/farrington av, Saint Paul, MN, 55103",w/farrington av,1,"{'formatted_address': 'Farrington St, St Paul, MN 55103, USA', 'latitude': 44.9756475, 'longitude': -93.11357939999999, 'zip': '55103', 'input_string': 'w/farrington av, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","Farrington St, St Paul, MN 55103, USA",44.9756475,-93.11357939999999,55103,1,True
90.0,"w/farrington st, Saint Paul, MN, 55103",w/farrington st,1,"{'formatted_address': 'N Farrington St, St Paul, MN 55103, USA', 'latitude': 44.9575776, 'longitude': -93.1134146, 'zip': '55103', 'input_string': 'w/farrington st, Saint Paul, MN, 55103', 'number_of_results': 2, 'status': 'OK'}","N Farrington St, St Paul, MN 55103, USA",44.9575776,-93.1134146,55103,2,True
