index,Grid,Block,For_Address,Latitude,Longitude,Fail,index1
0,92.0,xx mtairy st,"5 E Mt Airy St, St Paul, MN 55130, USA",44.9596358,-93.0983464,True,0
1,92.0,10x arch st e,"100 Arch St, St Paul, MN 55130, USA",44.9601293,-93.096533,True,1
2,92.0,10x mtairy st,"100 E Mt Airy St, St Paul, MN 55130, USA",44.9589848,-93.0960726,True,2
3,92.0,1xx arch st e,"105 Arch St, St Paul, MN 55130, USA",44.9607872,-93.09639510000001,True,3
4,92.0,11x acker st e,"110 Acker St E, St Paul, MN 55117, USA",44.9637981,-93.09560239999999,True,4
5,92.0,11x arch st e,"110 Arch St, St Paul, MN 55130, USA",44.9601307,-93.09650219999999,True,5
6,92.0,11x mtairy st,"110 E Mt Airy St, St Paul, MN 55130, USA",44.9589571,-93.09589319999999,True,6
7,92.0,117x ivy av e,"1170 Ivy Ave E, St Paul, MN 55106, USA",44.9803358,-93.0516497,False,7
8,92.0,12x arch st e,"120 Arch St, St Paul, MN 55130, USA",44.9602198,-93.09647710000002,True,8
9,92.0,12x mtairy st,"120 E Mt Airy St, St Paul, MN 55130, USA",44.9589256,-93.0957117,True,9
10,92.0,13x arch st e,"130 Arch St, St Paul, MN 55130, USA",44.9602562,-93.0956192,True,10
11,92.0,13x mtairy st,"130 E Mt Airy St, St Paul, MN 55130, USA",44.958878,-93.0949631,True,11
12,92.0,136x scheffer av,"1360 Scheffer Ave, St Paul, MN 55116, USA",44.9213206,-93.15778949999999,False,12
13,92.0,14x arch st e,"140 Arch St, St Paul, MN 55130, USA",44.9607623,-93.0951475,True,13
14,92.0,14x mtairy st,"140 E Mt Airy St, St Paul, MN 55130, USA",44.9588858,-93.0945488,True,14
15,92.0,15x arch st e,"150 Arch St, St Paul, MN 55130, USA",44.960874,-93.0945259,True,15
16,92.0,15x mtairy st,"150 E Mt Airy St, St Paul, MN 55130, USA",44.95883269999999,-93.0941958,True,16
17,92.0,16x acker st e,"160 Acker St E, St Paul, MN 55117, USA",44.9641415,-93.0935824,True,17
18,92.0,16x arch st e,"160 Arch St, St Paul, MN 55130, USA",44.9608277,-93.0941594,True,18
19,92.0,16x minnehaha av e,"160 Minnehaha Ave E, St Paul, MN 55130, USA",44.9626298,-93.09385259999999,True,19
20,92.0,16x mtairy st,"160 E Mt Airy St, St Paul, MN 55130, USA",44.9588364,-93.0940232,True,20
21,92.0,16x pennsylvania av e,"160 Pennsylvania Ave E, St Paul, MN 55117, USA",44.9617446,-93.09334489999999,True,21
22,92.0,17x arch st e,"170 Arch St, St Paul, MN 55130, USA",44.9607278,-93.0937319,True,22
