Block,For_Address,Latitude,Longitude
103x charles av,"1030 Charles Ave, St Paul, MN 55104, USA",44.9573307,-93.1435936
103x concordia av,"1030 Concordia Ave, St Paul, MN 55104, USA",44.9510847,-93.1436474
103x duluth st,"1030 Duluth St, St Paul, MN 55106, USA",44.97085329999999,-93.0507524
103x edmund av,"1030 Edmund Ave W, St Paul, MN 55104, USA",44.958270500000005,-93.143606
103x englewood av,"1030 Englewood Ave, St Paul, MN 55104, USA",44.9637271,-93.14356640000001
103x front av,"1030 Front Ave, St Paul, MN 55103, USA",44.969952,-93.143591
103x fuller av,"1030 Fuller Ave, St Paul, MN 55104, USA",44.953725299999995,-93.143645
103x hubbard av,"1030 Hubbard Ave, St Paul, MN 55104, USA",44.9655124,-93.14356590000001
103x iglehart av,"1030 Iglehart Ave, St Paul, MN 55104, USA",44.9492258,-93.1436376
103x lafond av,"1030 Lafond Ave, St Paul, MN 55104, USA",44.960051,-93.14358929999999
103x marshall av,"1030 Marshall Ave, St Paul, MN 55104, USA",44.9482439,-93.1436184
103x minnehaha av w,"1030 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627773,-93.1436587
103x piercebutler rd,"1030 W Pierce Butler Route, St Paul, MN 55104, USA",44.9662083,-93.1436815
103x seminary av,"1030 W Seminary Ave, St Paul, MN 55104, USA",44.9645805,-93.14365240000001
103x stinson st,"1030 Stinson St, St Paul, MN 55103, USA",44.9691191,-93.1435427
103x thomas av,"1030 Thomas Ave W, St Paul, MN 55104, USA",44.9591578,-93.1436012
103x topping st,"1030 Topping St, St Paul, MN 55103, USA",44.967334,-93.1435694
103x university av w,"1030 University Ave W, St Paul, MN 55104, USA",44.955335,-93.1433828
103x vanburen av,"1030 Van Buren Ave, St Paul, MN 55104, USA",44.961867100000006,-93.1436374
104x aurora av,"1040 Aurora Ave, St Paul, MN 55104, USA",44.95464459999999,-93.1443137
104x blair av,"1040 Blair Ave, St Paul, MN 55104, USA",44.961191,-93.1441026
104x burgess st,"1040 Burgess St, St Paul, MN 55103, USA",44.9684059,-93.1440916
104x central av w,"1040 Central Ave W, St Paul, MN 55104, USA",44.9530433,-93.1440971
104x charles av,"1040 Charles Ave, St Paul, MN 55104, USA",44.957553600000004,-93.144085
104x edmund av,"1040 Edmund Ave W, St Paul, MN 55104, USA",44.9584586,-93.1440913
104x englewood av,"1040 Englewood Ave, St Paul, MN 55104, USA",44.96390419999999,-93.14411390000001
104x front av,"1040 Front Ave, St Paul, MN 55103, USA",44.9701152,-93.1439427
