Address,Block,Block1,Coordinates,For_Address_x,Latitude_x,Longitude_x,Pass1,For_Address_y,Latitude_y,Longitude_y
"770 capitol bd, Saint Paul, MN, 55103",77x capitol bd,3.0,"{'formatted_address': '770 Capitol Heights, St Paul, MN 55103, USA', 'latitude': 44.9584092, 'longitude': -93.09944279999999, 'input_string': '770 capitol bd, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","770 Capitol Heights, St Paul, MN 55103, USA",44.9584092,-93.09944279999999,,,,
"790 capitol bd, Saint Paul, MN, 55103",79x capitol bd,5.0,"{'formatted_address': '790 Capitol Heights, St Paul, MN 55103, USA', 'latitude': 44.959115, 'longitude': -93.09940999999999, 'input_string': '790 capitol bd, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","790 Capitol Heights, St Paul, MN 55103, USA",44.959115,-93.09940999999999,,,,
"790 capitol ht, Saint Paul, MN, 55103",79x capitol ht,1.0,"{'formatted_address': '560 Concordia Ave, St Paul, MN 55103, USA', 'latitude': 44.9504557, 'longitude': -93.12233359999999, 'input_string': '790 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 2, 'status': 'OK'}","560 Concordia Ave, St Paul, MN 55103, USA",44.9504557,-93.12233359999999,,,,
"780 capitol bd, Saint Paul, MN, 55103",78x capitol bd,1.0,"{'formatted_address': '780 Capitol Heights, St Paul, MN 55103, USA', 'latitude': 44.9588471, 'longitude': -93.09941169999999, 'input_string': '780 capitol bd, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","780 Capitol Heights, St Paul, MN 55103, USA",44.9588471,-93.09941169999999,,,,
"800 capitol ht, Saint Paul, MN, 55103",80x capitol ht,3.0,"{'formatted_address': '560 Concordia Ave, St Paul, MN 55103, USA', 'latitude': 44.9504557, 'longitude': -93.12233359999999, 'input_string': '800 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","560 Concordia Ave, St Paul, MN 55103, USA",44.9504557,-93.12233359999999,,,,
"810 capitol ht, Saint Paul, MN, 55103",81x capitol ht,3.0,"{'formatted_address': '560 Concordia Ave, St Paul, MN 55103, USA', 'latitude': 44.9504557, 'longitude': -93.12233359999999, 'input_string': '810 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 2, 'status': 'OK'}","560 Concordia Ave, St Paul, MN 55103, USA",44.9504557,-93.12233359999999,,,,
"820 capitol bd, Saint Paul, MN, 55103",82x capitol bd,1.0,"{'formatted_address': '820 Capitol Heights, St Paul, MN 55103, USA', 'latitude': 44.960073, 'longitude': -93.099164, 'input_string': '820 capitol bd, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","820 Capitol Heights, St Paul, MN 55103, USA",44.960073,-93.099164,,,,
"820 capitol ht, Saint Paul, MN, 55103",82x capitol ht,1.0,"{'formatted_address': '560 Concordia Ave, St Paul, MN 55103, USA', 'latitude': 44.9504557, 'longitude': -93.12233359999999, 'input_string': '820 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 2, 'status': 'OK'}","560 Concordia Ave, St Paul, MN 55103, USA",44.9504557,-93.12233359999999,,,,
"nan, Saint Paul, MN, 55103",nan,1.0,"{'formatted_address': 'St Paul, MN 55103, USA', 'latitude': 44.9688472, 'longitude': -93.13156479999999, 'input_string': 'nan, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","St Paul, MN 55103, USA",44.9688472,-93.13156479999999,,,,
"park, Saint Paul, MN, 55103",park,2.0,"{'formatted_address': 'Como Park Zoo & Conservatory, 1225 Estabrook Dr, St Paul, MN 55103, USA', 'latitude': 44.9816216, 'longitude': -93.1521428, 'input_string': 'park, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","Como Park Zoo & Conservatory, 1225 Estabrook Dr, St Paul, MN 55103, USA",44.9816216,-93.1521428,,,,
"750 lexington pa n, Saint Paul, MN, 55104",75x lexington pa n,1.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '750 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,,,,
"760 lexington pa n, Saint Paul, MN, 55104",76x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '760 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
"770 lexington pa n, Saint Paul, MN, 55104",77x lexington pa n,3.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '770 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,,,,
"780 lexington pa n, Saint Paul, MN, 55104",78x lexington pa n,1.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '780 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,,,,
"900 lexington pa n, Saint Paul, MN, 55104",90x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '900 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
"950 lexington pa n, Saint Paul, MN, 55104",95x lexington pa n,173.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '950 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
"270 oxford st n, Saint Paul, MN, 55104",27x oxford st n,3.0,"{'formatted_address': '270 Oxford St N, St Paul, MN 55104, USA', 'latitude': 44.9493409, 'longitude': -93.1438237, 'input_string': '270 oxford st n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","270 Oxford St N, St Paul, MN 55104, USA",44.9493409,-93.1438237,,,,
"300 lexington pa n, Saint Paul, MN, 55104",3xx lexington pa n,1.0,"{'formatted_address': '300 N Mississippi River Blvd, St Paul, MN 55104, USA', 'latitude': 44.9500568, 'longitude': -93.198577, 'input_string': '300 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","300 N Mississippi River Blvd, St Paul, MN 55104, USA",44.9500568,-93.198577,,,,
"370 lexington pa n, Saint Paul, MN, 55104",37x lexington pa n,109.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '370 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,,,,
"390 lexington pa n, Saint Paul, MN, 55104",39x lexington pa n,12.0,"{'formatted_address': '390 Robert St N, St Paul, MN 55101, USA', 'latitude': 44.9482015, 'longitude': -93.0913934, 'input_string': '390 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","390 Robert St N, St Paul, MN 55101, USA",44.9482015,-93.0913934,,,,
"400 lexington pa n, Saint Paul, MN, 55104",40x lexington pa n,7.0,"{'formatted_address': '400 N Syndicate St, St Paul, MN 55104, USA', 'latitude': 44.953212, 'longitude': -93.153875, 'input_string': '400 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","400 N Syndicate St, St Paul, MN 55104, USA",44.953212,-93.153875,,,,
"400 lexington pa n, Saint Paul, MN, 55104",4xx lexington pa n,2.0,"{'formatted_address': '400 N Syndicate St, St Paul, MN 55104, USA', 'latitude': 44.953212, 'longitude': -93.153875, 'input_string': '400 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","400 N Syndicate St, St Paul, MN 55104, USA",44.953212,-93.153875,,,,
"410 lexington pa n, Saint Paul, MN, 55104",41x lexington pa n,3.0,"{'formatted_address': '410 N Syndicate St, St Paul, MN 55104, USA', 'latitude': 44.9536013, 'longitude': -93.15380429999999, 'input_string': '410 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","410 N Syndicate St, St Paul, MN 55104, USA",44.9536013,-93.15380429999999,,,,
"440 lexington pa n, Saint Paul, MN, 55104",44x lexington pa n,29.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '440 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
"450 lexington pa n, Saint Paul, MN, 55104",45x lexington pa n,29.0,"{'formatted_address': '450 N Syndicate St # 5, St Paul, MN 55104, USA', 'latitude': 44.9548494, 'longitude': -93.1541089, 'input_string': '450 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","450 N Syndicate St # 5, St Paul, MN 55104, USA",44.9548494,-93.1541089,,,,
"460 lexington pa n, Saint Paul, MN, 55104",46x lexington pa n,7.0,"{'formatted_address': 'St Paul, MN 55104, USA', 'latitude': 44.9516643, 'longitude': -93.16290629999999, 'input_string': '460 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","St Paul, MN 55104, USA",44.9516643,-93.16290629999999,,,,
"300 lexington pa n, Saint Paul, MN, 55104",3xx lexington pa n,1.0,"{'formatted_address': '300 N Mississippi River Blvd, St Paul, MN 55104, USA', 'latitude': 44.9500568, 'longitude': -93.198577, 'input_string': '300 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","300 N Mississippi River Blvd, St Paul, MN 55104, USA",44.9500568,-93.198577,,,,
"310 griggs st n, Saint Paul, MN, 55104",31x griggs st n,1.0,"{'formatted_address': 'Griggs St N, St Paul, MN 55104, USA', 'latitude': 44.9675573, 'longitude': -93.15169069999999, 'input_string': '310 griggs st n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","Griggs St N, St Paul, MN 55104, USA",44.9675573,-93.15169069999999,,,,
"330 lexington pa n, Saint Paul, MN, 55104",33x lexington pa n,1.0,"{'formatted_address': 'St Paul, MN 55104, USA', 'latitude': 44.9516643, 'longitude': -93.16290629999999, 'input_string': '330 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","St Paul, MN 55104, USA",44.9516643,-93.16290629999999,,,,
"370 lexington pa n, Saint Paul, MN, 55104",37x lexington pa n,17.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '370 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,,,,
"390 griggs st n, Saint Paul, MN, 55104",39x griggs st n,3.0,"{'formatted_address': 'Griggs St N, St Paul, MN 55104, USA', 'latitude': 44.9675573, 'longitude': -93.15169069999999, 'input_string': '390 griggs st n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","Griggs St N, St Paul, MN 55104, USA",44.9675573,-93.15169069999999,,,,
"390 lexington pa n, Saint Paul, MN, 55104",39x lexington pa n,147.0,"{'formatted_address': '390 Robert St N, St Paul, MN 55101, USA', 'latitude': 44.9482015, 'longitude': -93.0913934, 'input_string': '390 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","390 Robert St N, St Paul, MN 55101, USA",44.9482015,-93.0913934,,,,
"400 lexington pa n, Saint Paul, MN, 55104",40x lexington pa n,1.0,"{'formatted_address': '400 N Syndicate St, St Paul, MN 55104, USA', 'latitude': 44.953212, 'longitude': -93.153875, 'input_string': '400 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","400 N Syndicate St, St Paul, MN 55104, USA",44.953212,-93.153875,,,,
"450 lexington pa n, Saint Paul, MN, 55104",45x lexington pa n,23.0,"{'formatted_address': '450 N Syndicate St # 5, St Paul, MN 55104, USA', 'latitude': 44.9548494, 'longitude': -93.1541089, 'input_string': '450 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","450 N Syndicate St # 5, St Paul, MN 55104, USA",44.9548494,-93.1541089,,,,
"460 lexington pa n, Saint Paul, MN, 55104",46x lexington pa n,2.0,"{'formatted_address': 'St Paul, MN 55104, USA', 'latitude': 44.9516643, 'longitude': -93.16290629999999, 'input_string': '460 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","St Paul, MN 55104, USA",44.9516643,-93.16290629999999,,,,
"520 lexington pa n, Saint Paul, MN, 55104",52x lexington pa n,2.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '520 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,,,,
"530 lexington pa n, Saint Paul, MN, 55104",53x lexington pa n,2.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '530 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
"560 lexington pa n, Saint Paul, MN, 55104",56x lexington pa n,1.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '560 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,,,,
"590 lexington pa n, Saint Paul, MN, 55104",59x lexington pa n,2.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '590 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
"600 lexington pa n, Saint Paul, MN, 55104",60x lexington pa n,3.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '600 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
"620 lexington pa n, Saint Paul, MN, 55104",62x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '620 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 2, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
"630 lexington pa n, Saint Paul, MN, 55104",63x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '630 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
"640 lexington pa n, Saint Paul, MN, 55104",64x lexington pa n,1.0,"{'formatted_address': '451 N Dunlap St, St Paul, MN 55104, USA', 'latitude': 44.9537679, 'longitude': -93.14994899999999, 'input_string': '640 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","451 N Dunlap St, St Paul, MN 55104, USA",44.9537679,-93.14994899999999,,,,
"650 lexington pa n, Saint Paul, MN, 55104",65x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '650 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
"660 lexington pa n, Saint Paul, MN, 55104",66x lexington pa n,2.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '660 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,,,,
"700 lexington pa n, Saint Paul, MN, 55104",70x lexington pa n,13.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '700 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,,,,
