Address,Block,Block1,Coordinates,Fail,For_Address,Grid,Latitude,Longitude,Results,Zip,index,index1
"310 hamline av n, Saint Paul, MN, 55104",31x hamline av n,1.0,"{'formatted_address': '310 Hamline Ave N, St Paul, MN 55104, USA', 'latitude': 44.9522422, 'longitude': -93.15682319999999, 'zip': '55104', 'input_string': '310 hamline av n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"310 Hamline Ave N, St Paul, MN 55104, USA",106.0,44.9522422,-93.15682319999999,1.0,55104,,
"330 lexington pa n, Saint Paul, MN, 55104",33x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '330 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",106.0,44.9398043,-93.1463622,1.0,55105,,
"370 lexington pa n, Saint Paul, MN, 55104",37x lexington pa n,17.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '370 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",106.0,44.9398043,-93.1463622,1.0,55105,,
"390 griggs st n, Saint Paul, MN, 55104",39x griggs st n,3.0,"{'formatted_address': 'Griggs St N, St Paul, MN 55104, USA', 'latitude': 44.9675573, 'longitude': -93.15169069999999, 'zip': '55104', 'input_string': '390 griggs st n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"Griggs St N, St Paul, MN 55104, USA",106.0,44.9675573,-93.15169069999999,1.0,55104,,
"390 lexington pa n, Saint Paul, MN, 55104",39x lexington pa n,155.0,"{'formatted_address': '390 Robert St N, St Paul, MN 55101, USA', 'latitude': 44.9482015, 'longitude': -93.0913934, 'zip': '55101', 'input_string': '390 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"390 Robert St N, St Paul, MN 55101, USA",106.0,44.9482015,-93.0913934,1.0,55101,,
"460 lexington pa n, Saint Paul, MN, 55104",46x lexington pa n,2.0,"{'formatted_address': 'St Paul, MN 55104, USA', 'latitude': 44.9516643, 'longitude': -93.16290629999999, 'zip': '55104', 'input_string': '460 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"St Paul, MN 55104, USA",106.0,44.9516643,-93.16290629999999,1.0,55104,,
,28x lexington pa n,,,True,"280 Snelling Ave N, St Paul, MN 55104, USA",106.0,44.9495878,-93.16668759999999,,,76.0,76.0
,43x griggs st n,,,True,"430 Griggs St N, St Paul, MN 55104, USA",106.0,44.967251,-93.15170379999999,,,100.0,95.0
,31x griggs st n,,,True,"Griggs St N, St Paul, MN 55104, USA",106.0,44.9675573,-93.15169069999999,,,83.0,83.0
