Grid,Address,Block,Block1,Coordinates,For_Address,Latitude,Longitude,Zip,Results,Fail
87.0,"470 lexington pa n, Saint Paul, MN, 55104",47x lexington pa n,1,"{'formatted_address': '470 Hamline Ave N, St Paul, MN 55104, USA', 'latitude': 44.9549815, 'longitude': -93.1563022, 'zip': '55104', 'input_string': '470 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","470 Hamline Ave N, St Paul, MN 55104, USA",44.9549815,-93.1563022,55104,1,True
87.0,"480 lexington pa n, Saint Paul, MN, 55104",48x lexington pa n,2,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '480 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 2, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,55105,2,False
87.0,"490 lexington pa n, Saint Paul, MN, 55104",49x lexington pa n,3,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '490 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 2, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,55105,2,False
87.0,"500 lexington pa n, Saint Paul, MN, 55104",50x lexington pa n,1,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '500 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,55105,1,False
87.0,"520 lexington pa n, Saint Paul, MN, 55104",52x lexington pa n,1,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '520 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,55105,1,False
87.0,"530 lexington pa n, Saint Paul, MN, 55104",53x lexington pa n,2,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '530 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,55105,1,False
87.0,"540 lexington pa n, Saint Paul, MN, 55104",54x lexington pa n,4,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '540 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,55105,1,False
87.0,"560 lexington pa n, Saint Paul, MN, 55104",56x lexington pa n,27,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'zip': '55104', 'input_string': '560 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 2, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,55104,2,True
87.0,"570 lexington pa n, Saint Paul, MN, 55104",57x lexington pa n,2,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'zip': '55104', 'input_string': '570 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,55104,1,True
87.0,"580 lexington pa n, Saint Paul, MN, 55104",58x lexington pa n,1,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '580 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 2, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,55105,2,False
