Block,For_Address,Latitude,Longitude
103x concordia av,"1030 Concordia Ave, St Paul, MN 55104, USA",44.9510847,-93.14364739999999
103x duluth st,"1030 Duluth St, St Paul, MN 55106, USA",44.97085329999999,-93.05075240000001
103x edmund av,"1030 Edmund Ave W, St Paul, MN 55104, USA",44.9582705,-93.14360599999999
103x englewood av,"1030 Englewood Ave, St Paul, MN 55104, USA",44.9637271,-93.1435664
103x front av,"1030 Front Ave, St Paul, MN 55103, USA",44.969952,-93.14359100000001
103x fuller av,"1030 Fuller Ave, St Paul, MN 55104, USA",44.9537253,-93.14364499999999
103x hubbard av,"1030 Hubbard Ave, St Paul, MN 55104, USA",44.9655124,-93.1435659
103x iglehart av,"1030 Iglehart Ave, St Paul, MN 55104, USA",44.9492258,-93.14363759999999
103x lafond av,"1030 Lafond Ave, St Paul, MN 55104, USA",44.960051,-93.1435893
103x marshall av,"1030 Marshall Ave, St Paul, MN 55104, USA",44.9482439,-93.1436184
103x minnehaha av w,"1030 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627773,-93.14365869999999
103x piercebutler rd,"1030 W Pierce Butler Route, St Paul, MN 55104, USA",44.9662083,-93.1436815
103x seminary av,"1030 W Seminary Ave, St Paul, MN 55104, USA",44.9645805,-93.1436524
103x stinson st,"1030 Stinson St, St Paul, MN 55103, USA",44.9691191,-93.1435427
103x thomas av,"1030 Thomas Ave W, St Paul, MN 55104, USA",44.9591578,-93.14360119999999
103x topping st,"1030 Topping St, St Paul, MN 55103, USA",44.967334,-93.14356939999999
103x university av w,"1030 University Ave W, St Paul, MN 55104, USA",44.955335,-93.1433828
103x vanburen av,"1030 Van Buren Ave, St Paul, MN 55104, USA",44.9618671,-93.14363739999999
104x aurora av,"1040 Aurora Ave, St Paul, MN 55104, USA",44.95464459999999,-93.1443137
104x blair av,"1040 Blair Ave, St Paul, MN 55104, USA",44.961191,-93.1441026
104x burgess st,"1040 Burgess St, St Paul, MN 55103, USA",44.9684059,-93.1440916
