X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2610536215938,44.9639249837694,,MP20216735          ,3     ,2021/01/10 00:00:00+00,1117,2021/01/09 00:00:00+00,2021/01/10 11:17:00+00,1630,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,,-93.26106,44.96393,-10381773,5615844,Ventura Village,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,144
-93.2358289284157,45.0213485193046,0029XX ULYSSES ST NE,MP20216743          ,2     ,2021/01/10 00:00:00+00,1200,2021/01/09 00:00:00+00,2021/01/10 12:00:00+00,1600,THEFT   ,OTHER THEFT                   ,07 ,2021/01/11 00:00:00+00,10566,-93.23583108,45.02135075,-10378965,5624883,Audubon Park,2021/01/13 00:00:00+00,2021/01/14 07:00:16+00,145
-93.283385739557,45.0137283949935,0032XX 3RD ST N,MP20216751          ,4     ,2021/01/10 00:00:00+00,1150,2021/01/10 00:00:00+00,2021/01/10 11:50:00+00,1100,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,14884,-93.28338846,45.01372855,-10384259,5623683,McKinley,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,146
-93.2567686576885,44.961827450094,0012XX 21ST ST E,MP20216773          ,3     ,2021/01/10 00:00:00+00,1225,2020/10/19 00:00:00+00,2021/01/10 12:25:00+00,1200,TMVP    ,THEFT-MOTR VEH PARTS          ,07 ,2021/01/11 00:00:00+00,16499,-93.25677535,44.96183225,-10381296,5615514,Ventura Village,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,147
-93.2111252581024,44.9734519062242,0005XX MALCOLM AVE SE,MP20216783          ,2     ,2021/01/10 00:00:00+00,1449,2021/01/10 00:00:00+00,2021/01/10 14:49:00+00,550,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2021/01/11 00:00:00+00,10323,-93.21112566,44.97345258,-10376215,5617343,Prospect Park - East River Road,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,148
-93.260361918825,44.967986353683,0009XX 15TH ST E,MP20216789          ,1     ,2021/01/10 00:00:00+00,1319,2021/01/09 00:00:00+00,2021/01/10 13:19:00+00,2200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,18844,-93.26036615,44.96799154,-10381696,5616483,Elliot Park,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,149
-93.2549989765788,44.952838967802,0027XX 14TH AVE S,MP20216791          ,3     ,2021/01/10 00:00:00+00,1352,2021/01/09 00:00:00+00,2021/01/10 13:52:00+00,2200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,18406,-93.25500518,44.95283952,-10381099,5614100,Midtown Phillips,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,150
-93.2229470872414,44.8999347957015,0056XX 34TH AVE S,MP20216813          ,3     ,2021/01/10 00:00:00+00,1401,2020/12/23 00:00:00+00,2021/01/10 14:01:00+00,1600,THEFT   ,OTHER THEFT                   ,07 ,2021/01/11 00:00:00+00,16391,-93.22294772,44.89993505,-10377531,5605782,Morris Park,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,151
-93.2288310523524,45.003636519944,0015XX NEW BRIGHTON BLVD ,MP20216823          ,2     ,2021/01/10 00:00:00+00,1456,2021/01/10 00:00:00+00,2021/01/10 14:56:00+00,1425,SHOPLF  ,SHOPLIFTING                   ,07 ,2021/01/11 00:00:00+00,21511,-93.22883412,45.00363907,-10378186,5622094,Northeast Park,2021/01/20 00:00:00+00,2021/01/21 07:00:56+00,152
-93.2288310523524,45.003636519944,0015XX NEW BRIGHTON BLVD ,MP20216843          ,2     ,2021/01/10 00:00:00+00,1624,2021/01/10 00:00:00+00,2021/01/10 16:24:00+00,1520,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2021/01/11 00:00:00+00,21511,-93.22883412,45.00363907,-10378186,5622094,Northeast Park,2021/01/15 00:00:00+00,2021/01/16 07:01:38+00,153
