Grid,Date,Block,CallDisposition,Incident,IncType,Neighborhood
84.0,2020-01-22 07:00:00,176x lafond av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
84.0,2020-01-21 10:33:56,49x snelling av n,Gone on Arrival,Theft,"Theft, Except Auto Theft",11 - Hamline/Midway
84.0,2020-01-21 09:54:41,161x charles av,Report Written,Burglary,Burglary,11 - Hamline/Midway
84.0,2020-01-20 15:24:17,176x vanburen av,Gone on Arrival,Narcotics,Narcotics,11 - Hamline/Midway
84.0,2020-01-20 08:04:19,160x charles av,Advised,Vandalism,Criminal Damage to Property,11 - Hamline/Midway
84.0,2020-01-19 20:00:00,163x blair av,Report Written,Auto Theft,"Motor Vehicle Theft, All Other Vehicles",11 - Hamline/Midway
84.0,2020-01-16 20:40:00,55x snelling av n,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
84.0,2020-01-16 18:36:00,167x thomas av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
84.0,2020-01-15 17:30:00,176x university av w,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
84.0,2020-01-15 14:16:40,66x snelling av n,Advised,Vandalism,Criminal Damage to Property,11 - Hamline/Midway
84.0,2020-01-15 06:45:00,66x fairview av n,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
84.0,2020-01-14 13:45:00,176x university av w,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
84.0,2020-01-14 07:18:00,160x charles av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
84.0,2020-01-13 14:26:00,54x wheeler st n,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
84.0,2020-01-09 13:00:00,164x edmund av,Report Written,Theft,"Theft, From Auto, Under $500",11 - Hamline/Midway
84.0,2020-01-09 13:00:00,54x fairview av n,Report Written,Theft,"Theft, From Auto, Under $500",11 - Hamline/Midway
84.0,2020-01-09 11:48:01,161x sherburne av,Advised,Theft,"Theft, Except Auto Theft",11 - Hamline/Midway
84.0,2020-01-09 09:15:00,50x fry st,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
84.0,2020-01-07 00:30:30,159x lafond av,Advised,Discharge,"Weapons, Discharging a Firearm in the City Limits",11 - Hamline/Midway
84.0,2020-01-06 03:12:00,168x university av w,Report Written,Burglary,"Burglary, Forced Entry, Night, Commercial",11 - Hamline/Midway
84.0,2020-01-05 19:43:02,176x university av w,Advised,Vandalism,Criminal Damage to Property,11 - Hamline/Midway
84.0,2020-01-04 12:50:00,64x snelling av n,Report Written,Vandalism,"Criminal Damage to Property (Gross Mis., $250-$500)",11 - Hamline/Midway
84.0,2020-01-04 09:39:00,160x vanburen av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
84.0,2020-01-03 09:45:00,169x lafond av,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
84.0,2020-01-03 09:28:00,173x lafond av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
84.0,2020-01-02 08:36:23,162x edmund av,Gone on Arrival,Theft,"Theft, From Auto",11 - Hamline/Midway
84.0,2020-01-02 06:00:00,162x edmund av,Report Written,Theft,"Theft, From Auto, $501 to $1000",11 - Hamline/Midway
84.0,2020-01-01 23:25:00,164x charles av,Report Written,Theft,"Theft, From Auto, Under $500",11 - Hamline/Midway
84.0,2019-12-30 20:00:00,160x university av w,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
84.0,2019-12-29 12:51:00,163x edmund av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
84.0,2019-12-28 16:00:00,aldine st  & university,Report Written,Theft,"Theft, Auto Accessories, Over $1000",11 - Hamline/Midway
84.0,2019-12-28 09:25:00,159x charles av,Report Written,Theft,"Theft, Auto Accessories, $501 to $1000",11 - Hamline/Midway
84.0,2019-12-28 07:45:00,54x snelling av,Report Written,Theft,"Theft, From Auto, Under $500",11 - Hamline/Midway
84.0,2019-12-28 06:00:00,169x university av w,Report Written,Burglary,"Burglary, Forced Entry, Night, Commercial",11 - Hamline/Midway
84.0,2019-12-27 10:37:04,176x university av w,Advised,Theft,"Theft, Except Auto Theft",11 - Hamline/Midway
84.0,2019-12-24 07:01:50,70x fry st,Gone on Arrival,Theft,"Theft, From Auto",11 - Hamline/Midway
84.0,2019-12-22 21:00:00,54x snelling av n,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
84.0,2019-12-22 20:02:15,160x vanburen av,Advised,Burglary,Burglary,11 - Hamline/Midway
84.0,2019-12-22 09:00:00,160x vanburen av,Report Written,Burglary,"Burglary, No Forced Entry, Day, Residence, Occupied",11 - Hamline/Midway
84.0,2019-12-21 12:10:00,176x university av w,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
84.0,2019-12-21 05:07:00,160x vanburen av,Report Written,Burglary,"Burglary, No Forced Entry, Night, Residence, Occupied",11 - Hamline/Midway
84.0,2019-12-20 16:47:00,175x thomas av,Report Written,Robbery,"Robbery, Misc., Firearm",11 - Hamline/Midway
84.0,2019-12-19 12:57:00,54x snelling av n,Report Written,Theft,"Theft, All Other, Over $1000",11 - Hamline/Midway
84.0,2019-12-17 08:43:00,49x snelling av n,Report Written,Theft,"Theft, Shoplifting, Under $500",11 - Hamline/Midway
84.0,2019-12-17 08:11:00,164x thomas av,Report Written,Burglary,"Burglary, No Forced Entry, Day, Garage",11 - Hamline/Midway
84.0,2019-12-17 06:50:00,160x vanburen av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
84.0,2019-12-16 16:31:52,54x snelling av n,Advised,Theft,"Theft, Except Auto Theft",11 - Hamline/Midway
84.0,2019-12-16 06:00:00,68x fry st,Report Written,Vandalism,"Criminal Damage to Property (Gross Mis., $250-$500)",11 - Hamline/Midway
84.0,2019-12-13 13:34:39,54x snelling av n,Advised,Theft,"Theft, Except Auto Theft",11 - Hamline/Midway
84.0,2019-12-12 20:00:00,61x snelling av n,Report Written,Vandalism,"Criminal Damage to Property (Misdemeanor, Under $250)",11 - Hamline/Midway
84.0,2019-12-11 18:45:00,176x university av w,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
84.0,2019-12-10 20:00:00,176x university av w,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
84.0,2019-12-10 13:35:55,176x university av w,Advised,Theft,"Theft, From Auto",11 - Hamline/Midway
84.0,2019-12-08 08:00:53,54x snelling av n,Advised,Narcotics,Narcotics,11 - Hamline/Midway
84.0,2019-12-06 17:00:00,176x university av w,Report Written,Theft,"Theft, From Auto, Over $1000",11 - Hamline/Midway
84.0,2019-12-05 08:00:00,161x charles av,Report Written,Theft,Theft - Mail/Package,11 - Hamline/Midway
84.0,2019-12-05 05:45:00,158x thomas av,Report Written,Robbery,"Robbery, Highway, By Strong Arm",11 - Hamline/Midway
84.0,2019-12-04 13:37:08,169x charles av,Advised,Theft,"Theft, From Auto",11 - Hamline/Midway
67.0,2020-01-29 19:42:00,chatsworth st n & seminary,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",7 - Thomas/Dale(Frogtown)
67.0,2020-01-24 16:00:00,90x minnehaha av w,Report Written,Agg. Assault Dom.,"Aggravated Assault, Domestic",7 - Thomas/Dale(Frogtown)
67.0,2020-01-23 06:53:00,107x piercebutler rd,Advised,Theft,"Theft, From Auto",7 - Thomas/Dale(Frogtown)
67.0,2020-01-21 19:45:00,91x minnehaha av w,Report Written,Vandalism,"Criminal Damage to Property (Misdemeanor, Under $250)",7 - Thomas/Dale(Frogtown)
67.0,2020-01-12 09:46:52,90x minnehaha av w,Advised,Auto Theft,Motor Vehicle Theft,7 - Thomas/Dale(Frogtown)
67.0,2020-01-10 13:55:00,95x lexington pa n,Report Written,Vandalism,"Criminal Damage to Property (Misdemeanor, Under $250)",7 - Thomas/Dale(Frogtown)
67.0,2020-01-09 15:50:59,75x milton st n,Gone on Arrival,Theft,"Theft, Except Auto Theft",7 - Thomas/Dale(Frogtown)
67.0,2020-01-09 12:30:00,77x victoria st n,Report Written,Robbery,"Robbery, Highway, By Strong Arm",7 - Thomas/Dale(Frogtown)
67.0,2020-01-09 00:06:24,95x lexington pa n,Advised,Theft,"Theft, Except Auto Theft",7 - Thomas/Dale(Frogtown)
67.0,2019-12-27 17:42:00,75x milton st n,Report Written,Discharge,"Weapons, Discharging a Firearm in the City Limits",7 - Thomas/Dale(Frogtown)
67.0,2019-12-26 04:54:00,75x milton st n,Report Written,Burglary,"Burglary, Forced Entry, Night, Commercial",7 - Thomas/Dale(Frogtown)
67.0,2019-12-25 21:26:45,83x lexington pa n,Report Written,Theft,"Theft, From Auto",7 - Thomas/Dale(Frogtown)
67.0,2019-12-24 22:00:00,75x milton st n,Report Written,Theft,"Theft, From Auto, $501 to $1000",7 - Thomas/Dale(Frogtown)
67.0,2019-12-24 18:59:00,75x milton st n,Report Written,Agg. Assault,"Aggravated Assault, Firearm",7 - Thomas/Dale(Frogtown)
67.0,2019-12-23 16:26:50,103x hubbard av,Gone on Arrival,Theft,"Theft, Except Auto Theft",7 - Thomas/Dale(Frogtown)
67.0,2019-12-23 15:27:22,78x lexington pa n,Advised,Vandalism,Criminal Damage to Property,7 - Thomas/Dale(Frogtown)
67.0,2019-12-22 10:00:00,75x milton st n,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",7 - Thomas/Dale(Frogtown)
67.0,2019-12-19 03:20:26,95x lexington pa n,Advised,Theft,"Theft, Except Auto Theft",10 - Como
67.0,2019-12-12 19:46:00,106x minnehaha av w,Report Written,Simple Asasult Dom.,"Assault, Domestic, Family/Child",7 - Thomas/Dale(Frogtown)
67.0,2019-12-02 12:30:00,90x minnehaha av w,Report Written,Theft,"Theft, All Other, Under $500",7 - Thomas/Dale(Frogtown)
67.0,2019-12-02 03:00:57,95x lexington pa n,Gone on Arrival,Narcotics,Narcotics,10 - Como
67.0,2019-12-02 01:36:02,95x lexington pa n,Gone on Arrival,Narcotics,Narcotics,10 - Como
67.0,2019-12-01 19:12:00,95x lexington pa n,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",10 - Como
66.0,2020-01-29 11:33:32,118x englewood av,Advised,Theft,"Theft, From Auto",11 - Hamline/Midway
66.0,2020-01-26 22:00:00,124x hubbard av,Report Written,Theft,"Theft, From Auto, Under $500",11 - Hamline/Midway
66.0,2020-01-26 11:38:35,127x hubbard av,Advised,Vandalism,Criminal Damage to Property,11 - Hamline/Midway
66.0,2020-01-21 15:06:00,116x englewood av,Report Written,Theft,Theft - Mail/Package,11 - Hamline/Midway
66.0,2020-01-20 13:58:53,115x seminary av,Gone on Arrival,Narcotics,Narcotics,11 - Hamline/Midway
66.0,2020-01-10 07:40:00,116x hubbard av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
66.0,2020-01-07 10:42:33,125x seminary av,Advised,Vandalism,Criminal Damage to Property,11 - Hamline/Midway
66.0,2020-01-05 22:28:46,83x syndicate st n,Advised,Discharge,"Weapons, Discharging a Firearm in the City Limits",11 - Hamline/Midway
66.0,2019-12-31 08:13:54,130x minnehaha av w,Advised,Theft,"Theft, From Auto",11 - Hamline/Midway
66.0,2019-12-26 07:57:34,126x energy la,Gone on Arrival,Theft,"Theft, From Auto",10 - Como
66.0,2019-12-21 21:00:00,130x hewitt av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
66.0,2019-12-17 07:52:30,120x hewitt av,Advised,Theft,"Theft, From Auto",11 - Hamline/Midway
66.0,2019-12-07 04:15:23,116x seminary av,Advised,Theft,"Theft, Except Auto Theft",11 - Hamline/Midway
66.0,2019-12-06 19:19:00,116x minnehaha av w,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
65.0,2020-01-28 22:30:00,albert st n & englewood,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
65.0,2020-01-26 11:30:00,piercebutler rd  & snelling,Report Written,Narcotics,"Narcotics, Possession of Marijuana",11 - Hamline/Midway
65.0,2020-01-24 23:09:25,87x pascal st n,Advised,Discharge,"Weapons, Discharging a Firearm in the City Limits",11 - Hamline/Midway
65.0,2020-01-22 16:57:52,151x englewood av,Report Written,Theft,"Theft, From Auto",11 - Hamline/Midway
65.0,2020-01-21 22:40:00,87x pascal st n,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
65.0,2020-01-10 16:06:00,153x englewood av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
65.0,2020-01-10 12:08:14,152x hewitt av,Advised,Theft,"Theft, From Auto",11 - Hamline/Midway
65.0,2020-01-05 00:00:00,81x holton st,Report Written,Burglary,"Burglary, Forced Entry, Night, Garage",11 - Hamline/Midway
65.0,2019-12-24 22:16:00,82x pascal st n,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
65.0,2019-12-20 20:29:00,78x pascal st n,Report Written,Narcotics,"Narcotics, Possession of Cocaine",11 - Hamline/Midway
65.0,2019-12-17 14:08:21,153x hewitt av,Advised,Vandalism,Criminal Damage to Property,11 - Hamline/Midway
65.0,2019-12-17 12:04:59,141x energypark dr,Report Written,Theft,"Theft, From Auto",11 - Hamline/Midway
65.0,2019-12-16 23:38:00,144x taylor av,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
65.0,2019-12-14 14:37:00,135x energy la,Report Written,Theft,"Theft, All Other, Under $500",10 - Como
65.0,2019-12-13 09:00:00,152x hewitt av,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
65.0,2019-12-12 00:25:00,asbury st  & minnehaha,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
65.0,2019-12-10 08:00:00,151x englewood av,Report Written,Vandalism,"Criminal Damage to Property (Misdemeanor, Under $250)",11 - Hamline/Midway
65.0,2019-12-08 19:00:00,minnehaha av w & snelling,Report Written,Simple Asasult Dom.,"Assault, Domestic, Opposite Sex",11 - Hamline/Midway
65.0,2019-12-01 23:34:00,minnehaha av w & snelling,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
64.0,2020-01-26 19:05:00,172x hubbard av,Report Written,Discharge,"Weapons, Discharging a Firearm in the City Limits",11 - Hamline/Midway
64.0,2020-01-19 10:30:00,72x snelling av n,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
64.0,2020-01-11 23:00:00,77x aldine st,Report Written,Theft,"Theft, From Auto, Under $500",11 - Hamline/Midway
64.0,2020-01-04 06:16:00,181x hubbard av,Report Written,Burglary,"Burglary, No Forced Entry, Day, Residence, Occupied",11 - Hamline/Midway
64.0,2020-01-01 08:00:00,160x minnehaha av w,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
64.0,2019-12-29 07:38:00,181x englewood av,Report Written,Theft,"Theft, All Other, Under $500",11 - Hamline/Midway
64.0,2019-12-26 09:29:41,175x taylor av,Gone on Arrival,Theft,"Theft, From Auto",11 - Hamline/Midway
64.0,2019-12-22 10:50:31,176x hewitt av,Advised,Theft,"Theft, From Auto",11 - Hamline/Midway
64.0,2019-12-18 20:54:00,90x fairview av n,Report Written,Narcotics,"Narcotics, Possession of Marijuana",11 - Hamline/Midway
64.0,2019-12-15 23:55:00,163x englewood av,Report Written,Vandalism,"Criminal Damage to Property (Misdemeanor, Under $250)",11 - Hamline/Midway
64.0,2019-12-13 10:30:00,90x snelling av n,Report Written,Agg. Assault Dom.,"Aggravated Assault, Domestic",11 - Hamline/Midway
64.0,2019-12-06 20:00:00,175x englewood av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",11 - Hamline/Midway
