Ward,Precinct1,Precinct,June_1st Registered,Total Votes,Voting %,Carter,Carter %,Paul ,Bill ,Dora,Scott,Dino,Abu,Mikki,Write IN
6,W-6 P-8,Saint Paul W-6 P-8,1662,217,13.06%,119,54.84%,30,8,7,3,33,3,14,0
6,W-6 P-9,Saint Paul W-6 P-9,2611,526,20.15%,202,38.40%,66,29,14,11,161,14,28,1
6,W-6 P-10,Saint Paul W-6 P-10,1125,273,24.27%,93,34.07%,49,17,12,4,85,5,8,0
6,W-6 P-11,Saint Paul W-6 P-11,1833,477,26.02%,173,36.27%,85,10,16,14,151,12,13,3
6,W-6 P-12,Saint Paul W-6 P-12,1298,295,22.73%,124,42.03%,47,23,5,5,72,8,11,0
7,W-7 P-1,Saint Paul W-7 P-1,2248,531,23.62%,316,59.51%,35,32,29,5,52,20,37,5
7,W-7 P-2,Saint Paul W-7 P-2,1399,249,17.80%,110,44.18%,33,8,15,6,58,8,7,4
7,W-7 P-3,Saint Paul W-7 P-3,1649,338,20.50%,163,48.22%,48,17,22,1,65,7,15,0
7,W-7 P-4,Saint Paul W-7 P-4,975,211,21.64%,99,46.92%,33,14,10,1,38,2,13,1
7,W-7 P-5,Saint Paul W-7 P-5,1461,457,31.28%,235,51.42%,41,43,32,2,75,14,15,0
7,W-7 P-6,Saint Paul W-7 P-6,1518,292,19.24%,124,42.47%,43,8,17,2,78,2,17,1
7,W-7 P-7,Saint Paul W-7 P-7,1420,298,20.99%,140,46.98%,42,17,14,3,57,7,17,1
7,W-7 P-8,Saint Paul W-7 P-8,1833,403,21.99%,176,43.67%,33,38,16,3,122,5,10,0
7,W-7 P-9,Saint Paul W-7 P-9,1681,405,24.09%,146,36.05%,45,54,21,2,112,8,17,0
7,W-7 P-10,Saint Paul W-7 P-10,1582,416,26.30%,133,31.97%,46,35,15,2,144,13,25,3
7,W-7 P-11,Saint Paul W-7 P-11,1509,235,15.57%,136,57.87%,11,7,14,4,46,6,11,0
7,W-7 P-12,Saint Paul W-7 P-12,2897,807,27.86%,422,52.29%,69,41,45,8,181,18,23,0
7,W-7 P-13,Saint Paul W-7 P-13,2071,697,33.66%,351,50.36%,92,83,19,5,117,11,15,4
,,,,0,#DIV/0!,,#DIV/0!,,,,,,,,0
,,,,0,#DIV/0!,,#DIV/0!,,,,,,,,
