Ward,Precinct,Reg_Vote_10/1/19,Tot_Early/Absentee_Vote,Winner1st_Vote,Total_Vote,Early/Abs_Vote%,LastCouncil_Vote%,Tot_Vote%,Vote_Diff%,Winner_Vote%,SchoolBoard_Vote,SchoolBoard_Vote%,Min_DFL(endorse),DFL_Vote%,Trash_Yes,Trash_No,Trash_Total,Trash_No%,NO_Cand1st_Vote ,No_Cand_Align,YES_Cand1st_Vote ,Yes_Cand_Align,Trash_Vote_Diff
7,Saint Paul W-7 P-1,2157,33,291,459,7.19,9.32%,21.28,11.96,63.40,274.25,59.75,147,53.60,221,241,462,52.16,291,50,291,70,3
7,Saint Paul W-7 P-2,1318,12,108,264,4.55,5.69%,20.03,14.34,40.91,157.5,59.66,75,47.62,104,169,273,61.90,108,-61,108,4,9
7,Saint Paul W-7 P-3,1553,22,178,313,7.03,6.76%,20.15,13.39,56.87,191.25,61.10,100,52.29,159,168,327,51.38,178,10,178,19,14
7,Saint Paul W-7 P-4,935,11,93,188,5.85,8.39%,20.11,11.72,49.47,126.75,67.42,48,37.87,80,115,195,58.97,93,-22,93,13,7
7,Saint Paul W-7 P-5,1382,39,375,472,8.26,18.77%,34.15,15.38,79.45,273.5,57.94,140,51.19,247,223,470,47.45,375,152,375,128,-2
7,Saint Paul W-7 P-6,1452,15,156,274,5.47,6.05%,18.87,12.82,56.93,177,64.60,69,38.98,102,189,291,64.95,156,-33,156,54,17
7,Saint Paul W-7 P-7,1300,22,124,229,9.61,7.82%,17.62,9.80,54.15,155.75,68.01,57,36.60,108,139,247,56.28,124,-15,124,16,18
7,Saint Paul W-7 P-8,1769,26,202,349,7.45,8.19%,19.73,11.54,57.88,217.75,62.39,107,49.14,163,208,371,56.06,202,-6,202,39,22
7,Saint Paul W-7 P-9,1565,18,181,346,5.20,6.83%,22.11,15.28,52.31,214.25,61.92,77,35.94,166,199,365,54.52,181,-18,181,15,19
7,Saint Paul W-7 P-10,1449,19,163,323,5.88,7.70%,22.29,14.59,50.46,202.75,62.77,78,38.47,146,203,349,58.17,163,-40,163,17,26
7,Saint Paul W-7 P-11,1299,5,88,162,3.09,5.23%,12.47,7.24,54.32,115.75,71.45,53,45.79,66,103,169,60.95,88,-15,88,22,7
7,Saint Paul W-7 P-12,2643,53,394,595,8.91,10.37%,22.51,12.14,66.22,373.5,62.77,160,42.84,305,296,601,49.25,394,98,394,89,6
7,Saint Paul W-7 P-13,1928,42,478,615,6.83,13.10%,31.90,18.80,77.72,358.75,58.33,127,35.40,361,286,647,44.20,478,192,478,117,32
