WardCode,PrecinctName,Precinct_Vote,Precinct_Register,Voting%,Total_WardVotes,Total_WardRegistered,Projected_Weight,Actual_Weight,Representation,H_Registered,H_Vote15,H_Density_Vote%,L_Registered,L_Vote15,L_Density_Vote%,H_Density%
3.0,Saint Paul W-3 P-3,413.0,2655,15.56,4939.0,27612,9.62,8.36,-1.2599999999999998,612,59.0,9.64,2043,354.0,17.330000000000002,23.05
3.0,Saint Paul W-3 P-4,281.0,1216,23.11,4939.0,27612,4.4,5.69,1.29,449,97.0,21.6,767,184.0,23.990000000000002,36.919999999999995
3.0,Saint Paul W-3 P-5,261.0,1901,13.73,4939.0,27612,6.88,5.28,-1.5999999999999996,1054,134.0,12.709999999999999,847,127.0,14.99,55.44
3.0,Saint Paul W-3 P-6,339.0,2093,16.2,4939.0,27612,7.580000000000001,6.8599999999999985,-0.7200000000000015,200,14.0,7.000000000000001,1893,325.0,17.169999999999998,9.56
3.0,Saint Paul W-3 P-7,178.0,933,19.08,4939.0,27612,3.38,3.6,0.21999999999999972,297,25.0,8.42,636,153.0,24.060000000000002,31.830000000000002
3.0,Saint Paul W-3 P-8,319.0,1546,20.630000000000006,4939.0,27612,5.6000000000000005,6.460000000000001,0.8600000000000003,83,1.0,1.2,1463,318.0,21.740000000000002,5.37
3.0,Saint Paul W-3 P-9,438.0,2443,17.93,4939.0,27612,8.85,8.870000000000003,0.02000000000000135,372,36.0,9.68,2071,402.0,19.41,15.229999999999999
4.0,Saint Paul W-4 P-1,417.0,1582,26.36,4905.0,24715,6.4,8.5,2.1,279,24.0,8.6,1303,393.0,30.159999999999997,17.64
4.0,Saint Paul W-4 P-10,447.0,1961,22.79,4905.0,24715,7.93,9.11,1.1799999999999995,162,12.0,7.41,1799,435.0,24.18,8.260000000000002
4.0,Saint Paul W-4 P-11,492.0,2128,23.12,4905.0,24715,8.61,10.03,1.42,335,49.0,14.63,1793,443.0,24.709999999999997,15.740000000000002
4.0,Saint Paul W-4 P-12,185.0,1679,11.02,4905.0,24715,6.79,3.77,-3.0200000000000005,991,47.0,4.74,688,138.0,20.06,59.019999999999996
4.0,Saint Paul W-4 P-13,258.0,1336,19.31,4905.0,24715,5.41,5.26,-0.15000000000000036,233,48.0,20.599999999999998,1103,210.0,19.040000000000003,17.44
4.0,Saint Paul W-4 P-14,291.0,1395,20.86,4905.0,24715,5.64,5.93,0.29000000000000004,59,0.0,0.0,1336,291.0,21.78,4.2299999999999995
4.0,Saint Paul W-4 P-15,292.0,1500,19.47,4905.0,24715,6.0699999999999985,5.949999999999998,-0.1200000000000001,122,3.0,2.46,1378,289.0,20.97,8.129999999999999
4.0,Saint Paul W-4 P-2,478.0,1264,37.82,4905.0,24715,5.11,9.75,4.64,105,42.0,40.0,1159,436.0,37.62,8.309999999999999
4.0,Saint Paul W-4 P-3,182.0,2281,7.979999999999999,4905.0,24715,9.23,3.71,-5.519999999999999,1681,86.0,5.12,600,96.0,16.0,73.7
4.0,Saint Paul W-4 P-4,362.0,1752,20.66,4905.0,24715,7.090000000000002,7.380000000000001,0.29000000000000004,125,9.0,7.199999999999999,1627,353.0,21.7,7.13
4.0,Saint Paul W-4 P-5,278.0,1253,22.19,4905.0,24715,5.07,5.67,0.5999999999999996,114,5.0,4.390000000000001,1139,273.0,23.97,9.1
4.0,Saint Paul W-4 P-6,147.0,1102,13.34,4905.0,24715,4.46,3.0,-1.46,480,12.0,2.5,622,135.0,21.7,43.56
4.0,Saint Paul W-4 P-7,405.0,1714,23.630000000000006,4905.0,24715,6.94,8.260000000000002,1.3200000000000012,263,12.0,4.5600000000000005,1451,393.0,27.08,15.340000000000002
4.0,Saint Paul W-4 P-8,401.0,2129,18.84,4905.0,24715,8.61,8.18,-0.4299999999999997,284,12.0,4.2299999999999995,1845,389.0,21.08,13.34
4.0,Saint Paul W-4 P-9,270.0,1639,16.470000000000002,4905.0,24715,6.63,5.5,-1.13,548,118.0,21.529999999999998,1091,152.0,13.930000000000001,33.44
5.0,Saint Paul W-5 P-1,485.0,1989,24.38,3396.0,19074,10.43,14.28,3.8500000000000014,222,19.0,8.559999999999999,1767,466.0,26.369999999999997,11.16
5.0,Saint Paul W-5 P-10,47.0,619,7.59,3396.0,19074,3.25,1.38,-1.87,79,16.0,20.25,540,31.0,5.74,12.76
5.0,Saint Paul W-5 P-2,916.0,2411,37.99,3396.0,19074,12.64,26.97,14.329999999999998,173,38.0,21.97,2238,878.0,39.23,7.180000000000001
5.0,Saint Paul W-5 P-3,627.0,2003,31.3,3396.0,19074,10.5,18.46,7.959999999999997,253,34.0,13.44,1750,593.0,33.89,12.629999999999999
5.0,Saint Paul W-5 P-4,466.0,3426,13.6,3396.0,19074,17.96,13.72,-4.240000000000002,966,44.0,4.55,2460,422.0,17.150000000000002,28.199999999999996
5.0,Saint Paul W-5 P-5,181.0,1775,10.2,3396.0,19074,9.31,5.33,-3.98,493,55.0,11.16,1282,126.0,9.83,27.77
