Address,Latitude,Longitude,TotalMemberHH
"908 LAFOND AVE, ST PAUL, MN, 55104",44.9601139,-93.138491,1.0
"908 LAUREL AVE, ST PAUL, MN, 55104",44.9447415,-93.1384248,4.0
"908 MARSHALL AVE, ST PAUL, MN, 55104",44.9482758,-93.1384248,2.0
"908 SHERBURNE AVE, ST PAUL, MN, 55104",44.9564353,-93.138464,1.0
"908 UNIVERSITY AVE W, ST PAUL, MN, 55104",44.9555037,-93.138562,1.0
"909 EDMUND AVE, ST PAUL, MN, 55104",44.95863809999999,-93.138506,4.0
"909 LAUREL AVE, ST PAUL, MN, 55104",44.9451788,-93.1384248,2.0
"909 MARION ST, ST PAUL, MN, 55117",44.9686864,-93.1100652,1.0
"909 MARSHALL AVE, ST PAUL, MN, 55104",44.9487859,-93.1384248,2.0
"909 PARK ST, ST PAUL, MN, 55117",44.9687522,-93.1040972,1.0
"909 SHERBURNE AVE, ST PAUL, MN, 55104",44.956836,-93.138464,4.0
"91 KENT ST, ST PAUL, MN, 55102",44.9440459,-93.1240115,3.0
"91 LEXINGTON PKWY N, ST PAUL, MN, 55104",44.944247,-93.147266,2.0
"91 MANITOBA AVE, ST PAUL, MN, 55117",44.9685504,-93.1036649,2.0
"91 SYNDICATE ST N, ST PAUL, MN, 55104",44.9443351,-93.1545353,2.0
"910 CENTRAL AVE W, ST PAUL, MN, 55104",44.9528808,-93.138562,1.0
"910 CHARLES AVE, ST PAUL, MN, 55104",44.9573241,-93.1385978,2.0
"910 CONCORDIA AVE, ST PAUL, MN, 55104",44.9510779,-93.1385424,2.0
"910 FARRINGTON ST, ST PAUL, MN, 55117",44.96864420000001,-93.113293,3.0
"910 FULLER AVE, ST PAUL, MN, 55104",44.9537551,-93.138562,1.0
"910 GALTIER ST, ST PAUL, MN, 55117",44.9687399,-93.11077829999999,1.0
"910 LAFOND AVE, ST PAUL, MN, 55104",44.9601107,-93.13860859999998,2.0
"910 SELBY AVE, ST PAUL, MN, 55104",44.94638120000001,-93.1384248,2.0
"910 SHERBURNE AVE, ST PAUL, MN, 55104",44.9564404,-93.138611,1.0
"910 WESTERN AVE N, ST PAUL, MN, 55117",44.9686398,-93.115798,2.0
"911 AURORA AVE, ST PAUL, MN, 55104",44.9550489,-93.1385424,2.0
"911 CHARLES AVE, ST PAUL, MN, 55104",44.9577517,-93.1386152,1.0
"911 DAYTON AVE, ST PAUL, MN, 55104",44.9477051,-93.1386404,2.0
"911 FULLER AVE, ST PAUL, MN, 55104",44.9541382,-93.1385424,1.0
"911 IGLEHART AVE, ST PAUL, MN, 55104",44.9496747,-93.138562,1.0
"911 MINNEHAHA AVE W, ST PAUL, MN, 55104",44.96323049999999,-93.1386267,9.0
"911 THOMAS AVE, ST PAUL, MN, 55104",44.9596011,-93.138592,1.0
"912 CARROLL AVE, ST PAUL, MN, 55104",44.95012850000001,-93.1386208,1.0
"912 DAYTON AVE, ST PAUL, MN, 55104",44.9472149,-93.1385816,2.0
"912 FARRINGTON ST, ST PAUL, MN, 55117",44.9687169,-93.1133009,1.0
"912 GALTIER ST, ST PAUL, MN, 55117",44.9687856,-93.1107735,3.0
"912 HAGUE AVE, ST PAUL, MN, 55104",44.9456117,-93.1385816,2.0
"912 IGLEHART AVE, ST PAUL, MN, 55104",44.9492166,-93.13866,3.0
"912 LAUREL AVE, ST PAUL, MN, 55104",44.94473720000001,-93.1385816,2.0
"912 PARK ST, ST PAUL, MN, 55117",44.96883270000001,-93.1035394,2.0
"913 ASHLAND AVE, ST PAUL, MN, 55104",44.9441365,-93.138562,5.0
"913 MARION ST, ST PAUL, MN, 55117",44.968804,-93.11012,1.0
"913 MARSHALL AVE, ST PAUL, MN, 55104",44.9487816,-93.1385816,3.0
"913 SHERBURNE AVE, ST PAUL, MN, 55104",44.9568328,-93.1385816,2.0
"914 AURORA AVE, ST PAUL, MN, 55104",44.9546439,-93.1386991,1.0
"914 CARROLL AVE, ST PAUL, MN, 55104",44.95012639999999,-93.1386991,2.0
"914 CENTRAL AVE W, ST PAUL, MN, 55104",44.952788,-93.138662,1.0
"914 CHARLES AVE, ST PAUL, MN, 55104",44.9573385,-93.138737,1.0
"914 CONCORDIA AVE, ST PAUL, MN, 55104",44.9511721,-93.1387309,5.0
"914 EDMUND AVE, ST PAUL, MN, 55104",44.9582497,-93.138719,2.0
"914 FARRINGTON ST, ST PAUL, MN, 55117",44.96879000000001,-93.1132892,2.0
"914 FULLER AVE, ST PAUL, MN, 55104",44.9537331,-93.1386991,3.0
"914 GALTIER ST, ST PAUL, MN, 55117",44.9688499,-93.110751,1.0
"914 LAFOND AVE, ST PAUL, MN, 55104",44.9600711,-93.1387222,1.0
"914 THOMAS AVE, ST PAUL, MN, 55104",44.9592149,-93.1387266,4.0
"914 WESTERN AVE N, ST PAUL, MN, 55117",44.9688204,-93.11585699999999,2.0
"915 ASHLAND AVE, ST PAUL, MN, 55104",44.94413220000001,-93.1387187,2.0
"915 AURORA AVE, ST PAUL, MN, 55104",44.95504460000001,-93.1386991,3.0
"915 CARROLL AVE, ST PAUL, MN, 55104",44.9505636,-93.1386991,2.0
"915 EDMUND AVE, ST PAUL, MN, 55104",44.9586503,-93.13872359999999,3.0
"915 FULLER AVE, ST PAUL, MN, 55104",44.9541339,-93.1386991,2.0
"915 HAGUE AVE, ST PAUL, MN, 55104",44.945975,-93.1386208,3.0
"915 MARION ST, ST PAUL, MN, 55117",44.968885,-93.11012,2.0
"915 MINNEHAHA AVE W, ST PAUL, MN, 55104",44.9631479,-93.1384735,12.0
"915 PARK ST, ST PAUL, MN, 55117",44.968856,-93.1041178,1.0
"915 SHERBURNE AVE, ST PAUL, MN, 55104",44.956829600000006,-93.1386991,2.0
"916 ASHLAND AVE, ST PAUL, MN, 55104",44.94361989999999,-93.13879709999999,11.0
"916 AURORA AVE, ST PAUL, MN, 55104",44.954569000000006,-93.1388209,2.0
"916 CENTRAL AVE W, ST PAUL, MN, 55104",44.9528743,-93.13879709999999,4.0
"916 HAGUE AVE, ST PAUL, MN, 55104",44.9456063,-93.1387775,2.0
"916 IGLEHART AVE, ST PAUL, MN, 55104",44.9492134,-93.1387775,4.0
"916 LAUREL AVE, ST PAUL, MN, 55104",44.94476829999999,-93.1387775,3.0
"916 MARSHALL AVE, ST PAUL, MN, 55104",44.94826610000001,-93.1387775,5.0
"917 AURORA AVE, ST PAUL, MN, 55104",44.9550414,-93.1388167,4.0
"917 CHARLES AVE, ST PAUL, MN, 55104",44.95777329999999,-93.138824,1.0
"917 DAYTON AVE, ST PAUL, MN, 55104",44.94767299999999,-93.13879,2.0
"917 IGLEHART AVE, ST PAUL, MN, 55104",44.9496881,-93.1387383,4.0
"917 LAUREL AVE, ST PAUL, MN, 55104",44.9452232,-93.13879709999999,2.0
"917 MARSHALL AVE, ST PAUL, MN, 55104",44.9487939,-93.13879709999999,6.0
"917 SHERBURNE AVE, ST PAUL, MN, 55104",44.9568264,-93.1388167,1.0
"918 DAYTON AVE, ST PAUL, MN, 55104",44.9472636,-93.13879709999999,1.0
"918 EDMUND AVE, ST PAUL, MN, 55104",44.9582465,-93.1388366,2.0
"918 FULLER AVE, ST PAUL, MN, 55104",44.9537299,-93.1388167,1.0
"918 LAUREL AVE, ST PAUL, MN, 55104",44.9448623,-93.1387882,3.0
"918 PARK ST, ST PAUL, MN, 55117",44.9689719,-93.10357309999999,3.0
"919 CARROLL AVE, ST PAUL, MN, 55104",44.9505239,-93.1388167,4.0
"919 CENTRAL AVE W, ST PAUL, MN, 55104",44.95321989999999,-93.1388167,2.0
"919 DAYTON AVE, ST PAUL, MN, 55104",44.9474361,-93.13895920000002,3.0
"919 EDMUND AVE, ST PAUL, MN, 55104",44.9584474,-93.1389844,1.0
"919 GALTIER ST, ST PAUL, MN, 55117",44.9689803,-93.1113154,1.0
"919 ST ANTHONY AVE, ST PAUL, MN, 55104",44.9523455,-93.1388167,2.0
"92 MANITOBA AVE, ST PAUL, MN, 55117",44.9682304,-93.1040427,1.0
"92 SNELLING AVE N, ST PAUL, MN, 55104",44.9442543,-93.1667915,7.0
"920 FARRINGTON ST, ST PAUL, MN, 55117",44.9689987,-93.1133217,1.0
"920 LAFOND AVE, ST PAUL, MN, 55104",44.9599956,-93.1392232,2.0
"920 PARK ST, ST PAUL, MN, 55117",44.96908089999999,-93.1035849,1.0
"920 WESTERN AVE N, ST PAUL, MN, 55117",44.9689657,-93.1158728,1.0
"921 FULLER AVE, ST PAUL, MN, 55104",44.9541927,-93.13920859999999,1.0
"921 THOMAS AVE, ST PAUL, MN, 55104",44.9595476,-93.1392151,2.0
"922 AURORA AVE, ST PAUL, MN, 55104",44.9546299,-93.13920859999999,3.0
"922 CHARLES AVE, ST PAUL, MN, 55104",44.9573256,-93.1392073,2.0
"922 DAYTON AVE, ST PAUL, MN, 55104",44.94725070000001,-93.13926740000001,2.0
"922 EDMUND AVE, ST PAUL, MN, 55104",44.9581995,-93.1392245,1.0
"922 LAUREL AVE, ST PAUL, MN, 55104",44.9447752,-93.139189,2.0
"922 PORTLAND AVE, ST PAUL, MN, 55104",44.9425868,-93.13926740000001,2.0
"922 SELBY AVE, ST PAUL, MN, 55104",44.9464856,-93.1392987,3.0
"922 SHERBURNE AVE, ST PAUL, MN, 55104",44.9564513,-93.13920859999999,1.0
"922 WOODBRIDGE ST, ST PAUL, MN, 55117",44.969136,-93.108267,4.0
"923 EDMUND AVE, ST PAUL, MN, 55104",44.9586727,-93.1392371,3.0
"923 GALTIER ST, ST PAUL, MN, 55117",44.9690453,-93.1112733,2.0
"923 IGLEHART AVE, ST PAUL, MN, 55104",44.9496388,-93.13920859999999,1.0
"923 SHERBURNE AVE, ST PAUL, MN, 55104",44.9568521,-93.13920859999999,1.0
"923 WOODBRIDGE ST, ST PAUL, MN, 55117",44.9691502,-93.1087499,3.0
"924 CARROLL AVE, ST PAUL, MN, 55104",44.9501435,-93.13940459999999,4.0
"924 DENSLOW ST, ST PAUL, MN, 55103",44.9690309,-93.12551059999998,2.0
"924 FARRINGTON ST, ST PAUL, MN, 55117",44.96907239999999,-93.1132904,1.0
"924 HAGUE AVE, ST PAUL, MN, 55104",44.9455934,-93.1392478,3.0
"924 IGLEHART AVE, ST PAUL, MN, 55104",44.9492182,-93.13926740000001,3.0
"924 LAFOND AVE, ST PAUL, MN, 55104",44.9600902,-93.1393533,3.0
"924 MACKUBIN ST, ST PAUL, MN, 55117",44.9690438,-93.1210305,2.0
"924 MARSHALL AVE, ST PAUL, MN, 55104",44.9482709,-93.13926740000001,3.0
"924 RICE ST, ST PAUL, MN, 55117",44.96907849999999,-93.1056869,1.0
"924 SHERBURNE AVE, ST PAUL, MN, 55104",44.9564294,-93.13934580000002,1.0
"925 ALBEMARLE ST, ST PAUL, MN, 55117",44.9691199,-93.10751859999999,2.0
"925 CARROLL AVE, ST PAUL, MN, 55104",44.9505667,-93.1399141,3.0
"925 DAYTON AVE, ST PAUL, MN, 55104",44.9476879,-93.13926740000001,2.0
"925 EDMUND AVE, ST PAUL, MN, 55104",44.9586695,-93.1393547,2.0
"925 FULLER AVE, ST PAUL, MN, 55104",44.9541708,-93.13934580000002,2.0
"925 LAUREL AVE, ST PAUL, MN, 55104",44.9452666,-93.13920859999999,2.0
"925 MARSHALL AVE, ST PAUL, MN, 55104",44.948781,-93.13926740000001,5.0
