IntersectionID,Intersection1,Intersection2,Coordinates
167,Farrington,Lafond,"44.960437, -93.113424"
168,Farrington,Thomas,"44.959383, -93.113430"
169,Farrington,Edmund,"44.958487, -93.113425"
170,Farrington,Charles,"44.957578, -93.113414"
171,Farrington,Sherburne,"44.956684, -93.113421"
172,Farrington,University,"44.955875, -93.113418"
173,Elfelt,Vanburen,"44.962269, -93.111974"
174,Elfelt,Blair,"44.961419, -93.112012"
175,Elfelt,Lafond,"44.960431, -93.112017"
176,Elfelt,Thomas,"44.959384, -93.112008"
177,Elfelt,Edmund,"44.958497, -93.112009"
178,Elfelt,Charles,"44.957590, -93.112004"
179,Galtier,Lafond,"44.960422, -93.110590"
180,Galtier,Thomas,"44.959387, -93.110589"
181,Galtier,Edmund,"44.958498, -93.110588"
182,Galtier,Charles,"44.957593, -93.110592"
183,Galtier,Sherburne,"44.956689, -93.110588"
184,Galtier,University,"44.955859, -93.110583"
185,Galtier,Como,"44.961513, -93.110586"
186,Marion,Como,"44.960768, -93.109253"
187,Marion,Thomas,"44.959398, -93.109363"
188,Marion,Edmund,"44.958506, -93.109361"
189,Marion,Charles,"44.957592, -93.109346"
190,Marion,Sherburne,"44.956705, -93.109355"
191,Marion,University,"44.955888, -93.109287"
192,Marion,Aurora,"44.954892, -93.109300"
193,Rice,Como,"44.958975, -93.105941"
194,Rice,Edmund,"44.958528, -93.105949"
195,Rice,Charles,"44.957614, -93.105951"
196,Rice,Sherburne,"44.956848, -93.105964"
197,Rice,University,"44.955847, -93.105959"
198,Rice,Aurora,"44.954890, -93.105965"
199,Marion,Fuller,"44.953989, -93.109333"
200,Marion,Ravoux,"44.952202, -93.109951"
201,Marion,stanthony,"44.951379, -93.110043"
202,StAnthony,Ravoux,"44.951390, -93.113338"
203,Galtier,Aurora,"44.954891, -93.111016"
204,Galtier,Fuller,"44.953991, -93.111021"
205,Farrington,Aurora,"44.954888, -93.113270"
206,Farrington,Fuller,"44.953989, -93.113264"
207,Farrington,Virginia,"44.952219, -93.113287"
208,Farrington,ravoux,"44.952148, -93.113235"
209,Virginia,Aurora,"44.954881, -93.114693"
210,Virginia,Fuller,"44.953981, -93.114697"
211,Western,Aurora,"44.954906, -93.116150"
212,Western,Fuller,"44.953985, -93.116142"
213,Western,Central,"44.953090, -93.116145"
214,Western,stanthony,"44.951786, -93.116136"
215,Arundel,Central,"44.953081, -93.118654"
216,Arundel,stanthony,"44.952177, -93.118666"
217,Arundel,Aurora,"44.954895, -93.118649"
218,Mackubin,Aurora,"44.954884, -93.121223"
219,Kent,Central,"44.953043, -93.123781"
220,Kent,stanthony,"44.952165, -93.123766"
221,Dale,Aurora,"44.954812, -93.126369"
222,Dale,Fuller,"44.953949, -93.126372"
223,Dale,Central,"44.953021, -93.126372"
224,Dale,stanthony,"44.952142, -93.126381"
225,StAlbans,Aurora,"44.954812, -93.128893"
226,StAlbans,Fuller,"44.953939, -93.128892"
227,StAlbans,Central,"44.953038, -93.128879"
228,StAlbans,stanthony,"44.952151, -93.128878"
229,Grotto,Aurora,"44.954828, -93.131430"
230,Grotto,Fuller,"44.953936, -93.131418"
231,Grotto,Central,"44.953045, -93.131414"
232,Grotto,stanthony,"44.952159, -93.131401"
233,Avon,Aurora,"44.954832, -93.133240"
234,Avon,Fuller,"44.953940, -93.133228"
235,Avon,Central,"44.953048, -93.133223"
236,Avon,stanthony,"44.952160, -93.133218"
237,Fisk ,Aurora,"44.954830, -93.136487"
238,Fisk ,Fuller,"44.953945, -93.134856"
239,Fisk ,Central,"44.953047, -93.134838"
240,Victoria,Aurora,"44.954830, -93.136487"
241,Victoria,Fuller,"44.953944, -93.136480"
242,Victoria,Central,"44.953056, -93.136481"
243,Victoria,stanthony,"44.952147, -93.136472"
244,Milton,Aurora,"44.954836, -93.139027"
245,Milton,Fuller,"44.953947, -93.139021"
246,Milton,Central,"44.953054, -93.139016"
247,Milton,stanthony,"44.952155, -93.139017"
248,Chatsworth,Aurora,"44.954835, -93.141553"
249,Chatsworth,Fuller,"44.953945, -93.141544"
250,Chatsworth,Central,"44.953051, -93.141553"
251,Chatsworth,stanthony,"44.952151, -93.141558"
252,Oxford,Aurora,"44.954837, -93.144094"
253,Oxford,Fuller,"44.953937, -93.144097"
254,Oxford,Central,"44.953045, -93.144098"
255,Oxford,stanthony,"44.952160, -93.144101"
256,Lexington,Aurora,"44.954837, -93.146552"
257,Lexington,Fuller,"44.953930, -93.146544"
258,Lexington,Central,"44.953039, -93.146769"
259,Lexington,stanthony,"44.952177, -93.146790"
260,Dunlap,Central,"44.953044, -93.149184"
261,Bigelow,stanthony,"44.952242, -93.148126"
262,Griggs,stanthony,"44.952239, -93.151726"
263,Syndicate,stanthony,"44.952266, -93.154252"
264,Griggs,Bigelow,"44.952414, -93.151721"
265,Hamline,PIERCEBUTLER,"44.967874, -93.156858"
266,Hamline,Taylor,"44.967447, -93.156857"
267,Hamline,Hewitt,"44.966555, -93.156849"
268,Hamline,Hubbard,"44.965647, -93.156863"
269,Hamline,Seminary,"44.964744, -93.156844"
270,Hamline,Englewood,"44.964131, -93.156851"
271,Hamline,Minnehaha,"44.962956, -93.156832"
272,Hamline,Vanburen,"44.962043, -93.156821"
273,Hamline,Blair,"44.961131, -93.156821"
274,Hamline,Lafond,"44.960235, -93.156825"
275,Hamline,Thomas,"44.959336, -93.156833"
276,Hamline,Edmund,"44.958427, -93.156833"
277,Hamline,Charles,"44.957520, -93.156829"
278,Hamline,Sherburne,"44.956616, -93.156828"
279,Hamline,University,"44.955811, -93.156832"
280,Taylor,PIERCEBUTLER,"44.967529, -93.152682"
281,Syndicate,PIERCEBUTLER,"44.967658, -93.154269"
282,Syndicate,Taylor,"44.967464, -93.154277"
283,Syndicate,Hewitt,"44.966570, -93.154273"
284,Syndicate,Hubbard,"44.965660, -93.154277"
285,Syndicate,Seminary,"44.964755, -93.154270"
286,Syndicate,Englewood,"44.963860, -93.154267"
287,Syndicate,Minnehaha,"44.962968, -93.154262"
288,Syndicate,Vanburen,"44.962053, -93.154274"
289,Syndicate,Blair,"44.961146, -93.154275"
290,Syndicate,Lafond,"44.960247, -93.154273"
291,Syndicate,Thomas,"44.959348, -93.154280"
292,Syndicate,Edmund,"44.958442, -93.154279"
293,Syndicate,Charles,"44.957540, -93.154275"
294,Syndicate,Sherburne,"44.956636, -93.154273"
295,Syndicate,University,"44.955815, -93.154265"
296,Griggs,PIERCEBUTLER,"44.967253, -93.151707"
297,Griggs,Hewitt,"44.966577, -93.151710"
298,Griggs,Hubbard,"44.965686, -93.151711"
299,Griggs,Seminary,"44.964777, -93.151718"
300,Griggs,Englewood,"44.963881, -93.151703"
301,Griggs,Minnehaha,"44.962985, -93.151722"
302,Griggs,Vanburen,"44.962074, -93.151720"
303,Griggs,Blair,"44.961171, -93.151720"
304,Griggs,Lafond,"44.960269, -93.151725"
305,Griggs,Thomas,"44.959361, -93.151729"
306,Griggs,Edmund,"44.958459, -93.151729"
307,Griggs,Charles,"44.957552, -93.151718"
308,Griggs,Sherburne,"44.956666, -93.151736"
309,Griggs,University,"44.955816, -93.151723"
310,Dunlap,PIERCEBUTLER,"44.966556, -93.149147"
311,Dunlap,Hubbard,"44.965699, -93.149158"
312,Dunlap,Seminary,"44.964799, -93.149153"
313,Dunlap,Englewood,"44.963893, -93.149162"
314,Dunlap,Minnehaha,"44.963003, -93.149162"
315,Dunlap,Vanburen,"44.962084, -93.149160"
316,Dunlap,Blair,"44.961180, -93.149175"
317,Dunlap,Lafond,"44.960279, -93.149170"
318,Dunlap,Thomas,"44.959368, -93.149170"
319,Dunlap,Edmund,"44.958459, -93.149181"
320,Dunlap,Charles,"44.957553, -93.149174"
321,Dunlap,Sherburne,"44.956649, -93.149173"
322,Dunlap,University,"44.955825, -93.149176"
323,Concordia,Hamline,"44.951329, -93.156829"
324,Concordia,Griggs,"44.951140, -93.151721"
325,Concordia,Lexington,"44.951267, -93.146619"
326,Concordia,Oxford,"44.951275, -93.144092"
327,Concordia,Chatsworth,"44.951274, -93.141555"
328,Concordia,Milton,"44.951281, -93.139018"
329,Concordia,Victoria,"44.951272, -93.136456"
330,Concordia,Fisk,"44.951283, -93.134836"
331,Concordia,Avon,"44.951279, -93.133211"
332,Concordia,Grotto,"44.951278, -93.131398"
333,Concordia,StAlbans,"44.951280, -93.128861"
334,Concordia,Dale,"44.951282, -93.126321"
335,Concordia,Mackubin,"44.951314, -93.121236"
336,Concordia,Arundel,"44.951066, -93.118670"
337,Concordia,Western,"44.950680, -93.116159"
338,Concordia,Marion,"44.950286, -93.109631"
339,Carroll,Virginia,"44.949502, -93.114774"
340,Carroll,Western,"44.949494, -93.116163"
341,Carroll,Mackubin,"44.950369, -93.121233"
342,Carroll,Arundel,"44.950386, -93.118685"
343,Carroll,Griggs,"44.950280, -93.151790"
344,Carroll,Oxford,"44.950303, -93.144082"
345,Carroll,Chatsworth,"44.950298, -93.141555"
346,Carroll,Milton,"44.950326, -93.139007"
347,Carroll,Victoria,"44.950345, -93.136466"
348,Carroll,Fisk,"44.950341, -93.134835"
349,Carroll,Avon,"44.950346, -93.133213"
350,Carroll,Grotto,"44.950342, -93.131401"
351,Carroll,StAlbans,"44.950341, -93.128876"
352,Carroll,Dale,"44.950341, -93.126317"
353,Carroll,Syndicate,"44.950261, -93.154228"
354,Iglehart,Kent,"44.949396, -93.123778"
355,Iglehart,Mackubin,"44.949480, -93.121230"
356,Iglehart,Arundel,"44.949468, -93.118668"
357,Iglehart,Oxford,"44.949428, -93.144110"
358,Iglehart,Chatsworth,"44.949422, -93.141557"
359,Iglehart,Milton,"44.949436, -93.139012"
360,Iglehart,Victoria ,"44.949444, -93.136463"
361,Iglehart,Fisk,"44.949439, -93.134821"
362,Iglehart,Avon,"44.949440, -93.133202"
363,Iglehart,Grotto,"44.949446, -93.131383"
364,Iglehart,StAlbans,"44.949433, -93.128858"
365,Iglehart,Dale,"44.949442, -93.126307"
366,Marshall,JohnIreland,"44.948203, -93.108009"
367,Marshall,Louis,"44.948194, -93.109919"
368,Marshall,Farrington,"44.948203, -93.113399"
369,Marshall,Virginia,"44.948205, -93.114729"
370,Marshall,Kent,"44.948538, -93.123758"
371,Marshall,Mackubin,"44.948566, -93.121235"
372,Marshall,Arundel,"44.948566, -93.118657"
373,Marshall,Snelling,"44.948435, -93.167006"
374,Marshall,Pascal,"44.948478, -93.161882"
375,Marshall,Hamline,"44.948530, -93.156810"
376,Marshall,Griggs,"44.948532, -93.151737"
377,Marshall,Lexington,"44.948558, -93.146645"
378,Marshall,Oxford,"44.948541, -93.144110"
379,Marshall,Chatsworth,"44.948544, -93.141557"
380,Marshall,Milton,"44.948550, -93.139024"
381,Marshall,Victoria,"44.948533, -93.136460"
382,Marshall,Fisk,"44.948531, -93.134811"
383,Marshall,Avon,"44.948533, -93.133188"
384,Marshall,Grotto,"44.948533, -93.131397"
385,Marshall,StAlbans,"44.948534, -93.128846"
386,Marshall,Dale,"44.948532, -93.126311"
387,Marshall,Iglehart,"44.948553, -93.146078"
388,Marshall,Western,"44.948211, -93.116157"
389,Marshall,Dunlap,"44.948539, -93.149184"
390,Marshall,Albert,"44.948494, -93.159404"
391,Marshall,Syndicate,"44.948532, -93.154267"
392,pascal,stanthony,"44.952175, -93.161895"
393,Bigelow,dunlap,"44.952588, -93.149180"
394,Donohue,Syndicate,"44.953464, -93.154251"
395,i94,Maryland,"44.950886, -93.109957"
396,i94,Western,"44.951222, -93.116132"
397,i94,Dale,"44.951720, -93.126326"
398,i94,victoria,"44.951777, -93.136470"
399,i94,Lexington,"44.951730, -93.146632"
400,i94,Hamline,"44.951749, -93.156835"
401,i94,Pascal,"44.951669, -93.161921"
402,Linden,Mtairy,"44.959025, -93.095111"
403,Linden,Arch,"44.960767, -93.095135"
404,Wales,Arch,"44.960332, -93.096879"
405,Wales,MtAiry,"44.959347, -93.097249"
406,Jackson,University,"44.955956, -93.096982"
407,Jackson,MtAiry,"44.959459, -93.098604"
408,Rice,Pennsylvania,"44.960366, -93.105941"
409,Cedar,Sherburne,"44.956855, -93.100879"
