IndexKey,Coordinates,OutputKey
dale_thomas,"44.959342, -93.126371",dale_thomas
dale_edmund,"44.958439, -93.126376",dale_edmund
dale_charles,"44.957541, -93.126320",dale_charles
dale_sherburne,"44.956637, -93.126377",dale_sherburne
dale_university,"44.955828, -93.126376",dale_university
kent_minnehaha,"44.962986, -93.123826",kent_minnehaha
kent_vanburen,"44.962048, -93.123821",kent_vanburen
kent_blair,"44.961153, -93.123816",kent_blair
kent_lafond,"44.960254, -93.123811",kent_lafond
kent_thomas,"44.959354, -93.123806",kent_thomas
kent_edmund,"44.958457, -93.123799",kent_edmund
kent_charles,"44.957558, -93.123794",kent_charles
kent_sherburne,"44.956657, -93.123794",kent_sherburne
kent_university,"44.955837, -93.123795",kent_university
mackubin_minnehaha,"44.962985, -93.121261",mackubin_minnehaha
mackubin_vanburen,"44.962058, -93.121261",mackubin_vanburen
mackubin_blair,"44.961158, -93.121254",mackubin_blair
mackubin_lafond,"44.960255, -93.121253",mackubin_lafond
mackubin_thomas,"44.959365, -93.121234",mackubin_thomas
mackubin_edmund,"44.958469, -93.121234",mackubin_edmund
mackubin_charles,"44.957567, -93.121249",mackubin_charles
mackubin_sherburne,"44.956661, -93.121237",mackubin_sherburne
mackubin_university,"44.955842, -93.121236",mackubin_university
arundel_minnehaha,"44.962968, -93.118671",arundel_minnehaha
arundel_vanburen,"44.962067, -93.118676",arundel_vanburen
arundel_blair,"44.961177, -93.118683",arundel_blair
arundel_lafond,"44.960274, -93.118678",arundel_lafond
arundel_thomas,"44.959368, -93.118665",arundel_thomas
arundel_edmund,"44.958472, -93.118665",arundel_edmund
arundel_charles,"44.957576, -93.118668",arundel_charles
arundel_sherburne,"44.956669, -93.118676",arundel_sherburne
arundel_university,"44.955853, -93.118679",arundel_university
western_como,"44.964581, -93.116155",western_como
western_minnehaha,"44.962967, -93.116180",western_minnehaha
western_vanburen,"44.962279, -93.116176",western_vanburen
western_blair,"44.961430, -93.116181",western_blair
western_lafond,"44.960448, -93.116174",western_lafond
western_thomas,"44.959379, -93.116175",western_thomas
western_edmund,"44.958481, -93.116175",western_edmund
western_charles,"44.957571, -93.116178",western_charles
western_sherburne,"44.956677, -93.116159",western_sherburne
western_university,"44.955870, -93.116148",western_university
virginia_como,"44.963801, -93.114719",virginia_como
virginia_minnehaha,"44.962975, -93.114728",virginia_minnehaha
virginia_vanburen,"44.962274, -93.114736",virginia_vanburen
virginia_blair,"44.961427, -93.114733",virginia_blair
virginia_lafond,"44.960441, -93.114734",virginia_lafond
virginia_thomas,"44.959374, -93.114722",virginia_thomas
virginia_edmund,"44.958485, -93.114849",virginia_edmund
virginia_charles,"44.957572, -93.114849",virginia_charles
virginia_sherburne,"44.956666, -93.114846",virginia_sherburne
virginia_university,"44.955872, -93.114846",virginia_university
farrington_minnehaha,"44.962988, -93.113424",farrington_minnehaha
farrington_vanburen,"44.962263, -93.113432",farrington_vanburen
farrington_blair,"44.961422, -93.113435",farrington_blair
farrington_lafond,"44.960437, -93.113424",farrington_lafond
farrington_thomas,"44.959383, -93.113430",farrington_thomas
farrington_edmund,"44.958487, -93.113425",farrington_edmund
farrington_charles,"44.957578, -93.113414",farrington_charles
farrington_sherburne,"44.956684, -93.113421",farrington_sherburne
farrington_university,"44.955875, -93.113418",farrington_university
elfelt_vanburen,"44.962269, -93.111974",elfelt_vanburen
elfelt_blair,"44.961419, -93.112012",elfelt_blair
elfelt_lafond,"44.960431, -93.112017",elfelt_lafond
elfelt_thomas,"44.959384, -93.112008",elfelt_thomas
elfelt_edmund,"44.958497, -93.112009",elfelt_edmund
elfelt_charles,"44.957590, -93.112004",elfelt_charles
galtier_lafond,"44.960422, -93.110590",galtier_lafond
galtier_thomas,"44.959387, -93.110589",galtier_thomas
galtier_edmund,"44.958498, -93.110588",galtier_edmund
galtier_charles,"44.957593, -93.110592",galtier_charles
galtier_sherburne,"44.956689, -93.110588",galtier_sherburne
galtier_university,"44.955859, -93.110583",galtier_university
galtier_como,"44.961513, -93.110586",galtier_como
marion_como,"44.960768, -93.109253",marion_como
marion_thomas,"44.959398, -93.109363",marion_thomas
marion_edmund,"44.958506, -93.109361",marion_edmund
marion_charles,"44.957592, -93.109346",marion_charles
marion_sherburne,"44.956705, -93.109355",marion_sherburne
marion_university,"44.955888, -93.109287",marion_university
marion_aurora,"44.954892, -93.109300",marion_aurora
rice_como,"44.958975, -93.105941",rice_como
rice_edmund,"44.958528, -93.105949",rice_edmund
rice_charles,"44.957614, -93.105951",rice_charles
rice_sherburne,"44.956848, -93.105964",rice_sherburne
rice_university,"44.955847, -93.105959",rice_university
rice_aurora,"44.954890, -93.105965",rice_aurora
marion_fuller,"44.953989, -93.109333",marion_fuller
marion_ravoux,"44.952202, -93.109951",marion_ravoux
