index,Block,Address,Latitude,Longitude
86,104x aurora av,"1040 Aurora Ave, St Paul, MN 55104, USA",44.95464459999999,-93.1443137
87,104x blair av,"1040 Blair Ave, St Paul, MN 55104, USA",44.961191,-93.1441026
88,104x burgess st,"1040 Burgess St, St Paul, MN 55103, USA",44.9684059,-93.1440916
89,104x central av w,"1040 Central Ave W, St Paul, MN 55104, USA",44.9530433,-93.1440971
90,104x charles av,"1040 Charles Ave, St Paul, MN 55104, USA",44.9575536,-93.144085
91,104x edmund av,"1040 Edmund Ave W, St Paul, MN 55104, USA",44.9584586,-93.1440913
92,104x englewood av,"1040 Englewood Ave, St Paul, MN 55104, USA",44.96390419999999,-93.1441139
93,104x front av,"1040 Front Ave, St Paul, MN 55103, USA",44.9701152,-93.1439427
94,104x fuller av,"1040 Fuller Ave, St Paul, MN 55104, USA",44.953724,-93.1443431
95,104x grand av,"1040 Grand Ave, St Paul, MN 55105, USA",44.9397968,-93.1442715
96,104x hubbard av,"1040 Hubbard Ave, St Paul, MN 55104, USA",44.96552820000001,-93.14431479999999
97,104x lafond av,"1040 Lafond Ave, St Paul, MN 55104, USA",44.9602774,-93.1441232
98,104x minnehaha av w,"1040 W Minnehaha Ave, St Paul, MN 55104, USA",44.96279639999999,-93.14429
99,104x seminary av,"1040 W Seminary Ave, St Paul, MN 55104, USA",44.96461799999999,-93.1442935
100,104x sherburne av,"1040 Sherburne Ave, St Paul, MN 55104, USA",44.9566404,-93.1441269
101,104x stinson st,"1040 Stinson St, St Paul, MN 55103, USA",44.9691364,-93.14427859999999
102,104x thomas av,"1040 Thomas Ave W, St Paul, MN 55104, USA",44.9593701,-93.144082
103,104x university av w,"1040 University Ave W, St Paul, MN 55104, USA",44.9556282,-93.1440869
104,104x vanburen av,"1040 Van Buren Ave, St Paul, MN 55104, USA",44.9620963,-93.1441275
105,105x burgess st,"1050 Burgess St, St Paul, MN 55103, USA",44.9681802,-93.1445518
106,105x edmund av,"1050 Edmund Ave W, St Paul, MN 55104, USA",44.95826779999999,-93.1446967
107,105x englewood av,"1050 Englewood Ave, St Paul, MN 55104, USA",44.96369910000001,-93.1445858
108,105x lafond av,"1050 Lafond Ave, St Paul, MN 55104, USA",44.9600572,-93.1445395
109,105x marshall av,"1050 Marshall Ave, St Paul, MN 55104, USA",44.9482248,-93.14458909999999
110,105x minnehaha av w,"1050 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627889,-93.1445644
111,105x piercebutler rd,"1050 W Pierce Butler Route, St Paul, MN 55104, USA",44.96647369999999,-93.1445688
112,105x seminary av,"1050 W Seminary Ave, St Paul, MN 55104, USA",44.9646093,-93.1446071
113,105x sherburne av,"1050 Sherburne Ave, St Paul, MN 55104, USA",44.95644859999999,-93.1446175
114,105x stinson st,"1050 Stinson St, St Paul, MN 55103, USA",44.9690635,-93.1446189
115,105x university av w,"1050 University Ave W, St Paul, MN 55104, USA",44.9556269,-93.1444793
116,105x vanburen av,"1050 Van Buren Ave, St Paul, MN 55104, USA",44.96191500000001,-93.14454700000002
117,105x western av n,"1050 Western Ave N, St Paul, MN 55117, USA",44.9728845,-93.115779
118,106x blair av,"1060 Blair Ave, St Paul, MN 55104, USA",44.9609994,-93.1449623
119,106x central av w,"1060 Central Ave W, St Paul, MN 55104, USA",44.952669,-93.1449507
120,106x charles av,"1060 Charles Ave, St Paul, MN 55104, USA",44.957336700000006,-93.1449777
121,106x edmund av,"1060 Edmund Ave W, St Paul, MN 55104, USA",44.958264,-93.1450516
122,106x englewood av,"1060 Englewood Ave, St Paul, MN 55104, USA",44.9637225,-93.1450602
123,106x front av,"1060 Front Ave, St Paul, MN 55103, USA",44.9699529,-93.144982
124,106x fuller av,"1060 Fuller Ave, St Paul, MN 55104, USA",44.9537223,-93.1450242
125,106x hubbard av,"1060 Hubbard Ave, St Paul, MN 55104, USA",44.965504,-93.1449684
126,106x iglehart av,"1060 Iglehart Ave, St Paul, MN 55104, USA",44.949209,-93.144924
127,106x lafond av,"1060 Lafond Ave, St Paul, MN 55104, USA",44.9600838,-93.1448963
128,106x marshall av,"1060 Marshall Ave, St Paul, MN 55104, USA",44.9482773,-93.1450095
129,106x minnehaha av w,"1060 W Minnehaha Ave, St Paul, MN 55104, USA",44.96276829999999,-93.1449304
130,106x seminary av,"1060 W Seminary Ave, St Paul, MN 55104, USA",44.9645975,-93.1450384
131,106x sherburne av,"1060 Sherburne Ave, St Paul, MN 55104, USA",44.9564342,-93.1449763
132,106x thomas av,"1060 Thomas Ave W, St Paul, MN 55104, USA",44.959103000000006,-93.145005
133,106x university av w,"1060 University Ave W, St Paul, MN 55104, USA",44.9556256,-93.144892
134,106x vanburen av,"1060 Van Buren Ave, St Paul, MN 55104, USA",44.9618839,-93.1449392
135,107x 3 st e,"1070 3rd St E, St Paul, MN 55106, USA",44.9565115,-93.0552263
136,107x blair av,"1070 Blair Ave, St Paul, MN 55104, USA",44.9609988,-93.145298
137,107x central av w,"1070 Central Ave W, St Paul, MN 55104, USA",44.9527873,-93.1453489
