Address,Block,Block1,Coordinates,For_Address,Latitude,Longitude,Pass1
"790 capitol ht, Saint Paul, MN, 55103",79x capitol ht,1.0,"{'formatted_address': '560 Concordia Ave, St Paul, MN 55103, USA', 'latitude': 44.9504557, 'longitude': -93.12233359999999, 'input_string': '790 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 2, 'status': 'OK'}","560 Concordia Ave, St Paul, MN 55103, USA",44.9504557,-93.12233359999999,
"780 capitol bd, Saint Paul, MN, 55103",78x capitol bd,1.0,"{'formatted_address': '780 Capitol Heights, St Paul, MN 55103, USA', 'latitude': 44.9588471, 'longitude': -93.09941169999999, 'input_string': '780 capitol bd, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","780 Capitol Heights, St Paul, MN 55103, USA",44.9588471,-93.09941169999999,
"800 capitol ht, Saint Paul, MN, 55103",80x capitol ht,3.0,"{'formatted_address': '560 Concordia Ave, St Paul, MN 55103, USA', 'latitude': 44.9504557, 'longitude': -93.12233359999999, 'input_string': '800 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","560 Concordia Ave, St Paul, MN 55103, USA",44.9504557,-93.12233359999999,
"810 capitol ht, Saint Paul, MN, 55103",81x capitol ht,3.0,"{'formatted_address': '560 Concordia Ave, St Paul, MN 55103, USA', 'latitude': 44.9504557, 'longitude': -93.12233359999999, 'input_string': '810 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 2, 'status': 'OK'}","560 Concordia Ave, St Paul, MN 55103, USA",44.9504557,-93.12233359999999,
"820 capitol bd, Saint Paul, MN, 55103",82x capitol bd,1.0,"{'formatted_address': '820 Capitol Heights, St Paul, MN 55103, USA', 'latitude': 44.960073, 'longitude': -93.099164, 'input_string': '820 capitol bd, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","820 Capitol Heights, St Paul, MN 55103, USA",44.960073,-93.099164,
"820 capitol ht, Saint Paul, MN, 55103",82x capitol ht,1.0,"{'formatted_address': '560 Concordia Ave, St Paul, MN 55103, USA', 'latitude': 44.9504557, 'longitude': -93.12233359999999, 'input_string': '820 capitol ht, Saint Paul, MN, 55103', 'number_of_results': 2, 'status': 'OK'}","560 Concordia Ave, St Paul, MN 55103, USA",44.9504557,-93.12233359999999,
"nan, Saint Paul, MN, 55103",nan,1.0,"{'formatted_address': 'St Paul, MN 55103, USA', 'latitude': 44.9688472, 'longitude': -93.13156479999999, 'input_string': 'nan, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","St Paul, MN 55103, USA",44.9688472,-93.13156479999999,
"park, Saint Paul, MN, 55103",park,2.0,"{'formatted_address': 'Como Park Zoo & Conservatory, 1225 Estabrook Dr, St Paul, MN 55103, USA', 'latitude': 44.9816216, 'longitude': -93.1521428, 'input_string': 'park, Saint Paul, MN, 55103', 'number_of_results': 1, 'status': 'OK'}","Como Park Zoo & Conservatory, 1225 Estabrook Dr, St Paul, MN 55103, USA",44.9816216,-93.1521428,
"750 lexington pa n, Saint Paul, MN, 55104",75x lexington pa n,1.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '750 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,
"760 lexington pa n, Saint Paul, MN, 55104",76x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '760 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,
"770 lexington pa n, Saint Paul, MN, 55104",77x lexington pa n,3.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '770 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,
"780 lexington pa n, Saint Paul, MN, 55104",78x lexington pa n,1.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '780 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,
"900 lexington pa n, Saint Paul, MN, 55104",90x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '900 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,
"950 lexington pa n, Saint Paul, MN, 55104",95x lexington pa n,173.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '950 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,
